Country	Bothsexes	Male	Female	ID	id_row
Afghanistan	7056.0	2437.0	4620.0	Q889	0
Albania	168.0	89.0	79.0	Q222	1
Algeria	8390.0	3985.0	4405.0	Q262	2
Angola	2379.0	1362.0	1017.0	Q916	3
Antigua and Barbuda	53.0	24.0	29.0	Q781	4
Argentina	9233.0	4837.0	4395.0	Q414	5
Armenia	1093.0	431.0	662.0	Q399	6
Australia	4754.0	2493.0	2261.0	Q408	7
Austria	3402.0	1574.0	1828.0	Q40	8
Azerbaijan	1475.0	635.0	840.0	Q227	9
Bahamas	119.0	51.0	68.0	Q778	10
Bahrain	404.0	220.0	184.0	Q398	11
Bangladesh	28065.0	11516.0	16549.0	Q902	12
Barbados	286.0	118.0	168.0	Q244	13
Belarus	404.0	157.0	247.0	Q184	14
Belgium	1683.0	754.0	929.0	Q31	15
Belize	160.0	71.0	89.0	Q242	16
Benin	1515.0	620.0	895.0	Q962	17
Bhutan	207.0	87.0	120.0	Q917	18
Bolivia (Plurinational State of)	2867.0	1264.0	1603.0	Q750	19
Bosnia and Herzegovina	2552.0	1040.0	1511.0	Q225	20
Botswana	977.0	396.0	581.0	Q963	21
Brazil	65381.0	29802.0	35579.0	Q155	22
Brunei Darussalam	140.0	73.0	67.0	Q921	23
Bulgaria	1585.0	688.0	897.0	Q219	24
Burkina Faso	2105.0	1054.0	1051.0	Q965	25
Burundi	1251.0	768.0	482.0	Q967	26
Cabo Verde	134.0	40.0	94.0	Q1011	27
Cambodia	2192.0	837.0	1355.0	Q424	28
Cameroon	4567.0	1995.0	2572.0	Q1009	29
Canada	6941.0	3751.0	3191.0	Q16	30
Central African Republic	642.0	371.0	271.0	Q929	31
Chad	1848.0	768.0	1081.0	Q657	32
Chile	5171.0	2450.0	2722.0	Q298	33
China	167267.0	68340.0	98927.0	Q148	34
Colombia	9732.0	4538.0	5195.0	Q739	35
Comoros	135.0	76.0	59.0	Q970	36
Congo	659.0	335.0	323.0	Q971	37
Costa Rica	916.0	423.0	493.0	Q800	38
Côte d'Ivoire	5598.0	2393.0	3204.0	Q1008	39
Croatia	1904.0	775.0	1129.0	Q224	40
Cuba	2388.0	973.0	1415.0	Q241	41
