Country	Male	Female	ID	id_row
Solomon Islands	163.0	125.0	Q685	156
Somalia	325.0	269.0	Q1045	157
South Africa	376.0	249.0	Q258	158
South Sudan	351.0	301.0	Q958	159
Spain	75.0	38.0	Q29	160
Sri Lanka	151.0	56.0	Q854	161
St. Lucia	175.0	97.0	Q760	162
St. Vincent and the Grenadines	207.0	125.0	Q757	163
Sudan	245.0	187.0	Q1049	164
Suriname	220.0	118.0	Q730	165
Sweden	62.0	38.0	Q34	166
Switzerland	58.0	36.0	Q39	167
Syrian Arab Republic	237.0	73.0	Q858	168
Tajikistan	165.0	96.0	Q863	169
Tanzania	250.0	193.0	Q924	170
Thailand	187.0	78.0	Q869	171
Timor-Leste	169.0	117.0	Q574	172
Togo	278.0	244.0	Q945	173
Tonga	214.0	121.0	Q678	174
Trinidad and Tobago	186.0	109.0	Q754	175
Tunisia	107.0	67.0	Q948	176
Turkey	119.0	62.0	Q43	177
Turkmenistan	244.0	128.0	Q874	178
Uganda	302.0	233.0	Q1036	179
Ukraine	292.0	111.0	Q212	180
United Arab Emirates	70.0	45.0	Q878	181
United Kingdom	86.0	55.0	Q145	182
United States	139.0	82.0	Q30	183
Uruguay	139.0	76.0	Q77	184
Uzbekistan	170.0	101.0	Q265	185
Vanuatu	152.0	102.0	Q686	186
Venezuela, RB	207.0	95.0	Q717	187
Vietnam	189.0	76.0	Q881	188
Virgin Islands (U.S.)	70.0	41.0	Q11703	189
West Bank and Gaza	127.0	92.0	Q407199	190
Yemen, Rep.	220.0	175.0	Q805	191
Zambia	321.0	222.0	Q953	192
Zimbabwe	373.0	338.0	Q954	193
