Country	Goveernment2010	Goveernment2018	ID	id_row
Afghanistan	1.1	0.4	Q889	0
Albania	4.0	3.2	Q222	1
Angola	-2.5	20.4	Q916	2
Armenia	3.6	3.5	Q399	3
Australia	4.0	1.6	Q408	4
Azerbaijan	0.1	-2.0	Q227	5
Bahamas, The	3.1	3.6	Q778	6
Bangladesh	2.8	3.7	Q902	7
Barbados	10.1	4.8	Q244	8
Belarus	2.5	0.2	Q184	9
Bhutan	0.3	6.8	Q917	10
Bosnia and Herzegovina	1.8	-0.2	Q225	11
Botswana	5.1	2.3	Q963	12
Brazil	6.5	6.1	Q155	13
Burkina Faso	4.4	3.7	Q965	14
Cambodia	3.2	1.9	Q424	15
Cameroon	2.5	1.4	Q1009	16
Central African Republic	1.2	-0.3	Q929	17
Chile	2.4	1.7	Q298	18
Colombia	7.1	2.8	Q739	19
Congo, Rep.	-24.0	-9.5	Q971	20
Cote d'Ivoire	2.4	3.6	Q1008	21
Dominican Republic	3.6	3.0	Q786	22
El Salvador	1.4	-2.6	Q792	23
Ethiopia	13.3	4.7	Q115	24
Fiji	4.3	6.5	Q712	25
Gabon	-1.9	0.4	Q1000	26
Georgia	5.8	2.5	Q230	27
Ghana	6.3	3.9	Q117	28
Guatemala	3.4	2.0	Q774	29
Honduras	2.9	2.3	Q783	30
Hungary	2.3	4.1	Q28	31
Iceland	11.0	-1.3	Q189	32
India	4.4	2.7	Q668	33
Indonesia	1.4	2.5	Q252	34
Ireland	24.8	5.3	Q27	35
Israel	2.0	2.9	Q801	36
Japan	6.5	3.4	Q17	37
Jordan	4.9	4.0	Q810	38
Kazakhstan	2.6	1.1	Q232	39
Kiribati	1.1	-0.8	Q710	40
Korea, Rep.	1.2	1.1	Q884	41
Lebanon	4.7	8.8	Q822	42
Lesotho	1.4	0.2	Q1013	43
Madagascar	1.8	1.7	Q1019	44
Malawi	0.3	6.4	Q1020	45
Malaysia	4.9	3.7	Q833	46
Mali	2.6	3.2	Q912	47
Malta	4.9	0.6	Q233	48
Marshall Islands	0.4	-2.5	Q709	49
Mauritius	1.7	-0.8	Q1027	50
Mexico	3.4	2.6	Q96	51
Micronesia, Fed. Sts.	-0.2	-5.0	Q702	52
Moldova	2.7	0.6	Q217	53
Mongolia	0.2	-3.7	Q711	54
Morocco	4.0	3.7	Q1028	55
Mozambique	5.4	5.9	Q1029	56
Myanmar	1.8	1.2	Q836	57
Namibia	2.1	5.6	Q1030	58
Nepal	1.9	3.4	Q837	59
North Macedonia	1.6	3.3	Q221	60
Norway	2.5	3.2	Q20	61
Palau	4.8	4.0	Q695	62
Paraguay	0.3	2.5	Q733	63
Peru	-1.2	-1.1	Q419	64
Philippines	3.8	2.8	Q928	65
Russian Federation	1.6	1.0	Q159	66
Samoa	7.3	0.6	Q683	67
Seychelles	14.8	-0.5	Q1042	68
Singapore	9.6	8.9	Q334	69
Solomon Islands	0.0	0.2	Q685	70
South Africa	7.1	5.8	Q258	71
Spain	6.1	3.5	Q29	72
Sri Lanka	7.2	5.6	Q854	73
Tanzania	6.7	1.6	Q924	74
Thailand	2.3	2.4	Q869	75
Togo	-0.7	0.9	Q945	76
Tonga	0.6	1.6	Q678	77
Trinidad and Tobago	-1.5	6.9	Q754	78
Turkey	3.2	3.0	Q43	79
Ukraine	9.9	1.5	Q212	80
United Arab Emirates	-0.3	0.0	Q878	81
United Kingdom	9.6	2.7	Q145	82
United States	11.3	6.0	Q30	83
Uruguay	-1.2	1.4	Q77	84
Uzbekistan	-0.2	-0.3	Q265	85
Vanuatu	1.6	-3.1	Q686	86
Zambia	2.8	6.1	Q953	87
