Country	Raillines	Passengerscarried	Goodshauled	ID	id_row
Algeria	4016.0	1550.0	1009.0	Q262	0
Armenia	686.0	25.0	689.0	Q399	1
Austria	4953.0	12019.0	16052.0	Q40	2
Azerbaijan	2132.0	467.0	4633.0	Q227	3
Bangladesh	2877.0	10040.0	1053.0	Q902	4
Belarus	5459.0	6295.0	48538.0	Q184	5
Bosnia and Herzegovina	1018.0	29.0	1114.0	Q225	6
Bulgaria	4030.0	1437.0	2860.0	Q219	7
Cameroon	1004.0	262124.0	842.0	Q1009	8
Canada	48150.0	1535.0	540141.0	Q16	9
China	67278.0	685213.0	2146466.0	Q148	10
Congo, Dem. Rep.	3641.0	23.0	194.0	Q974	11
Croatia	2605.0	745.0	2012.0	Q224	12
Czech Republic	9408.0	7778.0	11819.0	Q213	13
Finland	5926.0	4271.0	10319.0	Q33	14
Gabon	810.0	174.0	3276.0	Q1000	15
Georgia	1285.0	597.0	2963.0	Q230	16
Germany	33488.0	77500.0	70614.0	Q183	17
Hungary	7752.0	5781.0	447.0	Q28	18
India	67368.0	1149835.0	620175.0	Q668	19
Iran, Islamic Rep.	9021.0	13270.0	30299.0	Q794	20
Ireland	1888.0	2122.0	100.0	Q27	21
Israel	1495.0	2765.0	1381.0	Q801	22
Italy	16788.0	44306.0	9969.0	Q38	23
Japan	16976.0	197254.0	21265.0	Q17	24
Kazakhstan	16040.0	19241.0	206258.0	Q232	25
Korea, Rep.	4192.0	21935.0	8229.0	Q884	26
Kyrgyz Republic	424.0	43.0	935.0	Q813	27
Latvia	1860.0	42.0	9971.0	Q211	28
Lithuania	1911.0	468.0	15414.0	Q37	29
North Macedonia	683.0	59.0	277.0	Q221	30
Moldova	1151.0	77.0	971.0	Q217	31
Mongolia	1810.0	973.0	13493.0	Q711	32
Montenegro	249.0	60.0	169.0	Q236	33
Morocco	2109.0	4923.0	3896.0	Q1028	34
Pakistan	7791.0	22476.0	5031.0	Q843	35
Poland	18513.0	9466.0	28720.0	Q36	36
Romania	10765.0	5366.0	9223.0	Q218	37
Russian Federation	85545.0	122920.0	2491876.0	Q159	38
Serbia	3736.0	377.0	3288.0	Q403	39
Slovak Republic	3626.0	3760.0	7008.0	Q214	40
Slovenia	1209.0	650.0	4447.0	Q215	41
Spain	15559.0	26990.0	6649.0	Q29	42
Sri Lanka	1562.0	7407.0	127.0	Q854	43
Switzerland	4036.0	19193.0	8492.0	Q39	44
Tajikistan	620.0	28.0	165.0	Q863	45
Tunisia	2165.0	1164.0	664.0	Q948	46
Turkey	10207.0	4566.0	12058.0	Q43	47
Turkmenistan	7680.0	2340.0	13327.0	Q874	48
Ukraine	21626.0	28001.0	191914.0	Q212	49
United States	150966.0	10660.0	2445132.0	Q30	50
Uzbekistan	4642.0	4294.0	22940.0	Q265	51
Vietnam	2367.0	3657.0	3574.0	Q881	52
