Country	Landarea	ID	id_row
Afghanistan	652.9	Q889	0
Albania	27.4	Q222	1
Algeria	2381.7	Q262	2
American Samoa	0.2	Q16641	3
Andorra	0.5	Q228	4
Angola	1.7	Q916	5
Antigua and Barbuda	0.4	Q781	6
Argentina	2736.7	Q414	7
Armenia	28.5	Q399	8
Aruba	0.2	Q21203	9
Australia	7692.0	Q408	10
Austria	82.5	Q40	11
Azerbaijan	82.7	Q227	12
Bahamas, The	10.0	Q778	13
Bahrain	0.8	Q398	14
Bangladesh	130.2	Q902	15
Barbados	0.4	Q244	16
Belarus	203.0	Q184	17
Belgium	30.3	Q31	18
Belize	22.8	Q242	19
Benin	112.8	Q962	20
Bermuda	0.1	Q23635	21
Bhutan	38.1	Q917	22
Bolivia	1083.3	Q750	23
Bosnia and Herzegovina	51.2	Q225	24
Botswana	566.7	Q963	25
Brazil	8358.1	Q155	26
Brunei Darussalam	5.3	Q921	27
Bulgaria	108.6	Q219	28
Burkina Faso	273.6	Q965	29
Burundi	25.7	Q967	30
Cabo Verde	4.0	Q1011	31
Cambodia	176.5	Q424	32
Cameroon	472.7	Q1009	33
Canada	1.5	Q16	34
Cayman Islands	0.2	Q5785	35
Central African Republic	623.0	Q929	36
Chad	1.2	Q657	37
Channel Islands	0.2	Q42314	38
Chile	743.5	Q298	39
China	9388.2	Q148	40
Hong Kong SAR, China	1.1	Q8646	41
Macao SAR, China	0.0	Q14773	42
Colombia	1109.5	Q739	43
Comoros	1.9	Q970	44
Congo, Dem. Rep.	1.1	Q974	45
Congo, Rep.	341.5	Q971	46
Costa Rica	51.1	Q800	47
Cote d'Ivoire	318.0	Q1008	48
Croatia	56.0	Q224	49
Cuba	104.0	Q241	50
Curacao	0.4	Q25279	51
Cyprus	9.2	Q229	52
Czech Republic	77.2	Q213	53
Denmark	42.0	Q35	54
Djibouti	23.2	Q977	55
Dominica	0.8	Q784	56
Dominican Republic	48.3	Q786	57
Ecuador	248.4	Q736	58
Egypt, Arab Rep.	995.5	Q79	59
El Salvador	20.7	Q792	60
Equatorial Guinea	28.1	Q983	61
Eritrea	101.0	Q986	62
Estonia	43.5	Q191	63
Eswatini	17.2	Q1050	64
Ethiopia	1000.0	Q115	65
Faroe Islands	1.4	Q4628	66
Fiji	18.3	Q712	67
Finland	303.9	Q33	68
France	547.6	Q142	69
French Polynesia	3.7	Q30971	70
Gabon	257.7	Q1000	71
Gambia, The	10.1	Q1005	72
Georgia	69.5	Q230	73
Germany	349.4	Q183	74
Ghana	227.5	Q117	75
Greece	128.9	Q41	76
Greenland	410.5	Q223	77
Grenada	0.3	Q769	78
Guam	0.5	Q16635	79
Guatemala	107.2	Q774	80
Guinea	245.7	Q1006	81
Guinea-Bissau	28.1	Q1007	82
Guyana	196.9	Q734	83
Haiti	27.6	Q790	84
Honduras	111.9	Q783	85
Hungary	90.5	Q28	86
Iceland	100.3	Q189	87
India	2973.2	Q668	88
Indonesia	1811.6	Q252	89
Iran, Islamic Rep.	1628.8	Q794	90
Iraq	434.1	Q796	91
Ireland	68.9	Q27	92
Isle of Man	0.6	Q9676	93
Israel	21.6	Q801	94
Italy	294.1	Q38	95
Jamaica	10.8	Q766	96
Japan	364.6	Q17	97
Jordan	88.8	Q810	98
Kazakhstan	1.7	Q232	99
Kenya	569.1	Q114	100
Kiribati	0.8	Q710	101
Korea, Dem. Peopleâ€™s Rep.	120.4	Q423	102
Korea, Rep.	97.5	Q884	103
Kosovo	10.9	Q1246	104
Kuwait	17.8	Q817	105
Kyrgyz Republic	191.8	Q813	106
Lao PDR	230.8	Q819	107
Latvia	62.2	Q211	108
Lebanon	10.2	Q822	109
Lesotho	30.4	Q1013	110
Liberia	96.3	Q1014	111
Libya	1759.5	Q1016	112
Liechtenstein	0.2	Q347	113
Lithuania	62.6	Q37	114
Luxembourg	2.4	Q32	115
North Macedonia	25.2	Q221	116
Madagascar	581.8	Q1019	117
Malawi	94.3	Q1020	118
Malaysia	328.6	Q833	119
Maldives	0.3	Q826	120
Mali	1.2	Q912	121
Malta	0.3	Q233	122
Marshall Islands	0.2	Q709	123
Mauritania	1030.7	Q1025	124
Mauritius	2.0	Q1027	125
Mexico	1944.0	Q96	126
Micronesia, Fed. Sts.	0.7	Q702	127
Moldova	32.9	Q217	128
Monaco	0.0	Q235	129
Mongolia	1.6	Q711	130
Montenegro	13.5	Q236	131
Morocco	446.3	Q1028	132
Mozambique	786.4	Q1029	133
Myanmar	653.1	Q836	134
Namibia	823.3	Q1030	135
Nepal	143.4	Q837	136
Netherlands	33.7	Q55	137
New Caledonia	18.3	Q33788	138
New Zealand	263.3	Q664	139
Nicaragua	120.3	Q811	140
Niger	1.7	Q1032	141
Nigeria	910.8	Q1033	142
Northern Mariana Islands	0.5	Q16644	143
Norway	365.1	Q20	144
Oman	309.5	Q842	145
Pakistan	770.9	Q843	146
Palau	0.5	Q695	147
Panama	74.3	Q804	148
Papua New Guinea	452.9	Q691	149
Paraguay	397.3	Q733	150
Peru	1280.0	Q419	151
Philippines	298.2	Q928	152
Poland	306.2	Q36	153
Portugal	91.6	Q45	154
Puerto Rico	8.9	Q1183	155
Qatar	11.6	Q846	156
Romania	230.1	Q218	157
Russian Federation	16376.9	Q159	158
Rwanda	24.7	Q1037	159
Samoa	2.8	Q683	160
San Marino	0.1	Q238	161
Sao Tome and Principe	1.0	Q1039	162
Saudi Arabia	2149.7	Q851	163
Senegal	192.5	Q1041	164
Serbia	87.5	Q403	165
Seychelles	0.5	Q1042	166
Sierra Leone	72.2	Q1044	167
Singapore	0.7	Q334	168
Sint Maarten (Dutch part)	0.0	Q26273	169
Slovak Republic	48.1	Q214	170
Slovenia	20.1	Q215	171
Solomon Islands	28.0	Q685	172
Somalia	627.3	Q1045	173
South Africa	1213.1	Q258	174
Spain	499.6	Q29	175
Sri Lanka	62.7	Q854	176
St. Kitts and Nevis	0.3	Q763	177
St. Lucia	0.6	Q760	178
St. Martin (French part)	0.1	Q126125	179
St. Vincent and the Grenadines	0.4	Q757	180
Suriname	156.0	Q730	181
Sweden	407.3	Q34	182
Switzerland	39.5	Q39	183
Syrian Arab Republic	183.6	Q858	184
Tajikistan	138.8	Q863	185
Tanzania	885.8	Q924	186
Thailand	510.9	Q869	187
Timor-Leste	14.9	Q574	188
Togo	54.4	Q945	189
Tonga	0.7	Q678	190
Trinidad and Tobago	5.1	Q754	191
Tunisia	155.4	Q948	192
Turkey	769.6	Q43	193
Turkmenistan	469.9	Q874	194
Turks and Caicos Islands	1.0	Q18221	195
Tuvalu	0.0	Q672	196
Uganda	200.5	Q1036	197
Ukraine	579.3	Q212	198
United Arab Emirates	71.0	Q878	199
United Kingdom	241.9	Q145	200
United States	9147.4	Q30	201
Uruguay	175.0	Q77	202
Uzbekistan	425.4	Q265	203
Vanuatu	12.2	Q686	204
Venezuela, RB	882.1	Q717	205
Vietnam	310.1	Q881	206
Virgin Islands (U.S.)	0.4	Q11703	207
West Bank and Gaza	6.0	Q407199	208
Yemen, Rep.	528.0	Q805	209
Zambia	743.4	Q953	210
Zimbabwe	386.9	Q954	211
