Country	Valueofsharestraded2010	Valueofsharestraded2019	ID	id_row
Argentina	0.6	0.7	Q414	0
Australia	98.7	59.9	Q408	1
Austria	12.5	7.5	Q40	2
Bahrain	1.1	2.0	Q398	3
Bangladesh	4.2	4.3	Q902	4
Barbados	0.7	0.3	Q244	5
Brazil	41.1	40.8	Q155	6
Bulgaria	0.7	0.3	Q219	7
Canada	87.1	82.5	Q16	8
Chile	26.5	13.0	Q298	9
China	135.7	132.8	Q148	10
Hong Kong SAR, China	650.6	497.8	Q8646	11
Colombia	7.9	4.3	Q739	12
Costa Rica	0.1	0.1	Q800	13
Croatia	1.8	0.5	Q224	14
Cyprus	2.9	0.2	Q229	15
Egypt, Arab Rep.	17.0	3.7	Q79	16
Germany	44.0	35.1	Q183	17
Greece	13.6	7.4	Q41	18
Hungary	20.2	5.4	Q28	19
India	64.5	43.7	Q668	20
Indonesia	13.8	10.5	Q252	21
Iran, Islamic Rep.	3.5	2.6	Q794	22
Ireland	4.0	8.4	Q27	23
Israel	46.3	17.3	Q801	24
Jamaica	1.8	4.8	Q766	25
Japan	74.9	100.3	Q17	26
Jordan	32.1	5.6	Q810	27
Kazakhstan	0.4	0.2	Q232	28
Kenya	2.0	0.5	Q114	29
Korea, Rep.	142.5	117.4	Q884	30
Lebanon	4.9	0.4	Q822	31
Luxembourg	0.3	0.1	Q32	32
Malaysia	45.0	29.8	Q833	33
Malta	0.6	0.7	Q233	34
Mauritius	3.6	2.4	Q1027	35
Mexico	10.5	6.7	Q96	36
Morocco	6.5	2.7	Q1028	37
Namibia	0.2	0.8	Q1030	38
New Zealand	1.3	6.0	Q664	39
Nigeria	1.4	0.6	Q1033	40
Norway	49.5	25.2	Q20	41
Oman	5.8	2.2	Q842	42
Panama	0.2	0.6	Q804	43
Peru	2.7	0.7	Q419	44
Philippines	10.7	8.0	Q928	45
Poland	14.5	8.5	Q36	46
Qatar	14.7	7.3	Q846	47
Romania	1.0	0.8	Q218	48
Russian Federation	33.2	10.6	Q159	49
Saudi Arabia	38.1	27.8	Q851	50
Singapore	127.5	30.7	Q334	51
Slovenia	1.0	0.3	Q215	52
South Africa	73.9	81.0	Q258	53
Spain	96.7	43.9	Q29	54
Sri Lanka	8.8	1.1	Q854	55
Switzerland	149.9	137.4	Q39	56
Thailand	65.2	67.5	Q869	57
Turkey	52.2	46.1	Q43	58
Ukraine	2.1	0.0	Q212	59
United Arab Emirates	9.6	6.2	Q878	60
United States	240.3	108.2	Q30	61
Vietnam	26.6	12.0	Q881	62
West Bank and Gaza	4.2	2.4	Q407199	63
