Country	Lowest20	ID	id_row
Afghanistan	2.9	Q889	0
Albania	2.2	Q222	1
Algeria	0.8	Q262	2
American Samoa	2.2	Q16641	3
Andorra	1.8	Q228	4
Angola	-0.9	Q916	5
Antigua and Barbuda	4.7	Q781	6
Argentina	-2.2	Q414	7
Armenia	7.6	Q399	8
Aruba	2.0	Q21203	9
Australia	1.9	Q408	10
Austria	1.6	Q40	11
Azerbaijan	2.2	Q227	12
Bahamas, The	1.8	Q778	13
Bahrain	1.8	Q398	14
Bangladesh	8.2	Q902	15
Barbados	-0.1	Q244	16
Belarus	1.2	Q184	17
Belgium	1.4	Q31	18
Belize	0.3	Q242	19
Benin	6.9	Q962	20
Bhutan	3.0	Q917	21
Bolivia	2.2	Q750	22
Bosnia and Herzegovina	2.6	Q225	23
Botswana	3.0	Q963	24
Brazil	1.1	Q155	25
Brunei Darussalam	3.9	Q921	26
Bulgaria	3.4	Q219	27
Burkina Faso	5.7	Q965	28
Burundi	1.8	Q967	29
Cabo Verde	7.1	Q1011	30
Cambodia	4.0	Q424	31
Cameroon	1.7	Q1009	32
Canada	5.7	Q16	33
Cayman Islands	3.3	Q5785	34
Central African Republic	3.0	Q929	35
Chad	3.2	Q657	36
Chile	1.1	Q298	37
China	6.1	Q148	38
Hong Kong SAR, China	-1.2	Q8646	39
Macao SAR, China	-4.7	Q14773	40
Colombia	3.3	Q739	41
Comoros	2.7	Q970	42
Congo, Dem. Rep.	4.4	Q974	43
Congo, Rep.	-0.9	Q971	44
Costa Rica	2.1	Q800	45
Cote d'Ivoire	6.9	Q1008	46
Croatia	2.9	Q224	47
Cuba	2.2	Q241	48
Curacao	-2.2	Q25279	49
Cyprus	3.2	Q229	50
Czech Republic	2.6	Q213	51
Denmark	2.4	Q35	52
Djibouti	7.5	Q977	53
Dominica	5.7	Q784	54
Dominican Republic	5.1	Q786	55
Ecuador	0.1	Q736	56
Egypt, Arab Rep.	5.6	Q79	57
El Salvador	2.4	Q792	58
Equatorial Guinea	-5.6	Q983	59
Estonia	4.3	Q191	60
Eswatini	2.0	Q1050	61
Ethiopia	8.3	Q115	62
Fiji	1.1	Q712	63
Finland	1.0	Q33	64
France	1.5	Q142	65
Gabon	3.4	Q1000	66
Gambia, The	6.0	Q1005	67
Georgia	5.1	Q230	68
Germany	0.6	Q183	69
Ghana	6.5	Q117	70
Greece	1.9	Q41	71
Greenland	3.2	Q223	72
Grenada	3.1	Q769	73
Guam	-0.3	Q16635	74
Guatemala	3.8	Q774	75
Guinea	5.6	Q1006	76
Guinea-Bissau	4.6	Q1007	77
Guyana	4.7	Q734	78
Haiti	-0.9	Q790	79
Honduras	2.7	Q783	80
Hungary	4.9	Q28	81
