Country	Percentageofunemployment	ID	id_row
Afghanistan	15.5	Q889	0
Albania	15.1	Q222	1
Argentina	3.6	Q414	2
Armenia	21.0	Q399	3
Austria	3.2	Q40	4
Bangladesh	10.7	Q902	5
Belarus	3.7	Q184	6
Belgium	3.4	Q31	7
Belize	3.9	Q242	8
Bolivia	6.0	Q750	9
Bosnia and Herzegovina	15.4	Q225	10
Brazil	6.9	Q155	11
Brunei Darussalam	8.8	Q921	12
Bulgaria	2.3	Q219	13
Burkina Faso	11.1	Q965	14
Cabo Verde	6.2	Q1011	15
Cambodia	0.9	Q424	16
Canada	4.6	Q16	17
Cayman Islands	2.5	Q5785	18
Chile	7.0	Q298	19
Colombia	11.2	Q739	20
Costa Rica	5.3	Q800	21
Cote d'Ivoire	12.4	Q1008	22
Croatia	6.0	Q224	23
Cyprus	7.6	Q229	24
Czech Republic	1.2	Q213	25
Denmark	4.0	Q35	26
Dominican Republic	3.7	Q786	27
Ecuador	5.3	Q736	28
Egypt, Arab Rep.	22.1	Q79	29
El Salvador	5.0	Q792	30
Estonia	3.6	Q191	31
Eswatini	11.3	Q1050	32
Fiji	5.0	Q712	33
Finland	4.2	Q33	34
France	5.4	Q142	35
Gambia, The	7.0	Q1005	36
Georgia	12.9	Q230	37
Germany	1.9	Q183	38
Ghana	4.6	Q117	39
Greece	14.2	Q41	40
Guatemala	2.9	Q774	41
Guyana	4.9	Q734	42
Honduras	7.6	Q783	43
Hong Kong SAR, China	2.4	Q8646	44
Hungary	1.5	Q28	45
Iceland	1.9	Q189	46
India	15.3	Q668	47
Indonesia	5.3	Q252	48
Iran, Islamic Rep.	20.0	Q794	49
Ireland	3.8	Q27	50
Israel	2.8	Q801	51
Italy	5.9	Q38	52
Japan	2.3	Q17	53
Kazakhstan	3.5	Q232	54
Kenya	7.8	Q114	55
Kiribati	2.2	Q710	56
Korea, Rep.	4.1	Q884	57
Kosovo	4.6	Q1246	58
Lao PDR	6.9	Q819	59
Latvia	3.7	Q211	60
Liberia	8.1	Q1014	61
Lithuania	2.8	Q37	62
Luxembourg	4.2	Q32	63
Macao SAR, China	1.5	Q14773	64
Madagascar	8.5	Q1019	65
Malawi	14.1	Q1020	66
Malaysia	4.1	Q833	67
Maldives	3.5	Q826	68
Mali	18.8	Q912	69
Malta	1.9	Q233	70
Mauritania	17.3	Q1025	71
Mauritius	7.0	Q1027	72
Mexico	4.1	Q96	73
Moldova	3.3	Q217	74
Mongolia	5.7	Q711	75
Montenegro	10.3	Q236	76
Mozambique	7.3	Q1029	77
Myanmar	2.3	Q836	78
Namibia	12.2	Q1030	79
Nepal	8.5	Q837	80
Netherlands	2.5	Q55	81
Niger	4.8	Q1032	82
Nigeria	13.7	Q1033	83
North Macedonia	17.8	Q221	84
Norway	2.3	Q20	85
Pakistan	7.1	Q843	86
Panama	3.2	Q804	87
Paraguay	2.8	Q733	88
Peru	3.9	Q419	89
Philippines	7.5	Q928	90
Poland	2.0	Q36	91
Portugal	5.4	Q45	92
Romania	2.1	Q218	93
Russian Federation	4.8	Q159	94
Rwanda	18.1	Q1037	95
Samoa	7.7	Q683	96
San Marino	8.2	Q238	97
Senegal	17.8	Q1041	98
Serbia	10.8	Q403	99
Seychelles	2.5	Q1042	100
Singapore	4.1	Q334	101
Slovak Republic	3.1	Q214	102
Slovenia	3.6	Q215	103
South Africa	12.0	Q258	104
Spain	8.9	Q29	105
Sri Lanka	7.1	Q854	106
St. Lucia	7.8	Q760	107
Sweden	3.7	Q34	108
Switzerland	3.5	Q39	109
Thailand	1.6	Q869	110
Timor-Leste	6.1	Q574	111
Togo	13.5	Q945	112
Tonga	2.5	Q678	113
Trinidad and Tobago	2.4	Q754	114
Tunisia	26.8	Q948	115
Turkey	12.2	Q43	116
Tuvalu	2.4	Q672	117
Ukraine	7.7	Q212	118
United Arab Emirates	3.3	Q878	119
United Kingdom	2.5	Q145	120
United States	2.5	Q30	121
Uruguay	3.0	Q77	122
Vietnam	2.1	Q881	123
West Bank and Gaza	32.5	Q407199	124
Zambia	8.0	Q953	125
