Country	Publicandpubliclyguaranteed	Privatenonguaranteed	ID	id_row
Afghanistan	1949.0	17.0	Q889	0
Albania	4563.0	2924.0	Q222	1
Algeria	1523.0	202.0	Q262	2
Angola	38208.0	12669.0	Q916	3
Argentina	131182.0	50828.0	Q414	4
Armenia	5371.0	4063.0	Q399	5
Azerbaijan	13957.0	1471.0	Q227	6
Bangladesh	36664.0	4892.0	Q902	7
Belarus	19988.0	8741.0	Q184	8
Belize	1259.0	93.0	Q242	9
Benin	3390.0	0.0	Q962	10
Bhutan	2482.0	55.0	Q917	11
Bolivia	9904.0	2445.0	Q750	12
Bosnia and Herzegovina	4966.0	10125.0	Q225	13
Botswana	1418.0	0.0	Q963	14
Brazil	190143.0	296820.0	Q155	15
Bulgaria	11138.0	18192.0	Q219	16
Burkina Faso	3006.0	11.0	Q965	17
Burundi	423.0	0.0	Q967	18
Cabo Verde	1721.0	0.0	Q1011	19
Cambodia	6808.0	4056.0	Q424	20
Cameroon	9015.0	703.0	Q1009	21
Central African Republic	409.0	0.0	Q929	22
Chad	2834.0	0.0	Q657	23
China	243455.0	490227.0	Q148	24
Colombia	76044.0	42764.0	Q739	25
Comoros	168.0	0.0	Q970	26
Congo, Dem. Rep.	4047.0	0.0	Q974	27
Congo, Rep.	4728.0	0.0	Q971	28
Costa Rica	11340.0	12891.0	Q800	29
Cote d'Ivoire	12696.0	1011.0	Q1008	30
Djibouti	2041.0	943.0	Q977	31
Dominica	244.0	0.0	Q784	32
Dominican Republic	23485.0	8011.0	Q786	33
Ecuador	35567.0	7935.0	Q736	34
Egypt, Arab Rep.	78698.0	446.0	Q79	35
El Salvador	9605.0	5583.0	Q792	36
Eritrea	735.0	0.0	Q986	37
Ethiopia	27036.0	0.0	Q115	38
Fiji	714.0	0.0	Q712	39
Gabon	5978.0	0.0	Q1000	40
Gambia, The	579.0	0.0	Q1005	41
Georgia	6280.0	7754.0	Q230	42
Ghana	17921.0	253.0	Q117	43
Grenada	489.0	0.0	Q769	44
Guatemala	8428.0	12727.0	Q774	45
Guinea	1939.0	0.0	Q1006	46
Guinea-Bissau	326.0	0.0	Q1007	47
Guyana	1206.0	157.0	Q734	48
Haiti	2012.0	0.0	Q790	49
Honduras	7194.0	1641.0	Q783	50
India	180508.0	231179.0	Q668	51
Indonesia	215147.0	113802.0	Q252	52
Iran, Islamic Rep.	382.0	0.0	Q794	53
Jamaica	9772.0	3468.0	Q766	54
Jordan	16482.0	3071.0	Q810	55
Kazakhstan	24181.0	123896.0	Q232	56
Kenya	26876.0	1210.0	Q114	57
Kosovo	300.0	941.0	Q1246	58
Kyrgyz Republic	3685.0	3689.0	Q813	59
Lao PDR	9161.0	5952.0	Q819	60
Lebanon	33070.0	40459.0	Q822	61
Lesotho	820.0	0.0	Q1013	62
Liberia	815.0	51.0	Q1014	63
North Macedonia	4061.0	3248.0	Q221	64
Madagascar	2888.0	92.0	Q1019	65
Malawi	1929.0	0.0	Q1020	66
Maldives	2003.0	55.0	Q826	67
Mali	4344.0	0.0	Q912	68
Mauritania	3945.0	0.0	Q1025	69
Mauritius	1430.0	4849.0	Q1027	70
Mexico	295042.0	92888.0	Q96	71
Moldova	1450.0	3441.0	Q217	72
Mongolia	7856.0	18135.0	Q711	73
Montenegro	3422.0	4286.0	Q236	74
Morocco	32115.0	8700.0	Q1028	75
Mozambique	11058.0	2626.0	Q1029	76
Myanmar	13701.0	14.0	Q836	77
Nepal	4941.0	129.0	Q837	78
Nicaragua	5094.0	4966.0	Q811	79
Niger	2878.0	0.0	Q1032	80
Nigeria	25232.0	19485.0	Q1033	81
Pakistan	64493.0	10887.0	Q843	82
Papua New Guinea	3408.0	13674.0	Q691	83
Paraguay	6399.0	4635.0	Q733	84
Peru	18073.0	37778.0	Q419	85
Philippines	36346.0	25245.0	Q928	86
Romania	37954.0	56930.0	Q218	87
Russian Federation	177150.0	220600.0	Q159	88
Rwanda	3221.0	1769.0	Q1037	89
Samoa	403.0	0.0	Q683	90
Sao Tome and Principe	223.0	0.0	Q1039	91
Senegal	11589.0	442.0	Q1041	92
Serbia	15088.0	16519.0	Q403	93
Sierra Leone	1023.0	0.0	Q1044	94
Solomon Islands	96.0	232.0	Q685	95
Somalia	1889.0	0.0	Q1045	96
South Africa	77029.0	63165.0	Q258	97
Sri Lanka	34319.0	8581.0	Q854	98
St. Lucia	500.0	0.0	Q760	99
St. Vincent and the Grenadines	310.0	0.0	Q757	100
Sudan	15672.0	0.0	Q1049	101
Eswatini	418.0	0.0	Q1050	102
Syrian Arab Republic	3652.0	0.0	Q858	103
Tajikistan	2857.0	2076.0	Q863	104
Tanzania	12792.0	3617.0	Q924	105
Thailand	35606.0	71980.0	Q869	106
Timor-Leste	145.0	0.0	Q574	107
Togo	1216.0	0.0	Q945	108
Tonga	180.0	0.0	Q678	109
Tunisia	22151.0	2136.0	Q948	110
Turkey	121361.0	206867.0	Q43	111
Turkmenistan	469.0	35.0	Q874	112
Uganda	7716.0	3865.0	Q1036	113
Ukraine	36221.0	44604.0	Q212	114
Uzbekistan	9481.0	7061.0	Q265	115
Vanuatu	314.0	0.0	Q686	116
Venezuela, RB	70837.0	34303.0	Q717	117
Vietnam	53321.0	34752.0	Q881	118
Yemen, Rep.	6205.0	0.0	Q805	119
Zambia	9987.0	7748.0	Q953	120
Zimbabwe	3970.0	4471.0	Q954	121
