Country	Migrants	ID	id_row
Afghanistan	382.0	Q889	0
Albania	58.0	Q222	1
Algeria	242.0	Q262	2
American Samoa	23.0	Q16641	3
Andorra	42.0	Q228	4
Angola	107.0	Q916	5
Antigua and Barbuda	28.0	Q781	6
Argentina	2086.0	Q414	7
Armenia	191.0	Q399	8
Aruba	36.0	Q21203	9
Australia	6764.0	Q408	10
Austria	1492.0	Q40	11
Azerbaijan	264.0	Q227	12
Bahamas, The	59.0	Q778	13
Bahrain	704.0	Q398	14
Bangladesh	1423.0	Q902	15
Barbados	34.0	Q244	16
Belarus	1083.0	Q184	17
Belgium	1388.0	Q31	18
Belize	54.0	Q242	19
Benin	245.0	Q962	20
Bermuda	19.0	Q23635	21
Bhutan	51.0	Q917	22
Bolivia	143.0	Q750	23
Bosnia and Herzegovina	35.0	Q225	24
Botswana	161.0	Q963	25
Brazil	714.0	Q155	26
Brunei Darussalam	103.0	Q921	27
Bulgaria	102.0	Q219	28
Burkina Faso	705.0	Q965	29
Burundi	287.0	Q967	30
Cabo Verde	15.0	Q1011	31
Cambodia	74.0	Q424	32
Cameroon	382.0	Q1009	33
Canada	7836.0	Q16	34
Cayman Islands	24.0	Q5785	35
Central African Republic	82.0	Q929	36
Chad	517.0	Q657	37
Channel Islands	82.0	Q42314	38
Chile	469.0	Q298	39
China	978.0	Q148	40
Hong Kong SAR, China	2839.0	Q8646	41
Macao SAR, China	343.0	Q14773	42
Colombia	133.0	Q739	43
Comoros	13.0	Q970	44
Congo, Dem. Rep.	546.0	Q974	45
Congo, Rep.	393.0	Q971	46
Costa Rica	422.0	Q800	47
Cote d'Ivoire	2175.0	Q1008	48
Croatia	577.0	Q224	49
Cuba	13.0	Q241	50
Curacao	38.0	Q25279	51
Cyprus	196.0	Q229	52
Czech Republic	405.0	Q213	53
Denmark	573.0	Q35	54
Djibouti	112.0	Q977	55
Dominica	7.0	Q784	56
Dominican Republic	416.0	Q786	57
Ecuador	388.0	Q736	58
Egypt, Arab Rep.	492.0	Q79	59
El Salvador	42.0	Q792	60
Equatorial Guinea	11.0	Q983	61
Eritrea	16.0	Q986	62
Estonia	202.0	Q191	63
