Country	Manufactoring	ID	id_row
Albania	20.0	Q222	0
Argentina	29.0	Q414	1
Australia	21.0	Q408	2
Austria	10.0	Q40	3
Azerbaijan	42.0	Q227	4
Bahamas, The	54.0	Q778	5
Bahrain	7.0	Q398	6
Bangladesh	24.0	Q902	7
Belgium	12.0	Q31	8
Bermuda	10.0	Q23635	9
Bolivia	37.0	Q750	10
Botswana	20.0	Q963	11
Brazil	17.0	Q155	12
Bulgaria	20.0	Q219	13
Cambodia	7.0	Q424	14
Cameroon	36.0	Q1009	15
Canada	12.0	Q16	16
China	14.0	Q148	17
Hong Kong SAR, China	7.0	Q8646	18
Macao SAR, China	3.0	Q14773	19
Colombia	30.0	Q739	20
Congo, Dem. Rep.	73.0	Q974	21
Congo, Rep.	73.0	Q971	22
Costa Rica	45.0	Q800	23
Croatia	24.0	Q224	24
Cyprus	37.0	Q229	25
Czech Republic	12.0	Q213	26
Denmark	18.0	Q35	27
Ecuador	20.0	Q736	28
Egypt, Arab Rep.	16.0	Q79	29
El Salvador	29.0	Q792	30
Eritrea	60.0	Q986	31
Estonia	17.0	Q191	32
Ethiopia	54.0	Q115	33
Fiji	53.0	Q712	34
Finland	6.0	Q33	35
France	13.0	Q142	36
Georgia	37.0	Q230	37
Germany	8.0	Q183	38
Greece	25.0	Q41	39
Hungary	15.0	Q28	40
Iceland	37.0	Q189	41
India	13.0	Q668	42
Indonesia	18.0	Q252	43
Iran, Islamic Rep.	10.0	Q794	44
Ireland	14.0	Q27	45
Israel	12.0	Q801	46
Italy	9.0	Q38	47
Japan	11.0	Q17	48
Jordan	30.0	Q810	49
Kenya	29.0	Q114	50
Korea, Rep.	8.0	Q884	51
Kuwait	8.0	Q817	52
Kyrgyz Republic	35.0	Q813	53
Lao PDR	42.0	Q819	54
Latvia	27.0	Q211	55
Lebanon	26.0	Q822	56
Lithuania	27.0	Q37	57
Luxembourg	8.0	Q32	58
Madagascar	0.0	Q1019	59
Malawi	71.0	Q1020	60
Malaysia	8.0	Q833	61
Malta	14.0	Q233	62
Mauritius	20.0	Q1027	63
Mexico	25.0	Q96	64
Moldova	65.0	Q217	65
Mongolia	49.0	Q711	66
Morocco	34.0	Q1028	67
Nepal	45.0	Q837	68
Netherlands	17.0	Q55	69
New Zealand	33.0	Q664	70
Niger	16.0	Q1032	71
North Macedonia	32.0	Q221	72
Norway	16.0	Q20	73
Oman	12.0	Q842	74
Pakistan	21.0	Q843	75
Panama	56.0	Q804	76
Papua New Guinea	52.0	Q691	77
Paraguay	66.0	Q733	78
Peru	33.0	Q419	79
Philippines	28.0	Q928	80
Poland	5.0	Q36	81
Portugal	13.0	Q45	82
Puerto Rico	8.0	Q1183	83
Qatar	4.0	Q846	84
Romania	32.0	Q218	85
Russian Federation	20.0	Q159	86
Rwanda	75.0	Q1037	87
Saudi Arabia	12.0	Q851	88
Senegal	33.0	Q1041	89
Serbia	31.0	Q403	90
Singapore	3.0	Q334	91
Slovak Republic	10.0	Q214	92
Slovenia	10.0	Q215	93
South Africa	15.0	Q258	94
Spain	14.0	Q29	95
Sri Lanka	39.0	Q854	96
Sudan	66.0	Q1049	97
Sweden	7.0	Q34	98
Switzerland	8.0	Q39	99
Syrian Arab Republic	-63.0	Q858	100
Tanzania	45.0	Q924	101
Thailand	18.0	Q869	102
Trinidad and Tobago	21.0	Q754	103
Tunisia	19.0	Q948	104
Turkey	18.0	Q43	105
Uganda	64.0	Q1036	106
United Kingdom	14.0	Q145	107
United States	13.0	Q30	108
Uruguay	39.0	Q77	109
Venezuela, RB	22.0	Q717	110
Vietnam	30.0	Q881	111
West Bank and Gaza	32.0	Q407199	112
Yemen, Rep.	43.0	Q805	113
