Country	Macroeconomicmanagement	Fiscalpolicy	Debtpolicy	Average	ID	id_row
Afghanistan	2.7	3.5	3.0	2.5	Q889	0
Bangladesh	3.1	3.5	3.5	4.0	Q902	1
Benin	3.6	4.0	4.0	4.5	Q962	2
Bhutan	3.9	4.5	4.0	4.0	Q917	3
Burkina Faso	3.5	4.0	3.0	4.0	Q965	4
Burundi	2.9	2.5	3.0	2.5	Q967	5
Cabo Verde	3.8	4.0	3.5	2.5	Q1011	6
Cambodia	3.4	4.0	3.5	5.0	Q424	7
Cameroon	3.3	4.0	3.5	3.5	Q1009	8
Central African Republic	2.6	3.5	3.0	2.5	Q929	9
Chad	2.8	3.5	3.0	2.5	Q657	10
Comoros	2.8	3.0	2.5	3.0	Q970	11
Congo, Dem. Rep.	2.9	3.0	3.0	3.5	Q974	12
Congo, Rep.	2.7	3.0	3.0	2.0	Q971	13
Cote d'Ivoire	3.5	4.0	3.5	3.5	Q1008	14
Djibouti	3.2	4.0	3.0	2.5	Q977	15
Dominica	3.7	4.5	4.0	3.0	Q784	16
Eritrea	1.9	1.5	1.5	1.5	Q986	17
Ethiopia	3.5	3.5	3.5	3.5	Q115	18
Gambia, The	3.0	2.5	2.5	2.0	Q1005	19
Ghana	3.6	3.5	3.0	3.5	Q117	20
Grenada	3.6	4.5	3.5	3.0	Q769	21
Guinea	3.2	4.0	3.5	3.0	Q1006	22
Guinea-Bissau	2.5	3.0	2.5	2.5	Q1007	23
Guyana	3.3	3.5	3.5	3.5	Q734	24
Haiti	2.8	3.5	3.0	2.5	Q790	25
Honduras	3.4	3.5	3.5	4.0	Q783	26
Kenya	3.7	4.5	3.5	4.0	Q114	27
Kiribati	3.0	3.0	2.5	2.5	Q710	28
Kosovo	3.6	3.5	3.0	4.5	Q1246	29
Kyrgyz Republic	3.5	4.0	3.0	4.0	Q813	30
Lao PDR	3.0	3.0	3.0	2.0	Q819	31
Lesotho	3.3	3.5	2.5	3.5	Q1013	32
Liberia	2.9	3.0	3.0	3.0	Q1014	33
Madagascar	3.3	4.0	3.0	4.0	Q1019	34
Malawi	3.2	3.5	2.0	3.0	Q1020	35
Maldives	3.3	3.5	2.5	2.5	Q826	36
Mali	3.4	4.0	4.0	4.0	Q912	37
Marshall Islands	2.6	3.0	2.5	2.0	Q709	38
Mauritania	3.4	3.5	4.0	3.0	Q1025	39
Micronesia, Fed. Sts.	2.7	3.0	2.5	2.5	Q702	40
Moldova	3.7	4.5	3.5	4.0	Q217	41
Mongolia	3.4	3.5	3.0	3.0	Q711	42
Mozambique	3.1	3.5	3.0	2.0	Q1029	43
Myanmar	3.0	3.5	3.5	4.0	Q836	44
Nepal	3.4	3.0	3.0	4.0	Q837	45
Nicaragua	3.4	4.0	4.0	4.0	Q811	46
Niger	3.4	4.0	3.5	4.0	Q1032	47
Nigeria	3.2	3.0	3.0	4.0	Q1033	48
Pakistan	3.3	3.5	2.5	3.5	Q843	49
Papua New Guinea	3.0	3.0	2.5	3.5	Q691	50
Rwanda	4.0	4.0	4.0	4.0	Q1037	51
Samoa	4.0	4.5	4.5	3.5	Q683	52
Sao Tome and Principe	3.0	3.0	3.0	2.5	Q1039	53
Senegal	3.7	4.0	3.5	4.0	Q1041	54
Sierra Leone	3.1	3.5	3.0	3.0	Q1044	55
Solomon Islands	2.9	3.5	2.5	3.5	Q685	56
Somalia	2.0	2.0	2.5	1.5	Q1045	57
South Sudan	1.4	1.0	1.0	1.0	Q958	58
St. Lucia	3.6	4.5	3.0	2.5	Q760	59
St. Vincent and the Grenadines	3.7	4.5	3.0	3.5	Q757	60
Sudan	2.2	1.5	2.5	1.5	Q1049	61
Tajikistan	3.1	4.0	3.5	2.5	Q863	62
Tanzania	3.5	4.5	3.5	4.0	Q924	63
Timor-Leste	2.8	3.0	2.5	3.5	Q574	64
Togo	3.3	4.0	3.0	3.0	Q945	65
Tonga	3.5	3.5	3.5	3.0	Q678	66
Tuvalu	2.9	3.0	3.0	2.0	Q672	67
Uganda	3.7	4.0	4.0	5.0	Q1036	68
Uzbekistan	3.7	4.0	4.0	4.5	Q265	69
Vanuatu	3.4	4.0	3.5	4.0	Q686	70
Yemen, Rep.	2.0	2.0	2.0	1.5	Q805	71
Zambia	3.2	3.0	2.0	3.0	Q953	72
Zimbabwe	3.0	2.5	3.0	2.0	Q954	73
