Country	Balance2010	Balance2019	ID	id_row
Slovenia	-357.0	3525.0	Q215	145
Solomon Islands	-144.0	-142.0	Q685	146
South Africa	-5492.0	-10667.0	Q258	147
Spain	-52250.0	27724.0	Q29	148
Sri Lanka	-1075.0	-2814.0	Q854	149
St. Kitts and Nevis	-139.0	-72.0	Q763	150
St. Lucia	-203.0	103.0	Q760	151
St. Vincent and the Grenadines	-208.0	-99.0	Q757	152
Sudan	-1725.0	-4679.0	Q1049	153
Suriname	651.0	-411.0	Q730	154
Sweden	29196.0	20783.0	Q34	155
Switzerland	85822.0	86167.0	Q39	156
Tajikistan	-581.0	-185.0	Q863	157
Tanzania	-2211.0	-1890.0	Q924	158
Thailand	11486.0	37911.0	Q869	159
Timor-Leste	1671.0	134.0	Q574	160
Togo	-200.0	-185.0	Q945	161
Tonga	-87.0	-8.0	Q678	162
Trinidad and Tobago	4172.0	1386.0	Q754	163
Tunisia	-2104.0	-4429.0	Q948	164
Turkey	-44620.0	8691.0	Q43	165
Uganda	-1610.0	-2333.0	Q1036	166
Ukraine	-3016.0	-1322.0	Q212	167
United Kingdom	-78779.0	-106886.0	Q145	168
United States	-431271.0	-498350.0	Q30	169
Uruguay	-731.0	419.0	Q77	170
Vanuatu	-42.0	85.0	Q686	171
Vietnam	-4276.0	5899.0	Q881	172
West Bank and Gaza	-1307.0	-1659.0	Q407199	173
Zambia	1525.0	242.0	Q953	174
Zimbabwe	-1444.0	-308.0	Q954	175
