Country	ofpeoplewhopaidbribes	ID	id_row
Australia	1.0	Q408	0
Denmark	1.0	Q35	1
Finland	1.0	Q33	2
Japan	1.0	Q17	3
Spain	2.0	Q29	4
Canada	3.0	Q16	5
South Korea	3.0	Q884	6
Malaysia	3.0	Q833	7
Maldives	3.0	Q826	8
New Zealand	3.0	Q664	9
Norway	3.0	Q20	10
Uruguay	3.0	Q77	11
Portugal	3.0	Q45	12
Belgium	4.0	Q31	13
Croatia	4.0	Q224	14
Georgia	4.0	Q230	15
Italy	5.0	Q38	16
United Kingdom	5.0	Q145	17
Estonia	6.0	Q191	18
Slovenia	6.0	Q215	19
Switzerland	7.0	Q39	20
United States	7.0	Q30	21
Bulgaria	8.0	Q219	22
Chile	10.0	Q298	23
El Salvador	12.0	Q792	24
Hungary	12.0	Q28	25
Israel	12.0	Q801	26
Palestine	12.0	Q219060	27
Jamaica	12.0	Q766	28
Philippines	12.0	Q928	29
Argentina	13.0	Q414	30
Rwanda	13.0	Q1037	31
Vanuatu	13.0	Q686	32
Czech Republic	15.0	Q213	33
Kosovo	16.0	Q1246	34
North Macedonia	17.0	Q221	35
Romania	17.0	Q218	36
Sudan	17.0	Q1049	37
Armenia	18.0	Q399	38
Thailand	18.0	Q869	39
Tunisia	18.0	Q948	40
Cyprus	19.0	Q229	41
Latvia	19.0	Q211	42
Sri Lanka	19.0	Q854	43
Peru	20.0	Q419	44
Slovakia	21.0	Q214	45
Turkey	21.0	Q43	46
Colombia	22.0	Q739	47
Greece	22.0	Q41	48
Paraguay	25.0	Q733	49
Lithuania	26.0	Q37	50
Serbia	26.0	Q403	51
Papua New Guinea	27.0	Q691	52
Venezuela	27.0	Q717	53
Bosnia and Herzegovina	28.0	Q225	54
Madagascar	28.0	Q1019	55
Iraq	29.0	Q796	56
Moldova	29.0	Q217	57
Vietnam	30.0	Q881	58
Nepal	31.0	Q837	59
Mexico	33.0	Q96	60
Kazakhstan	34.0	Q232	61
Pakistan	34.0	Q843	62
Solomon Islands	34.0	Q685	63
Bolivia	36.0	Q750	64
Egypt	36.0	Q79	65
Indonesia	36.0	Q252	66
Taiwan	36.0	Q865	67
Ukraine	37.0	Q212	68
Jordan	37.0	Q810	69
Bangladesh	39.0	Q902	70
South Sudan	39.0	Q958	71
Algeria	41.0	Q262	72
Nigeria	44.0	Q1033	73
Ethiopia	44.0	Q115	74
Mongolia	45.0	Q711	75
Kyrgyzstan	45.0	Q813	76
Afghanistan	46.0	Q889	77
DR Congo	46.0	Q974	78
South Africa	47.0	Q258	79
Morocco	49.0	Q1028	80
India	54.0	Q668	81
Ghana	54.0	Q117	82
Tanzania	56.0	Q924	83
Cambodia	57.0	Q424	84
Senegal	57.0	Q1041	85
Uganda	61.0	Q1036	86
Cameroon	62.0	Q1009	87
Libya	62.0	Q1016	88
Zimbabwe	62.0	Q954	89
Mozambique	62.0	Q1029	90
Kenya	70.0	Q114	91
Yemen	74.0	Q805	92
Liberia	75.0	Q1014	93
Sierra Leone	84.0	Q1044	94
