Country	Urban2000	Urban2017	Rural2000	Rural2017	ID	id_row
Afghanistan	29.6	62.3	21.8	37.1	Q889	0
Albania	97.0	98.3	82.1	96.9	Q222	1
Algeria	91.4	89.7	72.3	82.2	Q262	2
Andorra	100.0	100.0	100.0	100.0	Q228	3
Angola	47.5	64.3	7.5	23.2	Q916	4
Argentina	89.2	95.9	68.7	76.8	Q414	5
Armenia	92.3	99.7	77.0	83.2	Q399	6
Austria	100.0	100.0	100.0	100.0	Q40	7
Azerbaijan	73.0	96.4	52.9	87.6	Q227	8
Bangladesh	43.7	50.7	20.1	46.9	Q902	9
Belarus	89.8	98.2	96.0	96.3	Q184	10
Belgium	99.5	99.5	99.5	99.5	Q31	11
Belize	85.4	93.1	80.0	83.5	Q242	12
Benin	19.0	26.5	2.1	7.6	Q962	13
Bhutan	74.1	72.6	41.5	67.0	Q917	14
Bolivia	46.6	71.7	15.0	36.1	Q750	15
Bosnia and Herzegovina	98.5	98.9	92.6	92.1	Q225	16
Botswana	68.8	89.4	32.7	50.6	Q963	17
Brazil	81.4	92.8	36.0	60.1	Q155	18
Bulgaria	86.8	86.8	83.7	83.7	Q219	19
Burkina Faso	50.3	39.4	2.8	11.3	Q965	20
Burundi	40.6	41.7	45.6	46.4	Q967	21
Cabo Verde	55.5	80.0	22.2	62.4	Q1011	22
Cambodia	46.4	95.8	1.6	48.3	Q424	23
Cameroon	55.5	55.9	27.1	17.8	Q1009	24
Canada	99.9	99.4	99.4	98.7	Q16	25
Central African Republic	26.1	49.1	8.4	9.1	Q929	26
Chad	25.5	30.1	7.7	1.9	Q657	27
Chile	96.0	100.0	67.7	100.0	Q298	28
China	77.5	90.8	44.4	76.4	Q148	29
Colombia	79.4	92.9	49.3	76.2	Q739	30
Comoros	43.9	45.2	23.5	32.1	Q970	31
Congo, Dem. Rep.	23.2	23.4	20.4	18.2	Q974	32
Congo, Rep.	16.3	27.2	5.8	6.3	Q971	33
Costa Rica	96.5	98.4	88.6	95.8	Q800	34
