Country	Savings	ID	id_row
Afghanistan	3.6	Q889	0
Albania	1.5	Q222	1
Algeria	3.2	Q262	2
Angola	1.1	Q916	3
Antigua and Barbuda	1.7	Q781	4
Argentina	1.4	Q414	5
Armenia	1.8	Q399	6
Aruba	0.8	Q21203	7
Australia	0.9	Q408	8
Austria	0.4	Q40	9
Azerbaijan	2.2	Q227	10
Bahamas, The	0.9	Q778	11
Bahrain	3.5	Q398	12
Bangladesh	1.2	Q902	13
Barbados	1.1	Q244	14
Belarus	3.2	Q184	15
Belgium	0.6	Q31	16
Belize	1.1	Q242	17
Benin	2.2	Q962	18
Bhutan	2.3	Q917	19
Bolivia	2.2	Q750	20
Bosnia and Herzegovina	4.7	Q225	21
Botswana	1.5	Q963	22
Brazil	1.0	Q155	23
Brunei Darussalam	2.8	Q921	24
Bulgaria	2.2	Q219	25
Burkina Faso	1.1	Q965	26
Burundi	0.6	Q967	27
Cabo Verde	0.9	Q1011	28
Cambodia	1.5	Q424	29
Cameroon	0.8	Q1009	30
Canada	1.1	Q16	31
Cayman Islands	0.7	Q5785	32
Central African Republic	0.6	Q929	33
Chad	0.2	Q657	34
Chile	1.1	Q298	35
China	3.1	Q148	36
Hong Kong SAR, China	0.4	Q8646	37
Macao SAR, China	0.0	Q14773	38
Colombia	1.0	Q739	39
Comoros	0.5	Q970	40
Congo, Dem. Rep.	0.5	Q974	41
Congo, Rep.	1.5	Q971	42
Costa Rica	0.5	Q800	43
Cote d'Ivoire	1.4	Q1008	44
Croatia	1.0	Q224	45
Cuba	1.3	Q241	46
Cyprus	0.9	Q229	47
Czech Republic	1.4	Q213	48
Denmark	0.3	Q35	49
Djibouti	0.8	Q977	50
Dominica	0.9	Q784	51
Dominican Republic	1.0	Q786	52
Ecuador	1.5	Q736	53
Egypt, Arab Rep.	3.2	Q79	54
El Salvador	0.9	Q792	55
Equatorial Guinea	1.2	Q983	56
Estonia	2.8	Q191	57
Eswatini	0.9	Q1050	58
Ethiopia	0.6	Q115	59
Fiji	0.9	Q712	60
Finland	0.6	Q33	61
France	0.4	Q142	62
Gabon	1.2	Q1000	63
Gambia, The	1.5	Q1005	64
Georgia	2.3	Q230	65
Germany	0.6	Q183	66
Ghana	0.9	Q117	67
Greece	1.1	Q41	68
Grenada	1.0	Q769	69
Guatemala	0.9	Q774	70
Guinea	1.1	Q1006	71
Guinea-Bissau	0.8	Q1007	72
Guyana	2.1	Q734	73
Haiti	1.1	Q790	74
Honduras	1.7	Q783	75
Hungary	1.0	Q28	76
Iceland	0.3	Q189	77
India	3.9	Q668	78
Indonesia	1.9	Q252	79
Iran, Islamic Rep.	5.8	Q794	80
Iraq	3.2	Q796	81
Ireland	0.5	Q27	82
Israel	0.6	Q801	83
Italy	0.5	Q38	84
Jamaica	1.5	Q766	85
Japan	0.8	Q17	86
Jordan	2.2	Q810	87
Kazakhstan	5.7	Q232	88
Kenya	0.7	Q114	89
Kiribati	0.7	Q710	90
Korea, Rep.	1.4	Q884	91
Kosovo	3570.8	Q1246	92
Kuwait	2.2	Q817	93
Kyrgyz Republic	5.5	Q813	94
Lao PDR	0.5	Q819	95
Latvia	0.8	Q211	96
Lebanon	1.6	Q822	97
Lesotho	2.6	Q1013	98
Liberia	1.1	Q1014	99
Libya	6.0	Q1016	100
Lithuania	0.9	Q37	101
Luxembourg	0.7	Q32	102
Madagascar	1.1	Q1019	103
Malawi	0.7	Q1020	104
Malaysia	2.9	Q833	105
Maldives	1.3	Q826	106
Mali	0.4	Q912	107
Malta	0.7	Q233	108
Marshall Islands	1.5	Q709	109
Mauritania	2.2	Q1025	110
Mauritius	1.0	Q1027	111
Mexico	1.5	Q96	112
Micronesia, Fed. Sts.	1.5	Q702	113
Moldova	1.4	Q217	114
Mongolia	9.1	Q711	115
Montenegro	1.5	Q236	116
Morocco	2.0	Q1028	117
Mozambique	3.1	Q1029	118
Myanmar	1.1	Q836	119
Namibia	1.0	Q1030	120
Nepal	1.6	Q837	121
Netherlands	0.7	Q55	122
New Zealand	0.7	Q664	123
Nicaragua	1.3	Q811	124
Niger	1.4	Q1032	125
Nigeria	0.7	Q1033	126
North Macedonia	1.8	Q221	127
Norway	0.4	Q20	128
Oman	3.3	Q842	129
Pakistan	2.0	Q843	130
Palau	3.4	Q695	131
Panama	0.6	Q804	132
Papua New Guinea	1.0	Q691	133
Paraguay	0.6	Q733	134
Peru	1.2	Q419	135
Philippines	1.2	Q928	136
Poland	1.8	Q36	137
Portugal	0.6	Q45	138
Puerto Rico	0.2	Q1183	139
Qatar	1.8	Q846	140
Romania	1.0	Q218	141
Russian Federation	3.5	Q159	142
Rwanda	0.4	Q1037	143
Samoa	1.1	Q683	144
Sao Tome and Principe	1.1	Q1039	145
Saudi Arabia	2.9	Q851	146
Senegal	2.0	Q1041	147
Seychelles	0.9	Q1042	148
Sierra Leone	1.1	Q1044	149
Singapore	0.7	Q334	150
Slovak Republic	0.9	Q214	151
Slovenia	0.9	Q215	152
Solomon Islands	0.5	Q685	153
South Africa	4.7	Q258	154
Spain	0.5	Q29	155
Sri Lanka	0.8	Q854	156
St. Kitts and Nevis	0.9	Q763	157
St. Lucia	0.8	Q760	158
St. Vincent and the Grenadines	0.9	Q757	159
Sudan	1.5	Q1049	160
Suriname	1.9	Q730	161
Sweden	0.3	Q34	162
Switzerland	0.2	Q39	163
Tajikistan	2.5	Q863	164
Tanzania	1.0	Q924	165
Thailand	2.6	Q869	166
Timor-Leste	0.9	Q574	167
Togo	2.5	Q945	168
Tonga	0.9	Q678	169
Trinidad and Tobago	6.5	Q754	170
Tunisia	2.7	Q948	171
Turkey	1.9	Q43	172
Turkmenistan	6.0	Q874	173
Turks and Caicos Islands	1.0	Q18221	174
Tuvalu	0.7	Q672	175
Uganda	0.9	Q1036	176
Ukraine	5.3	Q212	177
United Arab Emirates	2.2	Q878	178
United Kingdom	0.5	Q145	179
United States	0.9	Q30	180
