Country	Kg2000	Kg2016	ID	id_row
Afghanistan	806.0	1982.0	Q889	0
Albania	3175.0	4716.0	Q222	1
Algeria	883.0	1020.0	Q262	2
Angola	564.0	934.0	Q916	3
Antigua and Barbuda	1600.0	1587.0	Q781	4
Argentina	3473.0	5204.0	Q414	5
Armenia	1383.0	3076.0	Q399	6
Australia	1962.0	2075.0	Q408	7
Austria	5404.0	7245.0	Q40	8
Azerbaijan	2335.0	3005.0	Q227	9
Bahamas, The	2476.0	8526.0	Q778	10
Bangladesh	3384.0	4601.0	Q902	11
Barbados	2609.0	2853.0	Q244	12
Belarus	1950.0	3207.0	Q184	13
Belgium	8021.0	6985.0	Q31	14
Belize	2418.0	3165.0	Q242	15
Benin	1102.0	1456.0	Q962	16
Bhutan	1438.0	3378.0	Q917	17
Bolivia	1642.0	2111.0	Q750	18
Bosnia and Herzegovina	2550.0	5192.0	Q225	19
Botswana	153.0	478.0	Q963	20
Brazil	2643.0	4181.0	Q155	21
Brunei Darussalam	650.0	1558.0	Q921	22
Bulgaria	2460.0	4818.0	Q219	23
Burkina Faso	856.0	1137.0	Q965	24
Burundi	1228.0	1525.0	Q967	25
Cabo Verde	795.0	178.0	Q1011	26
Cambodia	2134.0	3478.0	Q424	27
Cameroon	1764.0	1644.0	Q1009	28
Canada	2806.0	4159.0	Q16	29
Central African Republic	993.0	880.0	Q929	30
Chad	531.0	845.0	Q657	31
Chile	4362.0	6858.0	Q298	32
China	4753.0	5981.0	Q148	33
Hong Kong SAR, China	1923.0	2000.0	Q8646	34
Colombia	3229.0	4342.0	Q739	35
Comoros	1322.0	1354.0	Q970	36
Congo, Dem. Rep.	787.0	770.0	Q974	37
Congo, Rep.	754.0	824.0	Q971	38
Costa Rica	3626.0	4018.0	Q800	39
Cote d'Ivoire	1682.0	2135.0	Q1008	40
Croatia	4115.0	6691.0	Q224	41
Cuba	2528.0	2939.0	Q241	42
Cyprus	931.0	436.0	Q229	43
Czech Republic	3906.0	6317.0	Q213	44
Denmark	6216.0	6222.0	Q35	45
Djibouti	1833.0	1922.0	Q977	46
Dominica	1357.0	1692.0	Q784	47
Dominican Republic	4159.0	3152.0	Q786	48
Ecuador	2306.0	3791.0	Q736	49
Egypt, Arab Rep.	7280.0	7249.0	Q79	50
El Salvador	2155.0	2746.0	Q792	51
Eritrea	377.0	641.0	Q986	52
Estonia	2115.0	2658.0	Q191	53
Eswatini	1633.0	1141.0	Q1050	54
Ethiopia	1116.0	2484.0	Q115	55
Fiji	2434.0	3366.0	Q712	56
Finland	3499.0	3574.0	Q33	57
France	7232.0	5687.0	Q142	58
Gabon	1630.0	1600.0	Q1000	59
Gambia, The	1296.0	877.0	Q1005	60
Georgia	1369.0	2517.0	Q230	61
Germany	6453.0	7182.0	Q183	62
Ghana	1309.0	1842.0	Q117	63
Greece	3869.0	4029.0	Q41	64
Grenada	1003.0	1007.0	Q769	65
Guam	1917.0	2607.0	Q16635	66
Guatemala	1776.0	2152.0	Q774	67
Guinea	1492.0	1144.0	Q1006	68
Guinea-Bissau	1097.0	1551.0	Q1007	69
Guyana	3799.0	3516.0	Q734	70
Haiti	932.0	1043.0	Q790	71
Honduras	1368.0	1759.0	Q783	72
Hungary	3633.0	6487.0	Q28	73
India	2294.0	3021.0	Q668	74
Indonesia	4026.0	5252.0	Q252	75
Iran, Islamic Rep.	1835.0	2653.0	Q794	76
Iraq	363.0	3086.0	Q796	77
Ireland	7796.0	8223.0	Q27	78
Israel	2443.0	4977.0	Q801	79
Italy	4994.0	5602.0	Q38	80
Jamaica	1147.0	1090.0	Q766	81
Japan	6257.0	6083.0	Q17	82
Jordan	1728.0	1872.0	Q810	83
Kazakhstan	943.0	1348.0	Q232	84
Kenya	1375.0	1383.0	Q114	85
Korea, Dem. Peopleâ€™s Rep.	2375.0	4084.0	Q423	86
Korea, Rep.	6380.0	6793.0	Q884	87
Kuwait	5611.0	5221.0	Q817	88
Kyrgyz Republic	2669.0	3104.0	Q813	89
Lao PDR	3018.0	4627.0	Q819	90
Latvia	2199.0	3828.0	Q211	91
Lebanon	2415.0	3032.0	Q822	92
Lesotho	719.0	468.0	Q1013	93
Liberia	1278.0	1273.0	Q1014	94
Libya	638.0	719.0	Q1016	95
Lithuania	2708.0	3860.0	Q37	96
Luxembourg	5329.0	5000.0	Q32	97
North Macedonia	2565.0	3859.0	Q221	98
Madagascar	1891.0	3906.0	Q1019	99
Malawi	1676.0	1347.0	Q1020	100
Malaysia	3040.0	4013.0	Q833	101
Maldives	1477.0	2556.0	Q826	102
Mali	1007.0	1606.0	Q912	103
Malta	4008.0	4759.0	Q233	104
