Country	Exports2010	Exports2019	ID	id_row
Afghanistan	4.0	15.0	Q889	0
Albania	64.0	62.0	Q222	1
Algeria	6.0	5.0	Q262	2
Angola	84.0	84.0	Q916	3
Antigua and Barbuda	64.0	79.0	Q781	4
Argentina	39.0	37.0	Q414	5
Armenia	64.0	65.0	Q399	6
Aruba	81.0	87.0	Q21203	7
Australia	62.0	65.0	Q408	8
Austria	36.0	31.0	Q40	9
Azerbaijan	27.0	48.0	Q227	10
Bahamas, The	87.0	91.0	Q778	11
Bahrain	32.0	36.0	Q398	12
Bangladesh	7.0	12.0	Q902	13
Barbados	80.0	75.0	Q244	14
Belarus	9.0	9.0	Q184	15
Belgium	12.0	8.0	Q31	16
Belize	81.0	83.0	Q242	17
Benin	43.0	34.0	Q962	18
Bermuda	33.0	39.0	Q23635	19
Bhutan	60.0	64.0	Q917	20
Bolivia	45.0	56.0	Q750	21
Bosnia and Herzegovina	35.0	50.0	Q225	22
Botswana	73.0	64.0	Q963	23
Brazil	18.0	18.0	Q155	24
Brunei Darussalam	28.0	36.0	Q921	25
Bulgaria	51.0	41.0	Q219	26
Burkina Faso	27.0	24.0	Q965	27
Burundi	24.0	16.0	Q967	28
Cabo Verde	57.0	71.0	Q1011	29
Cambodia	79.0	82.0	Q424	30
Cameroon	13.0	29.0	Q1009	31
Canada	21.0	27.0	Q16	32
Chile	15.0	30.0	Q298	33
China	39.0	15.0	Q148	34
Hong Kong SAR, China	28.0	29.0	Q8646	35
Macao SAR, China	94.0	93.0	Q14773	36
Colombia	56.0	58.0	Q739	37
Comoros	63.0	73.0	Q970	38
Congo, Dem. Rep.	4.0	68.0	Q974	39
Congo, Rep.	7.0	18.0	Q971	40
Costa Rica	45.0	42.0	Q800	41
Cote d'Ivoire	20.0	43.0	Q1008	42
Croatia	67.0	70.0	Q224	43
Curacao	35.0	43.0	Q25279	44
Cyprus	23.0	24.0	Q229	45
Czech Republic	33.0	24.0	Q213	46
Denmark	9.0	12.0	Q35	47
Djibouti	12.0	8.0	Q977	48
Dominica	72.0	80.0	Q784	49
Dominican Republic	82.0	83.0	Q786	50
Ecuador	57.0	73.0	Q736	51
Egypt, Arab Rep.	53.0	54.0	Q79	52
El Salvador	27.0	42.0	Q792	53
Estonia	23.0	22.0	Q191	54
Eswatini	20.0	17.0	Q1050	55
Ethiopia	27.0	21.0	Q115	56
Fiji	69.0	64.0	Q712	57
Finland	15.0	10.0	Q33	58
France	23.0	23.0	Q142	59
French Polynesia	52.0	57.0	Q30971	60
Gambia, The	56.0	78.0	Q1005	61
Georgia	42.0	72.0	Q230	62
Germany	15.0	12.0	Q183	63
Ghana	46.0	12.0	Q117	64
Greece	33.0	45.0	Q41	65
Grenada	74.0	91.0	Q769	66
