Country	Ratio	ID	id_row
Afghanistan	8.9	Q889	0
Albania	8.4	Q222	1
Algeria	12.7	Q262	2
Angola	23.2	Q916	3
Antigua and Barbuda	6.4	Q781	4
Argentina	5.6	Q414	5
Armenia	4.8	Q399	6
Australia	0.9	Q408	7
Austria	1.9	Q40	8
Bangladesh	9.9	Q902	9
Belarus	4.6	Q184	10
Belgium	2.3	Q31	11
Bhutan	7.0	Q917	12
Bolivia	1.9	Q750	13
Bosnia and Herzegovina	8.8	Q225	14
Botswana	5.4	Q963	15
Brazil	3.1	Q155	16
Brunei Darussalam	3.9	Q921	17
Bulgaria	7.8	Q219	18
Burundi	14.2	Q967	19
Cambodia	1.6	Q424	20
Cameroon	12.4	Q1009	21
Canada	0.4	Q16	22
Central African Republic	22.9	Q929	23
Chad	28.6	Q657	24
Chile	1.9	Q298	25
China	1.8	Q148	26
Hong Kong SAR, China	0.6	Q8646	27
Colombia	4.2	Q739	28
Congo, Rep.	18.2	Q971	29
Costa Rica	2.4	Q800	30
Croatia	9.7	Q224	31
Cyprus	19.5	Q229	32
Czech Republic	3.1	Q213	33
Denmark	1.7	Q35	34
Djibouti	16.0	Q977	35
Dominica	17.0	Q784	36
Dominican Republic	1.6	Q786	37
Ecuador	3.3	Q736	38
El Salvador	1.7	Q792	39
Equatorial Guinea	36.7	Q983	40
Estonia	0.4	Q191	41
Fiji	3.1	Q712	42
Finland	1.4	Q33	43
France	2.7	Q142	44
Gabon	9.6	Q1000	45
Gambia, The	4.5	Q1005	46
Georgia	1.9	Q230	47
Germany	1.2	Q183	48
Ghana	18.2	Q117	49
Greece	42.0	Q41	50
Grenada	2.4	Q769	51
Guatemala	2.2	Q774	52
Guinea	10.4	Q1006	53
Honduras	2.3	Q783	54
Hungary	2.5	Q28	55
Iceland	2.5	Q189	56
India	9.5	Q668	57
Indonesia	2.4	Q252	58
Ireland	5.7	Q27	59
Israel	1.2	Q801	60
Italy	8.4	Q38	61
Jordan	5.4	Q810	62
Kazakhstan	7.4	Q232	63
Kenya	11.7	Q114	64
Korea, Rep.	0.4	Q884	65
Kosovo	2.5	Q1246	66
Kuwait	1.6	Q817	67
Kyrgyz Republic	7.7	Q813	68
Latvia	5.0	Q211	69
Lebanon	10.3	Q822	70
Lesotho	3.7	Q1013	71
Lithuania	2.3	Q37	72
Luxembourg	0.7	Q32	73
North Macedonia	5.0	Q221	74
Madagascar	7.3	Q1019	75
Malawi	2.8	Q1020	76
Malaysia	1.5	Q833	77
Maldives	9.4	Q826	78
Malta	3.4	Q233	79
Mauritius	6.5	Q1027	80
Mexico	2.1	Q96	81
Moldova	12.5	Q217	82
Monaco	0.2	Q235	83
Montenegro	5.1	Q236	84
Namibia	4.6	Q1030	85
Nepal	1.6	Q837	86
Netherlands	1.9	Q55	87
Nicaragua	2.4	Q811	88
Nigeria	6.0	Q1033	89
Norway	0.7	Q20	90
Pakistan	8.0	Q843	91
Panama	1.7	Q804	92
Papua New Guinea	3.8	Q691	93
Paraguay	2.6	Q733	94
Peru	3.3	Q419	95
Philippines	1.7	Q928	96
Poland	3.9	Q36	97
Portugal	9.4	Q45	98
Romania	5.0	Q218	99
Russian Federation	10.1	Q159	100
Rwanda	4.9	Q1037	101
Samoa	3.6	Q683	102
San Marino	53.0	Q238	103
Saudi Arabia	2.0	Q851	104
Seychelles	8.1	Q1042	105
Singapore	1.3	Q334	106
Slovak Republic	2.9	Q214	107
Slovenia	6.0	Q215	108
South Africa	3.7	Q258	109
Spain	3.2	Q29	110
Sri Lanka	3.4	Q854	111
St. Kitts and Nevis	24.7	Q763	112
St. Lucia	10.0	Q760	113
St. Vincent and the Grenadines	6.5	Q757	114
Eswatini	9.3	Q1050	115
Sweden	0.5	Q34	116
Switzerland	0.7	Q39	117
Tanzania	9.9	Q924	118
Thailand	3.1	Q869	119
Tonga	3.2	Q678	120
Trinidad and Tobago	3.0	Q754	121
Turkey	3.7	Q43	122
Uganda	3.3	Q1036	123
Ukraine	48.4	Q212	124
United Arab Emirates	6.5	Q878	125
United Kingdom	1.1	Q145	126
United States	0.9	Q30	127
Uruguay	2.3	Q77	128
Uzbekistan	1.5	Q265	129
Vanuatu	15.0	Q686	130
Vietnam	1.8	Q881	131
West Bank and Gaza	3.0	Q407199	132
Zambia	11.0	Q953	133
