Country	2018	ID	id_row
Afghanistan	42.2	Q889	0
Albania	6.0	Q222	1
Algeria	77.2	Q262	2
Angola	24.3	Q916	3
Armenia	40.2	Q399	4
Bangladesh	72.6	Q902	5
Belize	65.9	Q242	6
Benin	25.9	Q962	7
Bolivia	50.3	Q750	8
Burkina Faso	55.4	Q965	9
Burundi	39.4	Q967	10
Cambodia	56.4	Q424	11
Cameroon	38.1	Q1009	12
Chad	17.6	Q657	13
Colombia	86.3	Q739	14
Congo, Dem. Rep.	16.3	Q974	15
Congo, Rep.	38.5	Q971	16
Cote d'Ivoire	39.4	Q1008	17
Cuba	88.3	Q241	18
Dominican Republic	84.0	Q786	19
Egypt, Arab Rep.	80.0	Q79	20
El Salvador	81.5	Q792	21
Eswatini	80.5	Q1050	22
Ethiopia	62.3	Q115	23
Gambia, The	23.8	Q1005	24
Ghana	46.2	Q117	25
Guatemala	65.6	Q774	26
Guinea	32.1	Q1006	27
Guinea-Bissau	37.5	Q1007	28
Guyana	52.5	Q734	29
Haiti	44.0	Q790	30
India	71.9	Q668	31
Indonesia	77.1	Q252	32
Iraq	54.6	Q796	33
Jordan	56.7	Q810	34
Kazakhstan	81.8	Q232	35
Kenya	78.5	Q114	36
Korea, Dem. Peopleâ€™s Rep.	89.8	Q423	37
Kyrgyz Republic	65.4	Q813	38
Lesotho	76.1	Q1013	39
Liberia	37.2	Q1014	40
Libya	24.0	Q1016	41
Madagascar	60.5	Q1019	42
Malawi	74.6	Q1020	43
Maldives	29.8	Q826	44
Mali	39.9	Q912	45
Mauritania	30.4	Q1025	46
Mauritius	40.8	Q1027	47
Mexico	81.5	Q96	48
Mongolia	67.0	Q711	49
Montenegro	34.0	Q236	50
Morocco	68.6	Q1028	51
Mozambique	45.2	Q1029	52
Myanmar	74.9	Q836	53
Namibia	75.0	Q1030	54
Nepal	56.0	Q837	55
Niger	45.5	Q1032	56
Nigeria	33.9	Q1033	57
Oman	39.6	Q842	58
Pakistan	48.6	Q843	59
Panama	74.4	Q804	60
Papua New Guinea	48.7	Q691	61
Paraguay	82.5	Q733	62
Peru	66.6	Q419	63
Philippines	56.9	Q928	64
Rwanda	65.8	Q1037	65
Samoa	39.4	Q683	66
Sao Tome and Principe	51.0	Q1039	67
Senegal	53.0	Q1041	68
Serbia	25.1	Q403	69
Sierra Leone	44.7	Q1044	70
Solomon Islands	38.0	Q685	71
South Africa	77.8	Q258	72
Sri Lanka	74.3	Q854	73
Sudan	30.1	Q1049	74
Tajikistan	52.1	Q863	75
Tanzania	52.9	Q924	76
Thailand	89.3	Q869	77
Timor-Leste	46.9	Q574	78
Togo	32.3	Q945	79
Turkey	59.7	Q43	80
Turkmenistan	75.6	Q874	81
Uganda	53.5	Q1036	82
United States	77.2	Q30	83
Vanuatu	50.7	Q686	84
Vietnam	69.5	Q881	85
West Bank and Gaza	64.6	Q407199	86
Yemen, Rep.	46.9	Q805	87
Zambia	68.5	Q953	88
Zimbabwe	85.2	Q954	89
