Country	Valueofsharestraded2010	Valueofsharestraded2019	ID	id_row
Argentina	4.0	7.6	Q414	0
Australia	77.8	56.1	Q408	1
Austria	38.8	25.2	Q40	2
Bahrain	1.4	2.8	Q398	3
Bangladesh	11.6	20.4	Q902	4
Barbados	1.5	0.4	Q244	5
Bermuda	6.8	0.8	Q23635	6
Brazil	58.8	87.5	Q155	7
Bulgaria	5.1	1.1	Q219	8
Canada	64.7	59.5	Q16	9
Cayman Islands	0.4	0.5	Q5785	10
Chile	16.9	18.0	Q298	11
China	205.0	223.7	Q148	12
Hong Kong SAR, China	54.9	37.2	Q8646	13
Colombia	10.9	10.5	Q739	14
Costa Rica	2.9	1.7	Q800	15
Croatia	4.1	1.5	Q224	16
Cyprus	10.9	1.3	Q229	17
Czech Republic	78.9	14.6	Q213	18
Egypt, Arab Rep.	44.2	25.3	Q79	19
Germany	104.5	64.4	Q183	20
Greece	60.1	28.8	Q41	21
Hungary	95.5	26.4	Q28	22
India	66.2	28.9	Q668	23
Indonesia	29.0	22.5	Q252	24
Iran, Islamic Rep.	19.6	25.3	Q794	25
Ireland	14.7	29.1	Q27	26
Israel	47.6	28.8	Q801	27
Jamaica	5.1	5.0	Q766	28
Japan	111.6	82.3	Q17	29
Jordan	27.9	8.0	Q810	30
Kazakhstan	2.0	0.8	Q232	31
Kenya	5.5	1.9	Q114	32
Korea, Rep.	149.3	129.8	Q884	33
Lebanon	14.8	2.5	Q822	34
Luxembourg	0.2	0.1	Q32	35
Malaysia	28.1	26.9	Q833	36
Malta	1.2	1.9	Q233	37
Mauritius	4.7	4.0	Q1027	38
Mexico	24.5	20.5	Q96	39
Morocco	8.8	5.0	Q1028	40
Namibia	1721.5	3.8	Q1030	41
Netherlands	84.3	40.8	Q55	42
New Zealand	4.4	11.6	Q664	43
Nigeria	10.1	6.2	Q1033	44
Norway	71.8	34.4	Q20	45
Oman	11.7	10.0	Q842	46
Panama	0.8	2.2	Q804	47
Peru	3.9	1.6	Q419	48
Philippines	14.1	10.9	Q928	49
Poland	36.4	33.2	Q36	50
Qatar	63.0	8.3	Q846	51
Romania	11.8	7.8	Q218	52
Russian Federation	53.3	22.8	Q159	53
Saudi Arabia	56.9	9.2	Q851	54
Singapore	47.2	16.4	Q334	55
Slovenia	5.1	1.9	Q215	56
South Africa	30.0	33.1	Q258	57
Spain	117.3	62.7	Q29	58
Sri Lanka	25.1	6.0	Q854	59
Switzerland	71.2	52.6	Q39	60
Thailand	80.1	64.5	Q869	61
Tunisia	17.2	5.4	Q948	62
Turkey	133.3	187.9	Q43	63
United Arab Emirates	21.1	10.5	Q878	64
United States	208.4	108.5	Q30	65
Vietnam	83.7	22.3	Q881	66
West Bank and Gaza	15.3	7.3	Q407199	67
