Country	Reachinggrade5male_1999	Reachinggrade5male_2017	Reachinggrade5female_1999	Reachinggrade5female_2017	Reachinglastgradeofprimaryeducationmale_2017	Reachinglastgradeofprimaryeducationfemale_2017	ID	id_row
Algeria	94.0	95.0	96.0	97.0	95.0	97.0	Q262	0
Argentina	98.0	95.0	94.0	96.0	94.0	94.0	Q414	1
Bahrain	95.0	99.0	96.0	97.0	98.0	96.0	Q398	2
Belize	74.0	96.0	78.0	96.0	95.0	96.0	Q242	3
Benin	89.0	58.0	78.0	57.0	49.0	46.0	Q962	4
Bhutan	89.0	87.0	92.0	93.0	85.0	93.0	Q917	5
Burkina Faso	67.0	78.0	70.0	85.0	64.0	74.0	Q965	6
Burundi	59.0	51.0	58.0	58.0	40.0	47.0	Q967	7
Cabo Verde	88.0	92.0	95.0	93.0	89.0	91.0	Q1011	8
Cambodia	63.0	86.0	63.0	92.0	79.0	88.0	Q424	9
Chad	59.0	37.0	51.0	34.0	30.0	26.0	Q657	10
Colombia	64.0	90.0	69.0	94.0	90.0	94.0	Q739	11
Costa Rica	90.0	93.0	93.0	97.0	92.0	97.0	Q800	12
Cote d'Ivoire	73.0	83.0	65.0	84.0	83.0	81.0	Q1008	13
Cuba	95.0	96.0	96.0	97.0	96.0	97.0	Q241	14
Cyprus	94.0	99.0	96.0	99.0	99.0	99.0	Q229	15
Czech Republic	98.0	99.0	99.0	100.0	99.0	100.0	Q213	16
Dominican Republic	71.0	83.0	79.0	86.0	77.0	82.0	Q786	17
Ecuador	77.0	99.0	77.0	99.0	99.0	99.0	Q736	18
Egypt, Arab Rep.	99.0	97.0	99.0	98.0	96.0	97.0	Q79	19
El Salvador	64.0	85.0	70.0	88.0	81.0	85.0	Q792	20
Eritrea	96.0	80.0	91.0	80.0	80.0	80.0	Q986	21
Estonia	99.0	99.0	99.0	100.0	99.0	99.0	Q191	22
Eswatini	72.0	95.0	88.0	95.0	82.0	86.0	Q1050	23
Fiji	89.0	92.0	86.0	93.0	90.0	93.0	Q712	24
Finland	100.0	100.0	99.0	100.0	100.0	100.0	Q33	25
Gambia, The	65.0	78.0	66.0	81.0	73.0	77.0	Q1005	26
Ghana	67.0	86.0	65.0	87.0	81.0	82.0	Q117	27
Guatemala	55.0	87.0	58.0	89.0	84.0	86.0	Q774	28
Honduras	56.0	86.0	60.0	89.0	81.0	85.0	Q783	29
India	63.0	91.0	60.0	92.0	91.0	92.0	Q668	30
Indonesia	87.0	99.0	92.0	100.0	97.0	99.0	Q252	31
Iran, Islamic Rep.	98.0	98.0	97.0	96.0	98.0	94.0	Q794	32
Israel	100.0	100.0	99.0	98.0	99.0	98.0	Q801	33
Italy	95.0	100.0	96.0	100.0	100.0	100.0	Q38	34
Jamaica	85.0	96.0	89.0	97.0	96.0	97.0	Q766	35
Jordan	98.0	96.0	97.0	99.0	95.0	97.0	Q810	36
Korea, Rep.	100.0	99.0	99.0	100.0	99.0	100.0	Q884	37
Lao PDR	55.0	81.0	54.0	83.0	81.0	83.0	Q819	38
Lebanon	87.0	86.0	94.0	90.0	83.0	88.0	Q822	39
Lesotho	68.0	79.0	81.0	89.0	59.0	81.0	Q1013	40
Luxembourg	97.0	96.0	94.0	96.0	82.0	84.0	Q32	41
Madagascar	52.0	34.0	53.0	36.0	34.0	36.0	Q1019	42
Malaysia	87.0	97.0	87.0	98.0	95.0	97.0	Q833	43
Mauritania	66.0	68.0	67.0	73.0	63.0	66.0	Q1025	44
Mauritius	100.0	96.0	99.0	99.0	95.0	97.0	Q1027	45
Mexico	88.0	100.0	90.0	98.0	99.0	98.0	Q96	46
Morocco	82.0	95.0	82.0	96.0	92.0	94.0	Q1028	47
Mozambique	47.0	57.0	38.0	54.0	41.0	37.0	Q1029	48
Namibia	92.0	90.0	93.0	94.0	81.0	87.0	Q1030	49
Nepal	57.0	74.0	63.0	73.0	74.0	73.0	Q837	50
Norway	100.0	100.0	100.0	99.0	99.0	99.0	Q20	51
Oman	94.0	98.0	94.0	99.0	98.0	98.0	Q842	52
Peru	88.0	95.0	87.0	94.0	93.0	93.0	Q419	53
Philippines	69.0	93.0	79.0	96.0	91.0	95.0	Q928	54
Rwanda	41.0	64.0	43.0	72.0	51.0	60.0	Q1037	55
Samoa	89.0	87.0	94.0	88.0	85.0	86.0	Q683	56
Senegal	75.0	73.0	69.0	78.0	56.0	64.0	Q1041	57
Seychelles	96.0	97.0	97.0	96.0	97.0	96.0	Q1042	58
South Africa	65.0	81.0	64.0	93.0	71.0	90.0	Q258	59
Sri Lanka	98.0	98.0	98.0	99.0	98.0	99.0	Q854	60
Tanzania	80.0	94.0	80.0	96.0	90.0	93.0	Q924	61
Thailand	83.0	98.0	88.0	100.0	97.0	100.0	Q869	62
Tunisia	91.0	97.0	93.0	97.0	93.0	95.0	Q948	63
Uganda	56.0	60.0	58.0	62.0	35.0	36.0	Q1036	64
Uruguay	87.0	99.0	90.0	100.0	99.0	100.0	Q77	65
Venezuela, RB	88.0	87.0	94.0	87.0	82.0	84.0	Q717	66
