Country	Landarea200002	Landarea201416	Irrigated201416	ID	id_row
Afghanistan	58.0	58.0	6.5	Q889	0
Albania	42.0	43.0	19.6	Q222	1
Algeria	17.0	17.0	2.8	Q262	2
Armenia	49.0	59.0	9.2	Q399	3
Australia	58.0	48.0	0.6	Q408	4
Austria	35.0	32.0	1.4	Q40	5
Azerbaijan	57.0	58.0	29.8	Q227	6
Bangladesh	72.0	71.0	59.7	Q902	7
Belarus	44.0	42.0	0.4	Q184	8
Bolivia	34.0	35.0	0.7	Q750	9
Botswana	46.0	46.0	0.0	Q963	10
Canada	7.0	7.0	1.4	Q16	11
Channel Islands	37.0	46.0	3.7	Q42314	12
Croatia	21.0	28.0	1.0	Q224	13
Cyprus	15.0	12.0	22.3	Q229	14
Czech Republic	55.0	45.0	0.5	Q213	15
Denmark	63.0	62.0	4.8	Q35	16
Ecuador	30.0	22.0	16.1	Q736	17
El Salvador	75.0	76.0	1.4	Q792	18
Estonia	16.0	23.0	0.2	Q191	19
Germany	49.0	48.0	2.7	Q183	20
Ghana	64.0	69.0	0.2	Q117	21
Greece	65.0	48.0	19.7	Q41	22
Hungary	65.0	58.0	1.8	Q28	23
Iran, Islamic Rep.	39.0	28.0	16.6	Q794	24
Israel	26.0	25.0	32.8	Q801	25
Japan	13.0	12.0	34.8	Q17	26
Jordan	12.0	12.0	10.0	Q810	27
Kyrgyz Republic	56.0	55.0	9.5	Q813	28
Lao PDR	8.0	10.0	11.5	Q819	29
Latvia	26.0	31.0	0.0	Q211	30
Lithuania	46.0	47.0	0.1	Q37	31
Malaysia	21.0	26.0	5.2	Q833	32
Malta	31.0	32.0	33.7	Q233	33
Mauritius	49.0	42.0	19.5	Q1027	34
Mexico	55.0	55.0	5.5	Q96	35
Netherlands	58.0	53.0	11.2	Q55	36
New Zealand	46.0	40.0	6.5	Q664	37
Norway	3.0	3.0	3.3	Q20	38
Oman	4.0	5.0	5.9	Q842	39
Pakistan	48.0	48.0	50.5	Q843	40
Poland	55.0	47.0	0.9	Q36	41
Portugal	42.0	39.0	13.1	Q45	42
Romania	64.0	59.0	1.1	Q218	43
Slovak Republic	47.0	39.0	1.2	Q214	44
Slovenia	25.0	31.0	0.5	Q215	45
Spain	59.0	53.0	13.8	Q29	46
Switzerland	39.0	38.0	2.2	Q39	47
Turkey	54.0	50.0	13.5	Q43	48
Ukraine	71.0	72.0	0.8	Q212	49
United Arab Emirates	8.0	5.0	21.6	Q878	50
Uruguay	85.0	83.0	1.5	Q77	51
