Country	Childrenunderage5	Pregnantwomen	Nonpregnantwomen	ID	id_row
Papua New Guinea	48.0	45.0	36.0	Q691	130
Paraguay	26.0	33.0	22.0	Q733	131
Peru	32.0	26.0	18.0	Q419	132
Philippines	18.0	30.0	15.0	Q928	133
Poland	26.0	26.0	26.0	Q36	134
Portugal	14.0	25.0	17.0	Q45	135
Puerto Rico	28.0	25.0	21.0	Q1183	136
Qatar	26.0	33.0	28.0	Q846	137
Romania	27.0	27.0	27.0	Q218	138
Russian Federation	26.0	24.0	23.0	Q159	139
Rwanda	36.0	24.0	22.0	Q1037	140
Samoa	43.0	43.0	31.0	Q683	141
Sao Tome and Principe	65.0	55.0	45.0	Q1039	142
Saudi Arabia	38.0	46.0	43.0	Q851	143
Senegal	68.0	58.0	49.0	Q1041	144
Serbia	26.0	28.0	27.0	Q403	145
Seychelles	35.0	27.0	22.0	Q1042	146
Sierra Leone	77.0	56.0	47.0	Q1044	147
Singapore	17.0	32.0	22.0	Q334	148
Slovak Republic	26.0	27.0	27.0	Q214	149
Slovenia	27.0	26.0	24.0	Q215	150
Solomon Islands	43.0	49.0	38.0	Q685	151
Somalia	56.0	47.0	44.0	Q1045	152
South Africa	37.0	28.0	26.0	Q258	153
South Sudan	58.0	39.0	34.0	Q958	154
Spain	13.0	25.0	16.0	Q29	155
Sri Lanka	26.0	35.0	33.0	Q854	156
St. Lucia	35.0	27.0	22.0	Q760	157
St. Vincent and the Grenadines	33.0	28.0	24.0	Q757	158
Sudan	57.0	34.0	30.0	Q1049	159
Suriname	34.0	30.0	24.0	Q730	160
Sweden	12.0	22.0	15.0	Q34	161
Switzerland	13.0	25.0	18.0	Q39	162
Syrian Arab Republic	35.0	36.0	34.0	Q858	163
Tajikistan	31.0	34.0	30.0	Q863	164
Tanzania	55.0	48.0	36.0	Q924	165
Thailand	28.0	40.0	32.0	Q869	166
Timor-Leste	61.0	43.0	41.0	Q574	167
Togo	71.0	61.0	48.0	Q945	168
Tonga	38.0	29.0	21.0	Q678	169
Trinidad and Tobago	32.0	27.0	24.0	Q754	170
Tunisia	29.0	37.0	31.0	Q948	171
Turkey	28.0	34.0	31.0	Q43	172
Turkmenistan	28.0	33.0	33.0	Q874	173
Uganda	51.0	34.0	28.0	Q1036	174
Ukraine	26.0	25.0	24.0	Q212	175
United Arab Emirates	27.0	33.0	28.0	Q878	176
United Kingdom	12.0	22.0	15.0	Q145	177
United States	9.0	16.0	13.0	Q30	178
Uruguay	23.0	31.0	20.0	Q77	179
Uzbekistan	37.0	25.0	37.0	Q265	180
Vanuatu	28.0	28.0	24.0	Q686	181
Venezuela, RB	30.0	29.0	24.0	Q717	182
Vietnam	34.0	37.0	24.0	Q881	183
West Bank and Gaza	26.0	33.0	29.0	Q407199	184
Yemen, Rep.	84.0	63.0	70.0	Q805	185
Zambia	54.0	39.0	33.0	Q953	186
Zimbabwe	42.0	34.0	28.0	Q954	187
