Country	latitude	longitude	ID	id_row
Andorra	42.546245	1.601554	Q228	0
United Arab Emirates	23.424076	53.847818	Q878	1
Afghanistan	3.393911	67.709953	Q889	2
Antigua and Barbuda	17.060816	-61.79642800000001	Q781	3
Anguilla	18.220554	-63.068615	Q25228	4
Albania	41.153332	20.168331	Q222	5
Armenia	40.069099	45.038189	Q399	6
Angola	-11.202692	17.873887	Q916	7
Antarctica	-75.250973	-71.389	Q51	8
Argentina	-38.416097	-63.616672	Q414	9
American Samoa	-14.270972	-170.132217	Q16641	10
Austria	47.516231	14.550072	Q40	11
Australia	-25.274398	133.775136	Q408	12
Aruba	1.252111	-69.968338	Q21203	13
Azerbaijan	40.143105	47.57692700000001	Q227	14
Bosnia and Herzegovina	43.915886	17.679076000000006	Q225	15
Barbados	13.193887	-59.543198	Q244	16
Bangladesh	23.684994	90.356331	Q902	17
Belgium	50.503887	4.469936	Q31	18
Burkina Faso	12.238333	-1.561593	Q965	19
Bulgaria	42.733883	2.5485830000000003	Q219	20
Bahrain	25.930414000000006	50.637772	Q398	21
Burundi	-3.373056	29.918886	Q967	22
Benin	9.30769	2.315834	Q962	23
Bermuda	32.321384	-6.4757370000000005	Q23635	24
Brunei	4.535277	114.727669	Q921	25
Bolivia	-16.290154	-63.588653	Q750	26
Brazil	-14.235004	-5.192528	Q155	27
Bahamas	2.503428	-7.739628	Q778	28
Bhutan	27.514162	90.433601	Q917	29
Bouvet Island	-54.423199	3.4131940000000003	Q23408	30
Botswana	-22.328474	24.684866	Q963	31
Belarus	53.709807	27.953389	Q184	32
Belize	17.189877	-8.849765	Q242	33
Canada	56.130366	-106.346771	Q16	34
Cocos [Keeling] Islands	-12.164165	96.870956	Q36004	35
Congo [DRC]	-4.0383330000000015	21.758664000000003	Q974	36
Central African Republic	6.611111	20.939444	Q929	37
Congo [Republic]	-0.228021	15.827659	Q971	38
Switzerland	46.818188	8.227511999999999	Q39	39
Côte d'Ivoire	7.539989	-5.54708	Q1008	40
Cook Islands	-21.236736	-159.777671	Q26988	41
Chile	-35.675147	-71.542969	Q298	42
Cameroon	7.369722	12.354722	Q1009	43
China	3.5861660000000004	104.195397	Q148	44
Colombia	4.570868	-74.297333	Q739	45
Costa Rica	9.748917	-83.753428	Q800	46
Cuba	21.521757	-77.78116700000002	Q241	47
Cape Verde	16.002082	-24.013197	Q1011	48
Christmas Island	-10.447525	105.690449	Q31063	49
Cyprus	35.126413	33.429859	Q229	50
Czech Republic	49.817492	15.472962	Q213	51
Germany	51.165691	10.451526	Q183	52
Djibouti	11.825138	42.590275	Q977	53
Denmark	5.626392	9.501785	Q35	54
Dominica	15.414999	-61.370976	Q784	55
Dominican Republic	18.735693	-70.162651	Q786	56
Algeria	28.033886	1.6596259999999998	Q262	57
Ecuador	-1.831239	-78.183406	Q736	58
Estonia	58.595272	25.013607	Q191	59
Egypt	26.820553000000004	30.802498	Q79	60
Western Sahara	24.215527	-12.885834	Q6250	61
Eritrea	15.179384	39.78233400000001	Q986	62
Spain	40.463667	-3.74922	Q29	63
Ethiopia	9.145	40.489673	Q115	64
Finland	6.192411	25.748151	Q33	65
Fiji	-16.578193	179.414413	Q712	66
Falkland Islands [Islas Malvinas]	-51.796253	-59.523613	Q9648	67
Micronesia	7.425553999999999	150.550812	Q702	68
Faroe Islands	61.892635	-6.911806	Q4628	69
France	46.227638	2.213749	Q142	70
Gabon	-0.803689	11.609444	Q1000	71
United Kingdom	55.378051	-3.435973	Q145	72
Grenada	12.262776	-61.604171	Q769	73
Georgia	42.315407	43.356892	Q230	74
French Guiana	3.933889	-53.125782	Q3769	75
Guernsey	49.465691	-2.585278	Q25230	76
Ghana	7.9465270000000015	-1.0231940000000002	Q117	77
Gibraltar	36.137741	-5.345374	Q1410	78
Greenland	71.706936	-42.604303	Q223	79
Gambia	13.443182	-15.310139	Q1005	80
Guinea	9.945587	-9.696645	Q1006	81
Guadeloupe	16.995971	-62.067641	Q3118683	82
Equatorial Guinea	1.6508009999999995	10.267895	Q983	83
Greece	39.074208	21.824312	Q41	84
South Georgia and the South Sandwich Islands	-54.429579	-36.587909	Q35086	85
Guatemala	15.783471	-90.230759	Q774	86
Guam	13.444304	144.793731	Q16635	87
Guinea-Bissau	11.803749	-15.180413	Q1007	88
Guyana	4.860416000000002	-5.893018	Q734	89
Gaza Strip	31.354676	34.308825	Q39760	90
Hong Kong	22.396428	114.109497	Q8646	91
Heard Island and McDonald Islands	-5.3081809999999985	73.50415799999998	Q131198	92
Honduras	15.199998999999998	-86.241905	Q783	93
Croatia	5.1	15.2	Q224	94
Haiti	18.971187	-72.28521500000002	Q790	95
Hungary	47.162494	19.503304	Q28	96
Indonesia	-0.789275	113.921327	Q252	97
Ireland	53.41291	-8.243889999999999	Q27	98
Israel	31.046051	34.851612	Q801	99
Isle of Man	54.236107	-4.548056	Q9676	100
India	20.593684	7.896288	Q668	101
British Indian Ocean Territory	-6.343194	71.87651899999999	Q43448	102
Iraq	33.223191	43.679291	Q796	103
Iran	32.427908	53.68804599999999	Q794	104
Iceland	64.96305100000001	-19.020835	Q189	105
Italy	4.187194	1.256738	Q38	106
Jersey	49.214439	-2.13125	Q785	107
Jamaica	18.109581	-77.297508	Q766	108
Jordan	30.585164	36.238414	Q810	109
Japan	36.204824	138.252924	Q17	110
Kenya	-0.023559	37.906193	Q114	111
Kyrgyzstan	4.120438	74.766098	Q813	112
Cambodia	12.565679	104.990963	Q424	113
Kiribati	-3.370417	-168.734039	Q710	114
Comoros	-11.875001	43.872219	Q970	115
Saint Kitts and Nevis	17.357822	-62.782998	Q763	116
North Korea	40.339852	127.510093	Q423	117
South Korea	35.90775700000001	127.766922	Q884	118
Kuwait	2.931166	47.481766	Q817	119
Cayman Islands	19.513469	-80.566956	Q5785	120
Kazakhstan	48.019573	66.923684	Q232	121
Laos	1.985627	102.495496	Q819	122
Lebanon	33.854721000000005	35.862285	Q822	123
Saint Lucia	13.909444	-60.97889300000001	Q760	124
Liechtenstein	47.166	9.555373	Q347	125
Sri Lanka	7.873054	80.77179699999998	Q854	126
Liberia	6.4280550000000005	-9.429499	Q1014	127
Lesotho	-29.609988	28.233608	Q1013	128
Lithuania	55.169438	23.881275	Q37	129
Luxembourg	49.815273	6.129583	Q32	130
Latvia	56.879635	24.603189	Q211	131
Libya	26.3351	17.228331	Q1016	132
Morocco	31.791702	-7.09262	Q1028	133
Monaco	43.750298	7.412841	Q235	134
Moldova	47.411631	28.369885	Q217	135
Montenegro	42.708678000000006	1.937439	Q236	136
Madagascar	-18.766947	46.869107	Q1019	137
Marshall Islands	7.131474000000001	171.184478	Q709	138
Macedonia [FYROM]	41.608635	21.745275	Q221	139
Mali	17.570692	-3.996166000000001	Q912	140
Myanmar [Burma]	21.913965	95.956223	Q836	141
Mongolia	46.862496	103.846656	Q711	142
Macau	22.198745	113.543873	Q14773	143
