Country	imports2010	imports2019	ID	id_row
Afghanistan	19.1	45.8	Q889	0
Albania	63.6	47.1	Q222	1
Algeria	78.4	73.0	Q262	2
Andorra	66.8	68.6	Q228	3
Angola	65.7	59.2	Q916	4
Antigua and Barbuda	48.3	68.7	Q781	5
Argentina	84.7	80.2	Q414	6
Armenia	55.9	64.1	Q399	7
Aruba	59.3	64.5	Q21203	8
Australia	74.9	74.3	Q408	9
Austria	73.6	77.1	Q40	10
Azerbaijan	76.3	73.6	Q227	11
Bahrain	41.5	54.0	Q398	12
Barbados	70.0	51.8	Q244	13
Belarus	47.3	54.1	Q184	14
Belgium	71.2	74.3	Q31	15
Belize	61.0	62.2	Q242	16
Benin	38.6	32.2	Q962	17
Bermuda	50.5	54.7	Q23635	18
Bolivia	78.3	76.9	Q750	19
Bosnia and Herzegovina	58.4	64.8	Q225	20
Botswana	68.5	71.9	Q963	21
Brazil	74.1	75.5	Q155	22
Brunei Darussalam	75.3	79.9	Q921	23
Bulgaria	54.9	61.3	Q219	24
Burkina Faso	61.0	59.3	Q965	25
Burundi	81.6	61.2	Q967	26
Cabo Verde	57.8	55.4	Q1011	27
Cambodia	81.9	75.8	Q424	28
Cameroon	52.4	60.0	Q1009	29
Canada	76.7	78.5	Q16	30
Central African Republic	67.2	68.2	Q929	31
Chile	68.2	71.7	Q298	32
China	61.5	60.6	Q148	33
Hong Kong SAR, China	89.8	90.8	Q8646	34
Macao SAR, China	66.5	68.8	Q14773	35
Colombia	80.3	77.0	Q739	36
Comoros	60.3	49.1	Q970	37
Congo, Rep.	86.7	69.0	Q971	38
Costa Rica	73.0	74.0	Q800	39
Cote d'Ivoire	54.6	55.7	Q1008	40
Croatia	67.1	70.3	Q224	41
Cyprus	61.6	64.7	Q229	42
Czech Republic	77.0	84.9	Q213	43
Denmark	73.1	74.0	Q35	44
Dominican Republic	59.8	65.8	Q786	45
Ecuador	72.4	74.1	Q736	46
Egypt, Arab Rep.	60.1	59.2	Q79	47
El Salvador	63.0	64.8	Q792	48
Estonia	63.8	69.2	Q191	49
Eswatini	59.9	62.0	Q1050	50
Ethiopia	69.0	73.6	Q115	51
Fiji	47.9	61.1	Q712	52
Finland	60.7	61.2	Q33	53
France	73.3	75.7	Q142	54
Gambia, The	40.3	25.5	Q1005	55
Georgia	59.8	63.5	Q230	56
Germany	70.8	73.5	Q183	57
Ghana	81.1	74.9	Q117	58
Greece	58.8	52.9	Q41	59
Greenland	56.4	60.1	Q223	60
Guatemala	66.0	64.8	Q774	61
Guyana	54.1	80.0	Q734	62
Honduras	59.4	65.1	Q783	63
Hungary	72.1	80.9	Q28	64
Iceland	71.7	73.5	Q189	65
India	50.6	53.9	Q668	66
Indonesia	63.3	65.9	Q252	67
Iran, Islamic Rep.	70.5	66.9	Q794	68
Ireland	70.0	79.4	Q27	69
Israel	71.4	75.9	Q801	70
Italy	63.8	69.4	Q38	71
Jamaica	48.7	54.3	Q766	72
Japan	50.5	59.4	Q17	73
Jordan	56.3	55.1	Q810	74
Kazakhstan	78.7	81.8	Q232	75
Kenya	62.7	63.0	Q114	76
Korea, Rep.	56.8	60.8	Q884	77
Kuwait	80.9	80.1	Q817	78
Kyrgyz Republic	53.8	70.5	Q813	79
Lao PDR	59.9	70.6	Q819	80
Latvia	59.1	66.0	Q211	81
Lebanon	59.0	58.1	Q822	82
Lesotho	63.6	61.3	Q1013	83
Lithuania	49.9	61.3	Q37	84
Luxembourg	63.8	66.9	Q32	85
Madagascar	69.5	57.1	Q1019	86
Malawi	74.1	74.2	Q1020	87
Malaysia	74.2	70.3	Q833	88
Maldives	50.2	60.2	Q826	89
Mali	61.2	57.9	Q912	90
Malta	63.2	64.1	Q233	91
Mauritania	52.9	67.4	Q1025	92
Mauritius	56.4	57.4	Q1027	93
Mexico	79.5	74.1	Q96	94
Moldova	62.3	66.2	Q217	95
Montenegro	61.0	66.8	Q236	96
Morocco	58.8	67.6	Q1028	97
Mozambique	49.6	54.7	Q1029	98
Myanmar	54.3	64.8	Q836	99
Namibia	72.6	59.1	Q1030	100
Nepal	62.1	60.8	Q837	101
Netherlands	57.4	67.7	Q55	102
New Zealand	70.9	74.2	Q664	103
Nicaragua	60.8	69.5	Q811	104
Nigeria	86.4	57.5	Q1033	105
North Macedonia	61.7	62.0	Q221	106
Norway	75.8	77.0	Q20	107
Oman	74.6	72.4	Q842	108
Pakistan	48.5	51.7	Q843	109
Palau	45.3	50.8	Q695	110
Paraguay	79.4	76.3	Q733	111
Peru	72.5	70.0	Q419	112
Philippines	67.3	73.8	Q928	113
Poland	74.1	76.5	Q36	114
Portugal	67.4	71.3	Q45	115
Qatar	83.9	79.4	Q846	116
Romania	75.2	78.5	Q218	117
Russian Federation	74.5	83.3	Q159	118
