Country	Registeredcarrierdeparturesworldwide	Passengerscarried	Airfreight	ID	id_row
Thailand	476.0	76053.0	2666.0	Q869	125
Togo	12.0	566.0	11.0	Q945	126
Trinidad and Tobago	33.0	2525.0	41.0	Q754	127
Tunisia	41.0	4274.0	13.0	Q948	128
Turkey	773.0	115595.0	5949.0	Q43	129
Turkmenistan	18.0	2457.0	17.0	Q874	130
Uganda	5.0	22.0	0.0	Q1036	131
Ukraine	67.0	7855.0	75.0	Q212	132
United Arab Emirates	456.0	95533.0	15963.0	Q878	133
United Kingdom	1243.0	165389.0	6198.0	Q145	134
United States	9880.0	889022.0	42985.0	Q30	135
Uzbekistan	22.0	3057.0	89.0	Q265	136
Vanuatu	12.0	375.0	2.0	Q686	137
Venezuela, RB	25.0	2138.0	2.0	Q717	138
Vietnam	284.0	47050.0	481.0	Q881	139
Yemen, Rep.	2.0	336.0	3.0	Q805	140
Zambia	1.0	9.0	75.0	Q953	141
Zimbabwe	3.0	283.0	1.0	Q954	142
