Country	Young	Old	ID	id_row
Somalia	91.0	6.0	Q1045	156
South Africa	44.0	8.0	Q258	157
South Sudan	76.0	6.0	Q958	158
Spain	22.0	30.0	Q29	159
Sri Lanka	37.0	17.0	Q854	160
St. Lucia	25.0	14.0	Q760	161
St. Vincent and the Grenadines	33.0	14.0	Q757	162
Sudan	71.0	6.0	Q1049	163
Suriname	41.0	11.0	Q730	164
Sweden	28.0	32.0	Q34	165
Switzerland	23.0	28.0	Q39	166
Syrian Arab Republic	48.0	7.0	Q858	167
Tajikistan	62.0	5.0	Q863	168
Tanzania	82.0	5.0	Q924	169
Thailand	24.0	18.0	Q869	170
Timor-Leste	64.0	7.0	Q574	171
Togo	73.0	5.0	Q945	172
Tonga	59.0	10.0	Q678	173
Trinidad and Tobago	30.0	16.0	Q754	174
Tunisia	36.0	13.0	Q948	175
Turkey	36.0	13.0	Q43	176
Turkmenistan	48.0	7.0	Q874	177
Uganda	90.0	4.0	Q1036	178
Ukraine	24.0	25.0	Q212	179
United Arab Emirates	17.0	1.0	Q878	180
United Kingdom	28.0	29.0	Q145	181
United States	28.0	25.0	Q30	182
Uruguay	32.0	23.0	Q77	183
Uzbekistan	43.0	7.0	Q265	184
Vanuatu	67.0	6.0	Q686	185
Venezuela, RB	42.0	12.0	Q717	186
Vietnam	34.0	11.0	Q881	187
Virgin Islands (U.S.)	32.0	33.0	Q11703	188
West Bank and Gaza	66.0	5.0	Q407199	189
Yemen, Rep.	68.0	5.0	Q805	190
Zambia	83.0	4.0	Q953	191
Zimbabwe	77.0	5.0	Q954	192
