Country	Imports2010	Imports2019	ID	id_row
Afghanistan	2.0	1.0	Q889	0
Albania	5.0	2.0	Q222	1
Algeria	2.0	3.0	Q262	2
Angola	7.0	6.0	Q916	3
Antigua and Barbuda	21.0	9.0	Q781	4
Argentina	4.0	3.0	Q414	5
Armenia	5.0	4.0	Q399	6
Aruba	2.0	3.0	Q21203	7
Australia	2.0	4.0	Q408	8
Austria	6.0	5.0	Q40	9
Azerbaijan	3.0	3.0	Q227	10
Bahamas, The	15.0	9.0	Q778	11
Bahrain	23.0	50.0	Q398	12
Bangladesh	2.0	14.0	Q902	13
Barbados	4.0	11.0	Q244	14
Belarus	5.0	5.0	Q184	15
Belgium	9.0	8.0	Q31	16
Belize	17.0	21.0	Q242	17
Benin	5.0	2.0	Q962	18
Bermuda	14.0	10.0	Q23635	19
Bhutan	3.0	6.0	Q917	20
Bolivia	13.0	7.0	Q750	21
Bosnia and Herzegovina	3.0	9.0	Q225	22
Botswana	4.0	2.0	Q963	23
Brazil	5.0	3.0	Q155	24
Brunei Darussalam	2.0	1.0	Q921	25
Bulgaria	5.0	6.0	Q219	26
Burkina Faso	12.0	17.0	Q965	27
Burundi	3.0	2.0	Q967	28
Cabo Verde	6.0	2.0	Q1011	29
Cambodia	9.0	5.0	Q424	30
Cameroon	7.0	7.0	Q1009	31
Canada	10.0	10.0	Q16	32
Chile	11.0	8.0	Q298	33
China	12.0	3.0	Q148	34
Hong Kong SAR, China	7.0	10.0	Q8646	35
Macao SAR, China	13.0	17.0	Q14773	36
Colombia	15.0	17.0	Q739	37
Comoros	12.0	8.0	Q970	38
Congo, Dem. Rep.	14.0	22.0	Q974	39
Congo, Rep.	4.0	7.0	Q971	40
Costa Rica	11.0	13.0	Q800	41
Cote d'Ivoire	8.0	5.0	Q1008	42
Croatia	9.0	10.0	Q224	43
Curacao	3.0	2.0	Q25279	44
Cyprus	23.0	20.0	Q229	45
Czech Republic	7.0	5.0	Q213	46
Denmark	3.0	1.0	Q35	47
Djibouti	11.0	4.0	Q977	48
Dominica	12.0	14.0	Q784	49
Dominican Republic	18.0	12.0	Q786	50
Ecuador	8.0	13.0	Q736	51
