Country	number2010	number2019	ID	id_row
Argentina	101.0	91.0	Q414	0
Australia	1913.0	1952.0	Q408	1
Austria	89.0	71.0	Q40	2
Bahrain	44.0	43.0	Q398	3
Bangladesh	192.0	611.0	Q902	4
Barbados	21.0	16.0	Q244	5
Belgium	161.0	111.0	Q31	6
Bermuda	14.0	13.0	Q23635	7
Brazil	373.0	324.0	Q155	8
Bulgaria	390.0	262.0	Q219	9
Canada	3771.0	3358.0	Q16	10
Chile	227.0	203.0	Q298	11
China	2063.0	3777.0	Q148	12
Hong Kong SAR, China	1396.0	2272.0	Q8646	13
Colombia	84.0	66.0	Q739	14
Costa Rica	9.0	10.0	Q800	15
Croatia	240.0	119.0	Q224	16
Cyprus	110.0	96.0	Q229	17
Egypt, Arab Rep.	227.0	246.0	Q79	18
France	617.0	457.0	Q142	19
Germany	690.0	470.0	Q183	20
Greece	277.0	176.0	Q41	21
Hungary	48.0	44.0	Q28	22
India	5034.0	5065.0	Q668	23
Indonesia	420.0	668.0	Q252	24
Iran, Islamic Rep.	369.0	331.0	Q794	25
Ireland	50.0	43.0	Q27	26
Israel	596.0	414.0	Q801	27
Jamaica	48.0	87.0	Q766	28
Japan	2281.0	3704.0	Q17	29
Jordan	277.0	195.0	Q810	30
Kazakhstan	61.0	94.0	Q232	31
Kenya	55.0	59.0	Q114	32
Korea, Rep.	1781.0	2262.0	Q884	33
Lebanon	10.0	10.0	Q822	34
Luxembourg	29.0	28.0	Q32	35
Malaysia	948.0	919.0	Q833	36
Malta	21.0	27.0	Q233	37
Mauritius	62.0	95.0	Q1027	38
Mexico	130.0	139.0	Q96	39
Morocco	73.0	74.0	Q1028	40
Namibia	7.0	11.0	Q1030	41
Netherlands	150.0	103.0	Q55	42
New Zealand	137.0	123.0	Q664	43
Nigeria	215.0	180.0	Q1033	44
Norway	195.0	0.0	Q20	45
Oman	114.0	111.0	Q842	46
Panama	34.0	27.0	Q804	47
Peru	199.0	196.0	Q419	48
Philippines	251.0	265.0	Q928	49
Poland	570.0	798.0	Q36	50
Portugal	52.0	40.0	Q45	51
Qatar	43.0	47.0	Q846	52
Romania	73.0	81.0	Q218	53
Russian Federation	556.0	213.0	Q159	54
Saudi Arabia	146.0	204.0	Q851	55
Singapore	461.0	470.0	Q334	56
Slovenia	72.0	29.0	Q215	57
South Africa	352.0	274.0	Q258	58
Spain	3310.0	2979.0	Q29	59
Sri Lanka	241.0	289.0	Q854	60
Switzerland	246.0	237.0	Q39	61
Thailand	541.0	725.0	Q869	62
Tunisia	56.0	81.0	Q948	63
Turkey	263.0	378.0	Q43	64
United Arab Emirates	104.0	130.0	Q878	65
United Kingdom	2105.0	2026.0	Q145	66
United States	4279.0	4397.0	Q30	67
Vietnam	634.0	745.0	Q881	68
West Bank and Gaza	39.0	48.0	Q407199	69
