Country	Current	Public	Outofpocket	Percapita	PercapitaPPP	ID	id_row
Croatia	6.8	82.8	11.0	902.1	1772.5	Q224	41
Cuba	11.7	89.4	10.5	987.6	2485.8	Q241	42
Cyprus	6.7	42.4	44.6	1731.7	2430.2	Q229	43
Czech Republic	7.2	81.7	14.8	1475.9	2753.4	Q213	44
Denmark	10.1	84.0	13.7	5800.2	5510.0	Q35	45
Djibouti	3.3	47.0	26.5	70.3	117.2	Q977	46
Dominica	5.9	65.0	31.0	439.6	656.7	Q784	47
Dominican Republic	6.1	46.0	44.7	433.2	985.7	Q786	48
Ecuador	8.3	52.8	39.4	518.0	958.9	Q736	49
Egypt, Arab Rep.	5.3	33.0	60.1	105.8	613.8	Q79	50
El Salvador	7.2	63.7	29.2	282.5	582.7	Q792	51
Equatorial Guinea	3.1	18.8	76.8	301.2	758.9	Q983	52
Eritrea	2.9	27.2	59.1	32.9	59.3	Q986	53
Estonia	6.4	74.7	23.7	1300.5	2153.3	Q191	54
Eswatini	6.9	50.7	10.5	224.7	600.1	Q1050	55
Ethiopia	3.5	24.9	34.4	25.3	66.7	Q115	56
Fiji	3.5	66.2	15.6	188.4	322.8	Q712	57
Finland	9.2	76.7	20.2	4205.7	4255.2	Q33	58
France	11.3	77.1	9.4	4379.7	5011.2	Q142	59
Gabon	2.8	63.3	25.2	204.5	499.6	Q1000	60
Gambia, The	3.3	22.9	22.0	23.3	55.8	Q1005	61
Georgia	7.6	37.2	54.8	293.1	773.3	Q230	62
Germany	11.2	77.7	12.7	5033.5	5922.6	Q183	63
Ghana	3.3	33.5	40.3	66.7	146.9	Q117	64
Greece	8.0	60.2	34.8	1516.6	2295.3	Q41	65
Grenada	4.8	42.7	52.4	497.2	721.1	Q769	66
Guatemala	5.8	35.8	54.1	259.9	474.8	Q774	67
Guinea	4.1	17.2	56.7	33.7	89.2	Q1006	68
Guinea-Bissau	7.2	8.2	72.1	52.4	123.3	Q1007	69
Guyana	4.9	59.9	32.5	230.5	405.1	Q734	70
Haiti	8.0	11.9	40.2	62.4	146.1	Q790	71
Honduras	7.9	40.1	48.7	195.9	394.8	Q783	72
Hungary	6.9	68.7	26.9	981.4	1979.4	Q28	73
Iceland	8.3	81.8	16.5	6086.3	4721.4	Q189	74
India	3.5	27.1	62.4	69.3	253.3	Q668	75
Indonesia	3.0	48.4	34.6	115.0	367.9	Q252	76
Iran, Islamic Rep.	8.7	51.2	41.8	475.5	1748.4	Q794	77
Iraq	4.2	41.9	58.0	210.3	494.8	Q796	78
Ireland	7.2	73.3	12.3	4976.9	5544.7	Q27	79
Israel	7.4	63.6	22.3	3144.6	3014.6	Q801	80
Italy	8.8	73.9	23.5	2840.1	3619.7	Q38	81
Jamaica	6.0	64.7	17.2	307.2	542.9	Q766	82
Japan	10.9	84.1	12.8	4169.0	4563.5	Q17	83
