Country	2018	ID	id_row
Afghanistan	65.0	Q889	0
Albania	20.0	Q222	1
Algeria	10.0	Q262	2
Angola	148.0	Q916	3
Antigua and Barbuda	42.0	Q781	4
Argentina	63.0	Q414	5
Armenia	21.0	Q399	6
Aruba	21.0	Q21203	7
Australia	11.0	Q408	8
Austria	7.0	Q40	9
Azerbaijan	56.0	Q227	10
Bahamas, The	29.0	Q778	11
Bahrain	13.0	Q398	12
Bangladesh	82.0	Q902	13
Barbados	31.0	Q244	14
Belarus	14.0	Q184	15
Belgium	5.0	Q31	16
Belize	68.0	Q242	17
Benin	84.0	Q962	18
Bhutan	19.0	Q917	19
Bolivia	64.0	Q750	20
Bosnia and Herzegovina	9.0	Q225	21
Botswana	45.0	Q963	22
Brazil	58.0	Q155	23
Brunei Darussalam	10.0	Q921	24
Bulgaria	39.0	Q219	25
Burkina Faso	102.0	Q965	26
Burundi	55.0	Q967	27
Cabo Verde	73.0	Q1011	28
Cambodia	51.0	Q424	29
Cameroon	103.0	Q1009	30
Canada	8.0	Q16	31
Central African Republic	127.0	Q929	32
Chad	158.0	Q657	33
Channel Islands	7.0	Q42314	34
Chile	40.0	Q298	35
China	8.0	Q148	36
Hong Kong SAR, China	3.0	Q8646	37
Macao SAR, China	2.0	Q14773	38
Colombia	65.0	Q739	39
Comoros	64.0	Q970	40
Congo, Dem. Rep.	123.0	Q974	41
Congo, Rep.	111.0	Q971	42
Costa Rica	53.0	Q800	43
Cote d'Ivoire	116.0	Q1008	44
Croatia	8.0	Q224	45
Cuba	52.0	Q241	46
Curacao	28.0	Q25279	47
Cyprus	4.0	Q229	48
Czech Republic	12.0	Q213	49
Denmark	4.0	Q35	50
Djibouti	18.0	Q977	51
Dominican Republic	93.0	Q786	52
Ecuador	79.0	Q736	53
Egypt, Arab Rep.	53.0	Q79	54
El Salvador	69.0	Q792	55
Equatorial Guinea	153.0	Q983	56
Eritrea	51.0	Q986	57
Estonia	7.0	Q191	58
Eswatini	75.0	Q1050	59
Ethiopia	65.0	Q115	60
Fiji	49.0	Q712	61
Finland	6.0	Q33	62
France	5.0	Q142	63
French Polynesia	38.0	Q30971	64
Gabon	94.0	Q1000	65
Gambia, The	76.0	Q1005	66
Georgia	45.0	Q230	67
Germany	8.0	Q183	68
Ghana	66.0	Q117	69
Greece	7.0	Q41	70
Grenada	28.0	Q769	71
Guam	31.0	Q16635	72
Guatemala	70.0	Q774	73
Guinea	133.0	Q1006	74
Guinea-Bissau	103.0	Q1007	75
Guyana	73.0	Q734	76
Haiti	51.0	Q790	77
Honduras	72.0	Q783	78
Hungary	24.0	Q28	79
Iceland	6.0	Q189	80
India	12.0	Q668	81
Indonesia	47.0	Q252	82
Iran, Islamic Rep.	41.0	Q794	83
Iraq	72.0	Q796	84
Ireland	7.0	Q27	85
Israel	9.0	Q801	86
Italy	5.0	Q38	87
Jamaica	51.0	Q766	88
Japan	4.0	Q17	89
Jordan	26.0	Q810	90
Kazakhstan	29.0	Q232	91
Kenya	74.0	Q114	92
Kiribati	15.0	Q710	93
Korea, Dem. Peopleâ€™s Rep.	0.0	Q423	94
Korea, Rep.	1.0	Q884	95
Kuwait	8.0	Q817	96
Kyrgyz Republic	32.0	Q813	97
Lao PDR	65.0	Q819	98
Latvia	16.0	Q211	99
Lebanon	14.0	Q822	100
Lesotho	93.0	Q1013	101
Liberia	136.0	Q1014	102
Libya	6.0	Q1016	103
Lithuania	10.0	Q37	104
Luxembourg	5.0	Q32	105
Madagascar	108.0	Q1019	106
Malawi	132.0	Q1020	107
Malaysia	13.0	Q833	108
Maldives	7.0	Q826	109
Mali	167.0	Q912	110
Malta	12.0	Q233	111
Mauritania	70.0	Q1025	112
Mauritius	25.0	Q1027	113
Mexico	59.0	Q96	114
Micronesia, Fed. Sts.	13.0	Q702	115
Moldova	22.0	Q217	116
Mongolia	31.0	Q711	117
Montenegro	9.0	Q236	118
Morocco	31.0	Q1028	119
Mozambique	146.0	Q1029	120
Myanmar	28.0	Q836	121
Namibia	62.0	Q1030	122
Nepal	64.0	Q837	123
Netherlands	4.0	Q55	124
New Caledonia	14.0	Q33788	125
New Zealand	19.0	Q664	126
Nicaragua	83.0	Q811	127
Niger	184.0	Q1032	128
Nigeria	105.0	Q1033	129
North Macedonia	15.0	Q221	130
Norway	5.0	Q20	131
Oman	13.0	Q842	132
Pakistan	38.0	Q843	133
Panama	81.0	Q804	134
Papua New Guinea	52.0	Q691	135
Paraguay	70.0	Q733	136
Peru	56.0	Q419	137
Philippines	55.0	Q928	138
Poland	10.0	Q36	139
Portugal	8.0	Q45	140
Puerto Rico	28.0	Q1183	141
Qatar	10.0	Q846	142
Romania	36.0	Q218	143
Russian Federation	20.0	Q159	144
Rwanda	39.0	Q1037	145
Samoa	23.0	Q683	146
Sao Tome and Principe	93.0	Q1039	147
Saudi Arabia	7.0	Q851	148
Senegal	71.0	Q1041	149
Serbia	14.0	Q403	150
Seychelles	61.0	Q1042	151
Sierra Leone	110.0	Q1044	152
Singapore	4.0	Q334	153
Slovak Republic	26.0	Q214	154
Slovenia	4.0	Q215	155
Solomon Islands	78.0	Q685	156
Somalia	98.0	Q1045	157
South Africa	68.0	Q258	158
South Sudan	59.0	Q958	159
Spain	7.0	Q29	160
Sri Lanka	21.0	Q854	161
St. Lucia	40.0	Q760	162
St. Vincent and the Grenadines	48.0	Q757	163
Sudan	61.0	Q1049	164
Suriname	61.0	Q730	165
Sweden	5.0	Q34	166
Switzerland	3.0	Q39	167
Syrian Arab Republic	38.0	Q858	168
Tajikistan	57.0	Q863	169
Tanzania	117.0	Q924	170
Thailand	45.0	Q869	171
Timor-Leste	32.0	Q574	172
Togo	89.0	Q945	173
Tonga	14.0	Q678	174
Trinidad and Tobago	29.0	Q754	175
Tunisia	8.0	Q948	176
Turkey	26.0	Q43	177
Turkmenistan	24.0	Q874	178
Uganda	116.0	Q1036	179
Ukraine	23.0	Q212	180
United Arab Emirates	6.0	Q878	181
United Kingdom	13.0	Q145	182
United States	19.0	Q30	183
Uruguay	58.0	Q77	184
Uzbekistan	24.0	Q265	185
Vanuatu	49.0	Q686	186
Venezuela, RB	85.0	Q717	187
Vietnam	29.0	Q881	188
Virgin Islands (U.S.)	28.0	Q11703	189
West Bank and Gaza	52.0	Q407199	190
Yemen, Rep.	59.0	Q805	191
Zambia	118.0	Q953	192
Zimbabwe	83.0	Q954	193
