Country	Institution	ID	id_row
Afghanistan	-7.8	Q889	0
Albania	-42.0	Q222	1
Algeria	0.0	Q262	2
Angola	-1.1	Q916	3
Argentina	0.0	Q414	4
Armenia	-35.4	Q399	5
Azerbaijan	-48.7	Q227	6
Bangladesh	1218.5	Q902	7
Belarus	0.0	Q184	8
Belize	0.0	Q242	9
Benin	93.4	Q962	10
Bhutan	30.5	Q917	11
Bolivia	20.5	Q750	12
Bosnia and Herzegovina	-30.9	Q225	13
Botswana	-0.4	Q963	14
Brazil	0.0	Q155	15
Bulgaria	0.0	Q219	16
Burkina Faso	166.3	Q965	17
Burundi	-3.3	Q967	18
Cabo Verde	0.2	Q1011	19
Cambodia	7.0	Q424	20
Cameroon	127.0	Q1009	21
Central African Republic	37.1	Q929	22
Chad	-3.6	Q657	23
China	-681.4	Q148	24
Colombia	0.0	Q739	25
Comoros	-0.3	Q970	26
Congo, Dem. Rep.	180.2	Q974	27
Congo, Rep.	27.2	Q971	28
Costa Rica	0.0	Q800	29
Cote d'Ivoire	214.3	Q1008	30
Djibouti	12.1	Q977	31
Dominica	2.1	Q784	32
Dominican Republic	-0.7	Q786	33
Ecuador	-0.8	Q736	34
Egypt, Arab Rep.	-117.8	Q79	35
El Salvador	-0.6	Q792	36
Eritrea	0.0	Q986	37
Ethiopia	1493.9	Q115	38
Fiji	0.0	Q712	39
Gabon	0.0	Q1000	40
Gambia, The	13.3	Q1005	41
Georgia	-70.1	Q230	42
Ghana	75.2	Q117	43
Grenada	32.1	Q769	44
Guatemala	0.0	Q774	45
Guinea	98.1	Q1006	46
Guinea-Bissau	46.1	Q1007	47
Guyana	41.1	Q734	48
Haiti	0.0	Q790	49
Honduras	-28.5	Q783	50
India	-783.8	Q668	51
Indonesia	-172.8	Q252	52
Iran, Islamic Rep.	0.0	Q794	53
Jamaica	0.0	Q766	54
Jordan	12.9	Q810	55
Kazakhstan	0.0	Q232	56
Kenya	631.2	Q114	57
Kosovo	8.6	Q1246	58
Kyrgyz Republic	7.8	Q813	59
Lao PDR	18.9	Q819	60
Lebanon	0.0	Q822	61
Lesotho	24.6	Q1013	62
Liberia	69.3	Q1014	63
North Macedonia	-16.1	Q221	64
Madagascar	92.8	Q1019	65
Malawi	78.4	Q1020	66
Maldives	-2.7	Q826	67
Mali	149.3	Q912	68
Mauritania	2.0	Q1025	69
Mauritius	-0.6	Q1027	70
Mexico	0.0	Q96	71
Moldova	23.8	Q217	72
Mongolia	4.7	Q711	73
Montenegro	-8.1	Q236	74
Morocco	-1.0	Q1028	75
Mozambique	153.3	Q1029	76
Myanmar	180.7	Q836	77
Nepal	511.8	Q837	78
Nicaragua	43.9	Q811	79
Niger	140.7	Q1032	80
Nigeria	850.5	Q1033	81
Pakistan	129.6	Q843	82
Papua New Guinea	187.2	Q691	83
Paraguay	-0.9	Q733	84
Peru	0.0	Q419	85
Philippines	-17.2	Q928	86
Romania	0.0	Q218	87
Russian Federation	0.0	Q159	88
Rwanda	241.2	Q1037	89
Samoa	4.0	Q683	90
Sao Tome and Principe	-0.3	Q1039	91
Senegal	122.6	Q1041	92
Serbia	-67.7	Q403	93
Sierra Leone	15.7	Q1044	94
Solomon Islands	1.4	Q685	95
Somalia	0.0	Q1045	96
South Africa	0.0	Q258	97
Sri Lanka	17.6	Q854	98
St. Lucia	3.2	Q760	99
St. Vincent and the Grenadines	0.6	Q757	100
Sudan	20.4	Q1049	101
Eswatini	-0.1	Q1050	102
Syrian Arab Republic	0.0	Q858	103
Tajikistan	14.6	Q863	104
Tanzania	516.8	Q924	105
Thailand	0.0	Q869	106
Timor-Leste	2.9	Q574	107
Togo	17.3	Q945	108
Tonga	2.8	Q678	109
Tunisia	-1.4	Q948	110
Turkey	-3.0	Q43	111
Turkmenistan	0.0	Q874	112
Uganda	189.9	Q1036	113
Ukraine	0.0	Q212	114
Uzbekistan	656.8	Q265	115
Vanuatu	26.8	Q686	116
Venezuela, RB	0.0	Q717	117
Vietnam	485.8	Q881	118
Yemen, Rep.	-70.9	Q805	119
Zambia	132.1	Q953	120
Zimbabwe	0.0	Q954	121
