Country	Mammals	Birds	Fishes	Higherplants	ID	id_row
Afghanistan	11.0	16.0	4.0	5.0	Q889	0
Albania	3.0	8.0	44.0	4.0	Q222	1
Algeria	14.0	15.0	41.0	22.0	Q262	2
American Samoa	1.0	8.0	12.0	1.0	Q16641	3
Andorra	2.0	3.0	0.0	0.0	Q228	4
Angola	18.0	32.0	53.0	34.0	Q916	5
Antigua and Barbuda	2.0	3.0	31.0	4.0	Q781	6
Argentina	38.0	52.0	42.0	70.0	Q414	7
Armenia	9.0	14.0	3.0	74.0	Q399	8
Aruba	2.0	2.0	24.0	2.0	Q21203	9
Australia	63.0	52.0	125.0	108.0	Q408	10
Austria	3.0	13.0	11.0	17.0	Q40	11
Azerbaijan	8.0	17.0	14.0	44.0	Q227	12
Bahamas, The	5.0	10.0	43.0	7.0	Q778	13
Bahrain	3.0	7.0	14.0	0.0	Q398	14
Bangladesh	37.0	36.0	29.0	23.0	Q902	15
Barbados	3.0	4.0	29.0	3.0	Q244	16
Belarus	4.0	9.0	2.0	1.0	Q184	17
Belgium	2.0	8.0	13.0	0.0	Q31	18
Belize	10.0	6.0	45.0	46.0	Q242	19
Benin	13.0	12.0	40.0	20.0	Q962	20
Bermuda	4.0	3.0	27.0	8.0	Q23635	21
Bhutan	25.0	21.0	3.0	43.0	Q917	22
Bolivia	21.0	55.0	8.0	106.0	Q750	23
Bosnia and Herzegovina	4.0	7.0	36.0	3.0	Q225	24
Botswana	11.0	16.0	2.0	3.0	Q963	25
Brazil	80.0	175.0	93.0	558.0	Q155	26
Brunei Darussalam	33.0	31.0	14.0	127.0	Q921	27
Bulgaria	8.0	17.0	22.0	9.0	Q219	28
Burkina Faso	9.0	12.0	4.0	4.0	Q965	29
Burundi	14.0	15.0	17.0	89.0	Q967	30
Cabo Verde	4.0	7.0	35.0	51.0	Q1011	31
Cambodia	39.0	31.0	48.0	37.0	Q424	32
Cameroon	46.0	29.0	122.0	555.0	Q1009	33
Canada	18.0	24.0	44.0	18.0	Q16	34
Cayman Islands	1.0	3.0	31.0	22.0	Q5785	35
Central African Republic	16.0	16.0	3.0	26.0	Q929	36
Chad	16.0	16.0	1.0	6.0	Q657	37
Chile	19.0	35.0	27.0	73.0	Q298	38
China	73.0	96.0	136.0	593.0	Q148	39
Hong Kong SAR, China	4.0	21.0	15.0	10.0	Q8646	40
Macao SAR, China	0.0	4.0	9.0	0.0	Q14773	41
Colombia	58.0	126.0	99.0	268.0	Q739	42
Comoros	5.0	14.0	11.0	9.0	Q970	43
Congo, Dem. Rep.	32.0	42.0	94.0	148.0	Q974	44
Congo, Rep.	15.0	7.0	57.0	46.0	Q971	45
Costa Rica	11.0	27.0	64.0	143.0	Q800	46
Cote d'Ivoire	31.0	25.0	59.0	118.0	Q1008	47
