Country	Index	ID	id_row
Albania	5.8	Q222	0
Algeria	12.1	Q262	1
American Samoa	7.7	Q16641	2
Angola	23.4	Q916	3
Antigua and Barbuda	4.8	Q781	4
Argentina	32.3	Q414	5
Aruba	7.0	Q21203	6
Australia	33.0	Q408	7
Bahamas, The	27.9	Q778	8
Bahrain	28.5	Q398	9
Bangladesh	12.3	Q902	10
Barbados	9.1	Q244	11
Belgium	87.9	Q31	12
Belize	9.4	Q242	13
Benin	17.0	Q962	14
Bermuda	1.7	Q23635	15
Brazil	34.2	Q155	16
Brunei Darussalam	6.2	Q921	17
Bulgaria	6.7	Q219	18
Cabo Verde	5.2	Q1011	19
Cambodia	9.0	Q424	20
Cameroon	17.1	Q1009	21
Canada	44.0	Q16	22
Cayman Islands	1.7	Q5785	23
Chile	35.2	Q298	24
China	140.1	Q148	25
Hong Kong SAR, China	89.2	Q8646	26
Colombia	46.6	Q739	27
Comoros	5.8	Q970	28
Congo, Dem. Rep.	6.1	Q974	29
Congo, Rep.	24.2	Q971	30
Costa Rica	17.3	Q800	31
Cote d'Ivoire	18.8	Q1008	32
Croatia	30.4	Q224	33
Cuba	10.3	Q241	34
Curacao	8.2	Q25279	35
Cyprus	13.8	Q229	36
Denmark	45.7	Q35	37
Djibouti	28.5	Q977	38
Dominica	5.2	Q784	39
Dominican Republic	36.4	Q786	40
Ecuador	31.1	Q736	41
Egypt, Arab Rep.	54.0	Q79	42
El Salvador	9.3	Q792	43
Equatorial Guinea	11.2	Q983	44
Eritrea	2.8	Q986	45
Estonia	8.5	Q191	46
Faroe Islands	4.7	Q4628	47
Fiji	13.3	Q712	48
Finland	14.4	Q33	49
France	71.4	Q142	50
French Polynesia	13.5	Q30971	51
Gabon	13.3	Q1000	52
Gambia, The	6.1	Q1005	53
Georgia	6.0	Q230	54
Germany	83.5	Q183	55
Ghana	20.5	Q117	56
Greece	45.4	Q41	57
Greenland	2.1	Q223	58
Grenada	6.5	Q769	59
Guam	9.3	Q16635	60
Guatemala	21.9	Q774	61
Guinea	11.5	Q1006	62
Guinea-Bissau	6.0	Q1007	63
Guyana	9.9	Q734	64
Haiti	11.0	Q790	65
Honduras	14.4	Q783	66
Iceland	5.5	Q189	67
India	54.6	Q668	68
Indonesia	42.5	Q252	69
Iran, Islamic Rep.	36.8	Q794	70
Iraq	22.9	Q796	71
Ireland	11.5	Q27	72
Israel	37.4	Q801	73
Italy	65.0	Q38	74
Jamaica	31.1	Q766	75
Japan	69.3	Q17	76
Jordan	26.1	Q810	77
Kenya	16.0	Q114	78
Kiribati	5.8	Q710	79
Korea, Rep.	98.5	Q884	80
Kuwait	10.8	Q817	81
Latvia	6.8	Q211	82
Lebanon	39.1	Q822	83
Liberia	7.4	Q1014	84
Libya	11.6	Q1016	85
Lithuania	12.9	Q37	86
Madagascar	9.3	Q1019	87
Malaysia	90.7	Q833	88
Maldives	3.1	Q826	89
Malta	44.6	Q233	90
Marshall Islands	7.7	Q709	91
Mauritania	7.1	Q1025	92
Mauritius	28.7	Q1027	93
Mexico	44.0	Q96	94
Micronesia, Fed. Sts.	2.7	Q702	95
Moldova	0.7	Q217	96
Montenegro	5.3	Q236	97
Morocco	63.7	Q1028	98
Mozambique	11.1	Q1029	99
Myanmar	9.1	Q836	100
Namibia	16.0	Q1030	101
Netherlands	83.5	Q55	102
New Caledonia	14.5	Q33788	103
New Zealand	34.5	Q664	104
Nicaragua	8.4	Q811	105
Nigeria	22.6	Q1033	106
Northern Mariana Islands	7.8	Q16644	107
Norway	8.8	Q20	108
Oman	53.9	Q842	109
Pakistan	33.1	Q843	110
Palau	3.6	Q695	111
Panama	47.4	Q804	112
Papua New Guinea	13.2	Q691	113
Paraguay	0.9	Q733	114
Peru	37.7	Q419	115
Philippines	28.1	Q928	116
Poland	47.9	Q36	117
Portugal	46.9	Q45	118
Puerto Rico	11.5	Q1183	119
Qatar	26.6	Q846	120
Romania	26.8	Q218	121
Russian Federation	41.2	Q159	122
Samoa	6.7	Q683	123
Sao Tome and Principe	6.3	Q1039	124
Saudi Arabia	54.2	Q851	125
Senegal	17.2	Q1041	126
Seychelles	8.2	Q1042	127
Sierra Leone	8.2	Q1044	128
Singapore	102.4	Q334	129
Slovenia	31.8	Q215	130
Solomon Islands	10.7	Q685	131
Somalia	9.0	Q1045	132
South Africa	37.8	Q258	133
Spain	85.8	Q29	134
Sri Lanka	61.3	Q854	135
St. Kitts and Nevis	6.4	Q763	136
St. Lucia	7.1	Q760	137
St. Vincent and the Grenadines	7.9	Q757	138
Sudan	18.8	Q1049	139
Suriname	9.4	Q730	140
Sweden	48.8	Q34	141
Syrian Arab Republic	7.9	Q858	142
Tanzania	13.8	Q924	143
Thailand	42.4	Q869	144
Timor-Leste	2.9	Q574	145
Togo	29.2	Q945	146
Tonga	8.3	Q678	147
Trinidad and Tobago	13.3	Q754	148
Tunisia	8.7	Q948	149
Turkey	53.9	Q43	150
Turks and Caicos Islands	1.2	Q18221	151
Tuvalu	2.0	Q672	152
Ukraine	27.6	Q212	153
United Arab Emirates	67.9	Q878	154
United Kingdom	85.6	Q145	155
United States	90.0	Q30	156
Uruguay	29.4	Q77	157
Vanuatu	8.5	Q686	158
Venezuela, RB	12.0	Q717	159
Vietnam	57.6	Q881	160
Virgin Islands (U.S.)	9.2	Q11703	161
Yemen, Rep.	9.9	Q805	162
