Country	Currentpoints	ID	id_row
USA	832.9	Q30	0
Australia	714.5	Q408	1
Spain	692.2	Q29	2
Canada	649.3	Q16	3
France	640.8	Q142	4
Turkey	598.7	Q43	5
Belgium	585.7	Q31	6
Serbia	579.4	Q403	7
China	571.5	Q148	8
Japan	540.1	Q17	9
Belarus	475.1	Q184	10
Russia	400.9	Q159	11
Greece	368.0	Q41	12
Nigeria	366.6	Q1033	13
Brazil	365.9	Q155	14
Italy	345.4	Q38	15
Czech Republic	334.0	Q213	16
Great Britain	333.5	Q145	17
Korea	333.3	Q884	18
Sweden	315.0	Q34	19
Latvia	303.4	Q211	20
Puerto Rico	302.9	Q1183	21
Montenegro	298.7	Q236	22
Slovakia	275.2	Q214	23
Cuba	271.6	Q241	24
Ukraine	270.5	Q212	25
Argentina	267.4	Q414	26
Senegal	259.3	Q1041	27
Hungary	257.9	Q28	28
Croatia	233.7	Q224	29
Lithuania	233.1	Q37	30
Slovenia	232.6	Q215	31
Chinese Taipei	181.1	Q1867	32
New Zealand	171.1	Q664	33
Poland	167.9	Q36	34
Mozambique	153.1	Q1029	35
Colombia	151.9	Q739	36
Germany	149.8	Q183	37
Bosnia and Herzegovina	149.2	Q225	38
Dominican Republic	148.6	Q786	39
Angola	148.1	Q916	40
Israel	147.6	Q801	41
Mexico	147.5	Q96	42
Romania	138.1	Q218	43
Mali	137.6	Q912	44
Netherlands	136.5	Q55	45
Portugal	130.9	Q45	46
US Virgin Islands	128.3	Q11703	47
Philippines	125.0	Q928	48
Bulgaria	124.9	Q219	49
Lebanon	123.8	Q822	50
Venezuela	123.0	Q717	51
Egypt	122.9	Q79	52
Malta	116.2	Q233	53
Cameroon	112.0	Q1009	54
Denmark	111.8	Q35	55
Cote d'Ivoire	109.3	Q1008	56
Austria	107.4	Q40	57
Jamaica	107.2	Q766	58
Estonia	106.2	Q191	59
Kazakhstan	105.0	Q232	60
Paraguay	104.0	Q733	61
Bahamas	102.3	Q778	62
Iceland	99.8	Q189	63
Switzerland	98.1	Q39	64
Finland	97.5	Q33	65
Malaysia	93.6	Q833	66
Luxembourg	92.4	Q32	67
India	92.0	Q668	68
Ireland	91.9	Q27	69
Chile	90.5	Q298	70
Congo DR	90.4	Q974	71
Iran	88.3	Q794	72
Indonesia	85.0	Q252	73
Korea DPR	84.3	Q423	74
Ecuador	82.9	Q736	75
Kenya	80.8	Q114	76
Singapore	80.1	Q334	77
North Macedonia	79.4	Q221	78
Gabon	79.4	Q1000	79
Cyprus	79.2	Q229	80
Uganda	77.4	Q1036	81
Syria	77.1	Q858	82
Barbados	76.3	Q244	83
Moldova	75.6	Q217	84
Norway	75.3	Q20	85
Uzbekistan	74.4	Q265	86
St.Vincent and the Grenadines	73.8	Q757	87
Thailand	73.2	Q869	88
El Salvador	72.7	Q792	89
Tunisia	72.6	Q948	90
Cape Verde	70.7	Q1011	91
Azerbaijan	70.7	Q227	92
Algeria	70.5	Q262	93
Costa Rica	68.2	Q800	94
Honduras	68.2	Q783	95
Antigua & Barbuda	68.0	Q781	96
Albania	66.6	Q222	97
Trinidad and Tobago	64.6	Q754	98
Guatemala	64.5	Q774	99
Rwanda	61.8	Q1037	100
Guinea	61.3	Q1006	101
Andorra	60.0	Q228	102
Panama	59.2	Q804	103
British Virgin Islands	58.1	Q25305	104
Gibraltar	57.6	Q1410	105
South Africa	56.9	Q258	106
Zimbabwe	54.9	Q954	107
Hong Kong	54.4	Q8646	108
Uruguay	50.3	Q77	109
Peru	47.4	Q419	110
Burundi	47.2	Q967	111
Suriname	46.0	Q730	112
Fiji	44.2	Q712	113
Central African Rep.	43.1	Q929	114
Morocco	42.0	Q1028	115
Benin	40.3	Q962	116
Sri Lanka	40.1	Q854	117
Jordan	37.9	Q810	118
Guyana	37.2	Q734	119
Nicaragua	35.8	Q811	120
Botswana	29.2	Q963	121
Burkina Faso	20.9	Q965	122
Tanzania	19.9	Q924	123
