Country	billions	percapita	ID	id_row
Kuwait	141.9	34.29	Q817	94
Kyrgyz Republic	8.0	1.24	Q813	95
Lao PDR	18.4	2.57	Q819	96
Latvia	33.9	17.73	Q211	97
Lebanon	52.1	7.6	Q822	98
Lesotho	2.9	1.36	Q1013	99
Liberia	2.9	580.0	Q1014	100
Libya	51.8	7.64	Q1016	101
Lithuania	52.9	18.99	Q37	102
Luxembourg	45.8	73.91	Q32	103
Madagascar	14.1	520.0	Q1019	104
Malawi	7.2	380.0	Q1020	105
Malaysia	358.0	11.2	Q833	106
Maldives	5.1	9.65	Q826	107
Mali	17.3	880.0	Q912	108
Malta	13.7	27.29	Q233	109
Marshall Islands	0.3	4.86	Q709	110
Mauritania	7.5	1.66	Q1025	111
Mauritius	16.1	12.74	Q1027	112
Mexico	1203.6	9.43	Q96	113
Micronesia, Fed. Sts.	0.4	3.4	Q702	114
Moldova	10.6	3.93	Q217	115
Mongolia	12.2	3.78	Q711	116
Montenegro	5.6	9.01	Q236	117
Morocco	118.1	3.19	Q1028	118
Mozambique	14.5	480.0	Q1029	119
Myanmar	75.2	1.39	Q836	120
Namibia	12.6	5.06	Q1030	121
Nauru	0.2	14.23	Q697	122
Nepal	31.1	1.09	Q837	123
Netherlands	922.1	53.2	Q55	124
New Zealand	209.8	42.67	Q664	125
Nicaragua	12.5	1.91	Q811	126
Niger	13.1	560.0	Q1032	127
Nigeria	407.9	2.03	Q1033	128
North Macedonia	12.3	5.91	Q221	129
Norway	441.2	82.5	Q20	130
Oman	76.3	15.33	Q842	131
Pakistan	331.6	1.53	Q843	132
Palau	0.3	17.28	Q695	133
Panama	63.5	14.95	Q804	134
Papua New Guinea	24.4	2.78	Q691	135
Paraguay	38.8	5.51	Q733	136
Peru	219.2	6.74	Q419	137
Philippines	415.8	3.85	Q928	138
Poland	577.3	15.2	Q36	139
Portugal	237.0	23.08	Q45	140
Puerto Rico	70.2	21.97	Q1183	141
Qatar	179.6	63.41	Q846	142
Romania	244.5	12.63	Q218	143
