Country	Mostrecentyear	Tariff	ID	id_row
Albania	2017	100.0	Q222	0
Angola	2016	100.0	Q916	1
Antigua and Barbuda	2017	97.5	Q781	2
Argentina	2017	100.0	Q414	3
Armenia	2017	100.0	Q399	4
Australia	2017	97.2	Q408	5
Austria	2017	100.0	Q40	6
Bahrain	2017	72.2	Q398	7
Bangladesh	2016	17.2	Q902	8
Barbados	2013	97.5	Q244	9
Belgium	2017	100.0	Q31	10
Belize	2017	96.6	Q242	11
Benin	2017	39.8	Q962	12
Bolivia	2017	100.0	Q750	13
Botswana	2017	94.4	Q963	14
Brazil	2017	100.0	Q155	15
Brunei Darussalam	2017	95.5	Q921	16
Bulgaria	2017	100.0	Q219	17
Burkina Faso	2017	39.8	Q965	18
Burundi	2016	22.9	Q967	19
Cabo Verde	2015	100.0	Q1011	20
Cambodia	2016	100.0	Q424	21
Cameroon	2014	14.4	Q1009	22
Canada	2017	99.7	Q16	23
Central African Republic	2017	61.5	Q929	24
Chad	2016	13.6	Q657	25
Chile	2017	100.0	Q298	26
China	2017	100.0	Q148	27
Hong Kong SAR, China	2017	49.8	Q8646	28
Macao SAR, China	2017	28.1	Q14773	29
Colombia	2017	100.0	Q739	30
Congo, Dem. Rep.	2014	100.0	Q974	31
Congo, Rep.	2015	17.2	Q971	32
Costa Rica	2016	100.0	Q800	33
Cote d'Ivoire	2017	34.2	Q1008	34
Croatia	2017	100.0	Q224	35
Cuba	2017	32.4	Q241	36
Czech Republic	2017	100.0	Q213	37
Denmark	2017	100.0	Q35	38
Djibouti	2014	100.0	Q977	39
Dominica	2017	94.3	Q784	40
Dominican Republic	2017	100.0	Q786	41
Ecuador	2017	94.4	Q736	42
Egypt, Arab Rep.	2017	99.4	Q79	43
El Salvador	2017	100.0	Q792	44
Estonia	2017	100.0	Q191	45
Fiji	2017	51.5	Q712	46
Finland	2017	100.0	Q33	47
France	2017	100.0	Q142	48
Gabon	2016	96.9	Q1000	49
Gambia, The	2013	13.9	Q1005	50
Georgia	2016	100.0	Q230	51
Germany	2017	100.0	Q183	52
Ghana	2017	15.4	Q117	53
Greece	2017	100.0	Q41	54
Grenada	2016	100.0	Q769	55
Guatemala	2015	100.0	Q774	56
Guinea	2017	39.4	Q1006	57
Guinea-Bissau	2017	97.7	Q1007	58
Guyana	2017	100.0	Q734	59
Haiti	2016	88.1	Q790	60
Honduras	2015	100.0	Q783	61
Hungary	2017	100.0	Q28	62
Iceland	2017	95.3	Q189	63
India	2017	74.4	Q668	64
Indonesia	2017	96.5	Q252	65
Ireland	2017	100.0	Q27	66
Israel	2017	75.8	Q801	67
Italy	2017	100.0	Q38	68
Jamaica	2016	100.0	Q766	69
Japan	2017	99.7	Q17	70
Jordan	2017	100.0	Q810	71
Kazakhstan	2017	100.0	Q232	72
Kenya	2016	16.5	Q114	73
Korea, Rep.	2017	94.5	Q884	74
Kuwait	2017	99.9	Q817	75
Kyrgyz Republic	2017	99.9	Q813	76
Lao PDR	2017	100.0	Q819	77
Latvia	2017	100.0	Q211	78
Lesotho	2017	100.0	Q1013	79
Liechtenstein	2017	0.0	Q347	80
Lithuania	2017	100.0	Q37	81
Luxembourg	2017	100.0	Q32	82
North Macedonia	2017	100.0	Q221	83
Madagascar	2017	30.7	Q1019	84
Malawi	2016	34.0	Q1020	85
Malaysia	2016	83.6	Q833	86
Maldives	2017	95.1	Q826	87
Mali	2017	40.6	Q912	88
Malta	2017	100.0	Q233	89
Mauritania	2015	40.6	Q1025	90
Mauritius	2017	21.4	Q1027	91
Mexico	2017	100.0	Q96	92
Moldova	2016	100.0	Q217	93
Mongolia	2017	100.0	Q711	94
Montenegro	2017	0.0	Q236	95
Morocco	2017	100.0	Q1028	96
Mozambique	2016	13.8	Q1029	97
Myanmar	2015	18.8	Q836	98
Namibia	2017	94.4	Q1030	99
Nepal	2016	99.4	Q837	100
Netherlands	2017	100.0	Q55	101
New Zealand	2017	100.0	Q664	102
Nicaragua	2017	100.0	Q811	103
Niger	2017	96.8	Q1032	104
Nigeria	2016	20.1	Q1033	105
Norway	2017	100.0	Q20	106
Oman	2017	100.0	Q842	107
Pakistan	2016	98.7	Q843	108
Panama	2015	93.9	Q804	109
Papua New Guinea	2013	100.0	Q691	110
Paraguay	2017	100.0	Q733	111
Peru	2017	100.0	Q419	112
Philippines	2017	61.9	Q928	113
Poland	2017	100.0	Q36	114
Portugal	2017	100.0	Q45	115
Qatar	2017	100.0	Q846	116
Romania	2017	100.0	Q218	117
Russian Federation	2017	100.0	Q159	118
Rwanda	2016	100.0	Q1037	119
Samoa	2017	100.0	Q683	120
Saudi Arabia	2017	100.0	Q851	121
Senegal	2017	100.0	Q1041	122
Seychelles	2017	100.0	Q1042	123
Sierra Leone	2012	100.0	Q1044	124
Singapore	2017	72.2	Q334	125
Slovak Republic	2017	100.0	Q214	126
Slovenia	2017	100.0	Q215	127
Solomon Islands	2017	100.0	Q685	128
South Africa	2017	94.4	Q258	129
Spain	2017	100.0	Q29	130
Sri Lanka	2017	40.5	Q854	131
St. Kitts and Nevis	2017	97.5	Q763	132
St. Lucia	2016	99.8	Q760	133
St. Vincent and the Grenadines	2017	99.7	Q757	134
Suriname	2013	27.5	Q730	135
Eswatini	2017	90.9	Q1050	136
Sweden	2017	100.0	Q34	137
Switzerland	2017	99.7	Q39	138
Tajikistan	2017	100.0	Q863	139
Tanzania	2016	14.5	Q924	140
Thailand	2015	76.5	Q869	141
Togo	2017	15.2	Q945	142
Tonga	2017	100.0	Q678	143
Trinidad and Tobago	2013	100.0	Q754	144
Tunisia	2016	58.3	Q948	145
Turkey	2017	51.8	Q43	146
Uganda	2016	17.0	Q1036	147
Ukraine	2017	100.0	Q212	148
United Arab Emirates	2017	100.0	Q878	149
United Kingdom	2017	100.0	Q145	150
United States	2017	100.0	Q30	151
Uruguay	2017	100.0	Q77	152
Vanuatu	2017	100.0	Q686	153
Venezuela, RB	2017	100.0	Q717	154
Vietnam	2017	93.8	Q881	155
Yemen, Rep.	2017	100.0	Q805	156
Zambia	2016	17.8	Q953	157
Zimbabwe	2016	24.4	Q954	158
