Country	_2000	_2018	ID	id_row
Afghanistan	22.9	21.0	Q889	0
Albania	24.7	24.5	Q222	1
Algeria	47.6	45.2	Q262	2
Angola	6.2	16.2	Q916	3
Argentina	36.2	28.2	Q414	4
Armenia	14.9	44.6	Q399	5
Australia	11.2	10.7	Q408	6
Austria	5.6	9.4	Q40	7
Azerbaijan	21.2	15.3	Q227	8
Bahamas, The	19.1	28.1	Q778	9
Bahrain	11.6	10.9	Q398	10
Bangladesh	10.4	16.5	Q902	11
Barbados	24.1	30.2	Q244	12
Belarus	18.4	8.4	Q184	13
Belgium	18.3	15.3	Q31	14
Belize	33.5	25.4	Q242	15
Benin	0.7	5.1	Q962	16
Bhutan	6.1	12.0	Q917	17
Bolivia	8.1	7.0	Q750	18
Bosnia and Herzegovina	58.2	45.7	Q225	19
Botswana	35.9	42.9	Q963	20
Brazil	23.4	32.3	Q155	21
Brunei Darussalam	20.9	29.7	Q921	22
Bulgaria	29.6	11.9	Q219	23
Burkina Faso	3.4	12.1	Q965	24
Burundi	2.1	1.7	Q967	25
Cabo Verde	24.0	31.6	Q1011	26
Cambodia	2.2	1.1	Q424	27
Cameroon	10.2	6.3	Q1009	28
Canada	11.4	9.6	Q16	29
Central African Republic	6.0	5.4	Q929	30
Chad	1.0	2.6	Q657	31
Channel Islands	16.3	15.3	Q42314	32
Chile	30.8	20.0	Q298	33
China	6.0	9.1	Q148	34
Colombia	44.5	24.4	Q739	35
Comoros	8.5	8.5	Q970	36
Congo, Dem. Rep.	3.7	6.1	Q974	37
Congo, Rep.	38.8	21.0	Q971	38
Costa Rica	14.5	32.2	Q800	39
Cote d'Ivoire	5.6	6.1	Q1008	40
Croatia	41.3	29.4	Q224	41
Cuba	11.9	4.2	Q241	42
Cyprus	13.6	15.7	Q229	43
Czech Republic	16.5	7.2	Q213	44
Denmark	7.0	8.2	Q35	45
Djibouti	16.9	20.1	Q977	46
Dominican Republic	20.7	19.7	Q786	47
Ecuador	12.6	10.4	Q736	48
Egypt, Arab Rep.	45.2	40.0	Q79	49
El Salvador	8.2	11.6	Q792	50
Equatorial Guinea	12.1	11.5	Q983	51
Eritrea	8.2	8.3	Q986	52
Estonia	19.6	11.4	Q191	53
Eswatini	54.3	49.0	Q1050	54
Ethiopia	6.8	4.2	Q115	55
Fiji	14.3	22.4	Q712	56
Finland	30.9	16.8	Q33	57
France	22.5	19.9	Q142	58
French Polynesia	39.7	42.1	Q30971	59
Gabon	42.5	42.1	Q1000	60
