Country	Male	Female	ID	id_row
Antigua and Barbuda	96.4	98.7	Q781	0
Armenia	91.0	90.7	Q399	1
Australia	96.1	96.9	Q408	2
Austria	88.1	89.7	Q40	3
Azerbaijan	92.8	92.4	Q227	4
Bahamas, The	73.5	75.3	Q778	5
Bahrain	99.0	97.2	Q398	6
Barbados	99.2	97.5	Q244	7
Belarus	95.3	95.1	Q184	8
Belgium	99.0	99.2	Q31	9
Bhutan	89.4	90.8	Q917	10
Bolivia	93.3	93.1	Q750	11
Bulgaria	88.0	88.1	Q219	12
Burkina Faso	80.2	78.4	Q965	13
Burundi	92.0	94.8	Q967	14
Cabo Verde	94.4	92.6	Q1011	15
Cambodia	90.7	90.6	Q424	16
Cameroon	97.0	88.7	Q1009	17
Chad	82.6	64.3	Q657	18
Chile	94.8	94.8	Q298	19
Macao SAR, China	96.4	96.4	Q14773	20
Colombia	97.3	98.2	Q739	21
Comoros	81.8	81.7	Q970	22
Costa Rica	96.6	96.5	Q800	23
Cote d'Ivoire	97.6	89.7	Q1008	24
Cuba	98.0	97.7	Q241	25
Cyprus	97.4	98.2	Q229	26
Djibouti	61.4	62.9	Q977	27
Dominican Republic	93.7	94.1	Q786	28
El Salvador	81.1	82.1	Q792	29
Eritrea	54.2	49.4	Q986	30
Estonia	93.4	94.6	Q191	31
Eswatini	82.7	82.5	Q1050	32
Finland	98.6	98.8	Q33	33
France	99.1	99.7	Q142	34
Gambia, The	78.0	85.7	Q1005	35
Georgia	97.7	98.3	Q230	36
Germany	89.8	91.5	Q183	37
Ghana	84.4	85.6	Q117	38
Greece	98.0	98.5	Q41	39
Guatemala	88.9	89.5	Q774	40
Guinea	85.4	70.6	Q1006	41
Honduras	79.6	81.4	Q783	42
Hungary	96.4	96.6	Q28	43
Iceland	99.6	99.5	Q189	44
Indonesia	96.6	92.0	Q252	45
Italy	97.3	97.1	Q38	46
Jamaica	81.0	81.8	Q766	47
Jordan	81.6	80.3	Q810	48
Korea, Rep.	97.6	97.5	Q884	49
Kuwait	84.1	93.0	Q817	50
Lao PDR	92.3	90.6	Q819	51
Latvia	96.4	97.8	Q211	52
Lesotho	90.5	91.9	Q1013	53
Liberia	44.4	44.7	Q1014	54
Maldives	94.5	96.4	Q826	55
Mali	62.0	55.8	Q912	56
Marshall Islands	72.9	76.2	Q709	57
Mauritania	79.2	81.4	Q1025	58
Moldova	89.5	90.1	Q217	59
Montenegro	95.8	96.6	Q236	60
Morocco	96.9	97.0	Q1028	61
Mozambique	95.4	92.5	Q1029	62
Netherlands	98.6	99.5	Q55	63
New Zealand	98.2	98.9	Q664	64
Niger	71.3	58.3	Q1032	65
North Macedonia	95.7	95.8	Q221	66
Pakistan	73.9	62.1	Q843	67
Panama	87.1	86.5	Q804	68
Papua New Guinea	78.1	72.8	Q691	69
Philippines	94.9	95.2	Q928	70
Poland	97.0	97.3	Q36	71
Portugal	98.1	97.4	Q45	72
Puerto Rico	77.3	80.4	Q1183	73
Qatar	97.0	99.5	Q846	74
Romania	85.6	85.8	Q218	75
Russian Federation	96.7	98.0	Q159	76
Rwanda	95.0	95.5	Q1037	77
Sao Tome and Principe	94.0	94.0	Q1039	78
Saudi Arabia	95.2	95.0	Q851	79
Senegal	72.3	80.8	Q1041	80
Serbia	98.0	98.4	Q403	81
Slovak Republic	82.2	84.2	Q214	82
Solomon Islands	67.1	67.8	Q685	83
South Africa	90.3	94.7	Q258	84
Spain	97.0	97.7	Q29	85
St. Lucia	97.1	99.5	Q760	86
Sudan	62.4	61.0	Q1049	87
Suriname	84.4	87.7	Q730	88
Tajikistan	98.3	97.1	Q863	89
Tanzania	80.6	84.1	Q924	90
Timor-Leste	94.1	96.7	Q574	91
Togo	97.2	92.2	Q945	92
Turkey	95.2	94.5	Q43	93
Tuvalu	91.3	84.3	Q672	94
United Kingdom	99.7	99.4	Q145	95
United States	95.6	95.5	Q30	96
Venezuela, RB	89.6	89.7	Q717	97
West Bank and Gaza	97.0	97.3	Q407199	98
Yemen, Rep.	89.7	78.9	Q805	99
Zambia	83.2	87.0	Q953	100
