Country	Averageconnectionspeed	ID	id_row
South Korea	52.4	Q884	0
Norway	48.2	Q20	1
Canada	42.5	Q16	2
Netherlands	42.4	Q55	3
Singapore	39.3	Q334	4
Australia	37.4	Q408	5
Switzerland	35.2	Q39	6
Denmark	34.6	Q35	7
Belgium	34.2	Q31	8
Japan	33.0	Q17	9
Hungary	32.7	Q28	10
Czech Republic	31.5	Q213	11
Sweden	30.8	Q34	12
Austria	27.5	Q40	13
New Zealand	27.3	Q664	14
Finland	27.0	Q33	15
Croatia	26.7	Q224	16
Taiwan	26.6	Q865	17
France	25.2	Q142	18
Spain	24.8	Q29	19
Qatar	24.6	Q846	20
Greece	23.8	Q41	21
Slovakia	23.3	Q214	22
Germany	22.6	Q183	23
Bulgaria	22.5	Q219	24
United Kingdom	21.7	Q145	25
Portugal	21.6	Q45	26
Serbia	21.5	Q403	27
Albania	21.4	Q222	28
United States	21.3	Q30	29
Romania	20.6	Q218	30
Oman	20.3	Q842	31
United Arab Emirates	19.9	Q878	32
Italy	19.9	Q38	33
Poland	17.3	Q36	34
Turkey	17.1	Q43	35
Lebanon	16.9	Q822	36
Hong Kong	16.7	Q8646	37
Ireland	16.2	Q27	38
Kuwait	16.2	Q817	39
Myanmar	16.0	Q836	40
South Africa	15.0	Q258	41
Mexico	14.9	Q96	42
Vietnam	14.1	Q881	43
Bahrain	13.9	Q398	44
Israel	13.6	Q801	45
Saudi Arabia	13.6	Q851	46
Tunisia	13.4	Q948	47
Azerbaijan	13.4	Q227	48
Brazil	13.0	Q155	49
Argentina	12.8	Q414	50
Bolivia	12.5	Q750	51
Chile	12.0	Q298	52
Russia	12.0	Q159	53
Peru	11.7	Q419	54
Malaysia	11.5	Q833	55
Kazakhstan	11.4	Q232	56
Ukraine	11.2	Q212	57
Morocco	11.2	Q1028	58
Guatemala	10.8	Q774	59
Sri Lanka	10.7	Q854	60
Paraguay	10.6	Q733	61
Ecuador	10.5	Q736	62
Jordan	10.4	Q810	63
Costa Rica	10.1	Q800	64
Kenya	10.1	Q114	65
Colombia	10.0	Q739	66
Egypt	8.6	Q79	67
Dominican Republic	8.5	Q786	68
Belarus	7.7	Q184	69
Panama	7.2	Q804	70
Philippines	7.0	Q928	71
Indonesia	6.9	Q252	72
India	6.8	Q668	73
Ivory Coast	6.7	Q1008	74
Pakistan	6.2	Q843	75
Thailand	5.7	Q869	76
Bangladesh	5.7	Q902	77
Cambodia	5.6	Q424	78
Nigeria	5.4	Q1033	79
El Salvador	5.4	Q792	80
Senegal	5.1	Q1041	81
Ghana	5.1	Q117	82
Uzbekistan	5.0	Q265	83
Nepal	4.4	Q837	84
Algeria	3.1	Q262	85
Iraq	1.6	Q796	86
