Pakistan	90.0	118.4	Q843	136
Panama	95.8	88.0	Q804	137
Papua New Guinea	96.0	124.0	Q691	138
Paraguay	70.5	180.9	Q733	139
Peru	88.2	146.3	Q419	140
Philippines	86.4	109.6	Q928	141
Poland	108.5	118.6	Q36	142
Portugal	94.3	111.1	Q45	143
Puerto Rico	101.4	95.4	Q1183	144
Qatar	126.7	129.7	Q846	145
Romania	70.1	101.3	Q218	146
Russian Federation	82.3	160.6	Q159	147
Rwanda	84.7	140.7	Q1037	148
Samoa	92.0	119.2	Q683	149
Sao Tome and Principe	99.4	110.6	Q1039	150
Saudi Arabia	75.8	77.5	Q851	151
Senegal	110.5	155.5	Q1041	152
Seychelles	112.0	94.3	Q1042	153
Sierra Leone	42.2	196.2	Q1044	154
Singapore	58.6	133.0	Q334	155
Slovak Republic	81.0	118.8	Q214	156
Slovenia	102.4	86.3	Q215	157
Solomon Islands	81.0	112.9	Q685	158
Somalia	94.8	91.2	Q1045	159
South Africa	102.7	104.8	Q258	160
Spain	102.5	108.7	Q29	161
Sri Lanka	96.4	130.8	Q854	162
St. Kitts and Nevis	143.4	30.5	Q763	163
St. Lucia	154.8	45.3	Q760	164
St. Vincent and the Grenadines	83.6	111.3	Q757	165
Suriname	96.0	153.0	Q730	166
Sweden	105.6	115.0	Q34	167
Switzerland	118.0	91.8	Q39	168
Syrian Arab Republic	81.3	78.0	Q858	169
Tajikistan	66.7	160.5	Q863	170
Tanzania	66.7	174.8	Q924	171
Thailand	90.1	115.7	Q869	172
Timor-Leste	88.3	110.0	Q574	173
Togo	90.2	140.9	Q945	174
Tonga	94.0	142.3	Q678	175
Trinidad and Tobago	132.3	60.2	Q754	176
Tunisia	78.8	112.4	Q948	177
Turkey	95.5	119.3	Q43	178
Turkmenistan	71.0	83.2	Q874	179
Tuvalu	93.7	113.0	Q672	180
Uganda	92.6	81.6	Q1036	181
Ukraine	76.4	192.2	Q212	182
United Arab Emirates	200.8	83.0	Q878	183
United Kingdom	105.5	98.1	Q145	184
United States	94.6	122.2	Q30	185
Uruguay	70.1	155.9	Q77	186
Uzbekistan	76.5	167.1	Q265	187
Vanuatu	96.7	128.1	Q686	188
Venezuela, RB	97.7	78.5	Q717	189
Vietnam	80.2	135.1	Q881	190
West Bank and Gaza	106.3	86.8	Q407199	191
Yemen, Rep.	84.4	129.0	Q805	192
Zambia	72.0	171.4	Q953	193
Zimbabwe	125.7	95.6	Q954	194
