Country	Index	ID	id_row
French Guiana	174.0	Q3769	0
Western Sahara	175.0	Q6250	1
Botswana	181.0	Q963	2
Central African Republic	193.0	Q929	3
Namibia	200.0	Q1030	4
Zimbabwe	200.0	Q954	5
Guyana	207.0	Q734	6
Mongolia	208.0	Q711	7
Niger	208.0	Q1032	8
Djibouti	210.0	Q977	9
Zambia	210.0	Q953	10
Gabon	211.0	Q1000	11
Suriname	211.0	Q730	12
Kazakhstan	215.0	Q232	13
Mali	215.0	Q912	14
Svalbard	215.0	Q25231	15
Chad	217.0	Q657	16
Congo	219.0	Q971	17
Falkland Islands	223.0	Q9648	18
Mozambique	225.0	Q1029	19
Angola	227.0	Q916	20
Cameroon	229.0	Q1009	21
Burkina Faso	229.0	Q965	22
Qatar	229.0	Q846	23
Mauritania	233.0	Q1025	24
Kyrgyzstan	234.0	Q813	25
Antarctica	235.0	Q51	26
Australia	238.0	Q408	27
Belarus	239.0	Q184	28
Equatorial Guinea	243.0	Q983	29
Greenland	243.0	Q223	30
Laos	243.0	Q819	31
Swaziland	243.0	Q1050	32
South Georgia and the South Sandwich Islands	245.0	Q35086	33
Panama	247.0	Q804	34
Armenia	247.0	Q399	35
Bahamas	248.0	Q778	36
Cote d'Ivoire	248.0	Q1008	37
Turkmenistan	249.0	Q874	38
Malawi	249.0	Q1020	39
Oman	250.0	Q842	40
Bolivia	250.0	Q750	41
Canada	251.0	Q16	42
Papua New Guinea	251.0	Q691	43
Bhutan	253.0	Q917	44
Eritrea	254.0	Q986	45
Guinea	254.0	Q1006	46
Libya	256.0	Q1016	47
Andorra	257.0	Q228	48
Tanzania	257.0	Q924	49
Belize	258.0	Q242	50
Uruguay	259.0	Q77	51
Ethiopia	260.0	Q115	52
Paraguay	260.0	Q733	53
Georgia	261.0	Q230	54
Kenya	262.0	Q114	55
Finland	265.0	Q33	56
São Tomé and Príncipe	265.0	Q1039	57
Somalia	265.0	Q1045	58
Peru	268.0	Q419	59
Cambodia	270.0	Q424	60
Latvia	270.0	Q211	61
Myanmar	270.0	Q836	62
Bouvet Island	271.0	Q23408	63
Guinea-Bissau	271.0	Q1007	64
Liberia	271.0	Q1014	65
Tajikistan	271.0	Q863	66
Nicaragua	272.0	Q811	67
Honduras	273.0	Q783	68
Norway	273.0	Q20	69
Russia	273.0	Q159	70
Saudi Arabia	274.0	Q851	71
Sudan	274.0	Q1049	72
Algeria	275.0	Q262	73
Comoros	277.0	Q970	74
Gambia	277.0	Q1005	75
Senegal	277.0	Q1041	76
Benin	278.0	Q962	77
Ghana	279.0	Q117	78
Madagascar	279.0	Q1019	79
Saint Helena	279.0	Q192184	80
Lesotho	280.0	Q1013	81
Estonia	280.0	Q191	82
Morocco	281.0	Q1028	83
Solomon Islands	281.0	Q685	84
Cape Verde	282.0	Q1011	85
Sierra Leone	283.0	Q1044	86
Uganda	283.0	Q1036	87
Cocos (Keeling) Islands	285.0	Q36004	88
Vanuatu	285.0	Q686	89
Uzbekistan	286.0	Q265	90
Argentina	287.0	Q414	91
Chile	287.0	Q298	92
Burundi	288.0	Q967	93
Democratic Republic of the Congo	288.0	Q974	94
Afghanistan	289.0	Q889	95
Yemen	289.0	Q805	96
New Caledonia	290.0	Q33788	97
Aruba	291.0	Q21203	98
Venezuela	291.0	Q717	99
New Zealand	292.0	Q664	100
Turks and Caicos Islands	292.0	Q18221	101
Togo	293.0	Q945	102
United Arab Emirates	293.0	Q878	103
Vatican City	293.0	Q237	104
Heard Island and McDonald Islands	294.0	Q131198	105
British Indian Ocean Territory	295.0	Q43448	106
Colombia	296.0	Q739	107
Faroe Islands	296.0	Q4628	108
Saint Pierre and Miquelon	296.0	Q34617	109
Egypt	298.0	Q79	110
Iceland	298.0	Q189	111
Rwanda	298.0	Q1037	112
Jan Mayen	300.0	Q14056	113
United States	300.0	Q30	114
Slovakia	303.0	Q214	115
Ecuador	304.0	Q736	116
Mayotte	304.0	Q17063	117
Pitcairn	304.0	Q35672	118
Wallis and Futuna	304.0	Q35555	119
Nepal	305.0	Q837	120
San Marino	305.0	Q238	121
Bosnia & Herzegovina	306.0	Q225	122
Mexico	306.0	Q96	123
Tunisia	306.0	Q948	124
Antigua & Barbuda	307.0	Q781	125
Thailand	308.0	Q869	126
Hong Kong	309.0	Q8646	127
Niue	309.0	Q34020	128
Jordan	310.0	Q810	129
