Country	Investment201014	Investment201519	ID	id_row
Albania	51.3	284.6	Q222	0
Brazil	77095.2	7002.9	Q155	1
China	12459.9	61751.1	Q148	2
Colombia	9682.9	15702.9	Q739	3
Cote d'Ivoire	285.0	471.3	Q1008	4
Honduras	1171.8	87.9	Q783	5
India	63265.2	23794.8	Q668	6
Indonesia	2662.0	9365.4	Q252	7
Jamaica	937.0	562.0	Q766	8
Malaysia	634.3	1543.0	Q833	9
Mexico	9791.6	3066.1	Q96	10
Nigeria	3159.4	1050.0	Q1033	11
Pakistan	1200.0	240.0	Q843	12
Peru	4144.6	7646.0	Q419	13
Philippines	1646.5	5282.6	Q928	14
Romania	2.5	50.4	Q218	15
Russian Federation	12867.5	8919.1	Q159	16
Senegal	862.0	173.0	Q1041	17
Somalia	10.0	442.0	Q1045	18
South Africa	97.0	13.5	Q258	19
Sri Lanka	500.0	120.0	Q854	20
Turkey	11269.5	52035.8	Q43	21
Vietnam	430.5	1029.6	Q881	22
