Country	imports2010	imports2019	ID	id_row
Afghanistan	20.9	13.9	Q889	0
Albania	13.8	4.5	Q222	1
Algeria	2.1	4.2	Q262	2
Andorra	10.1	8.4	Q228	3
Angola	17.2	15.1	Q916	4
Antigua and Barbuda	0.5	0.6	Q781	5
Argentina	7.9	8.6	Q414	6
Armenia	18.0	15.5	Q399	7
Aruba	6.5	6.2	Q21203	8
Australia	14.0	13.6	Q408	9
Austria	11.0	8.3	Q40	10
Azerbaijan	1.2	7.2	Q227	11
Bahrain	38.0	30.2	Q398	12
Barbados	1.7	23.2	Q244	13
Belarus	34.7	28.9	Q184	14
Belgium	13.8	11.4	Q31	15
Belize	16.4	15.1	Q242	16
Benin	19.6	18.4	Q962	17
Bermuda	10.1	12.2	Q23635	18
Bolivia	12.4	13.9	Q750	19
Bosnia and Herzegovina	19.4	14.0	Q225	20
Botswana	14.7	12.5	Q963	21
Brazil	16.4	14.1	Q155	22
Brunei Darussalam	5.1	6.6	Q921	23
Bulgaria	22.2	13.4	Q219	24
Burkina Faso	22.0	27.2	Q965	25
Burundi	2.1	19.5	Q967	26
Cabo Verde	11.9	12.0	Q1011	27
Cambodia	7.3	11.9	Q424	28
Cameroon	27.5	14.4	Q1009	29
Canada	10.4	7.5	Q16	30
Central African Republic	1.0	0.8	Q929	31
Chile	22.1	16.3	Q298	32
China	14.5	17.5	Q148	33
Hong Kong SAR, China	3.6	2.6	Q8646	34
Macao SAR, China	11.1	5.1	Q14773	35
Colombia	5.1	6.9	Q739	36
Comoros	0.5	5.2	Q970	37
Congo, Rep.	5.7	3.7	Q971	38
Costa Rica	12.2	10.1	Q800	39
Cote d'Ivoire	23.7	21.1	Q1008	40
Croatia	18.9	13.3	Q224	41
Cyprus	20.2	17.5	Q229	42
Czech Republic	9.5	5.4	Q213	43
Denmark	7.3	6.5	Q35	44
Dominican Republic	24.6	16.6	Q786	45
Ecuador	16.6	13.0	Q736	46
Egypt, Arab Rep.	13.4	14.2	Q79	47
El Salvador	16.7	14.2	Q792	48
Estonia	16.4	10.6	Q191	49
Eswatini	10.8	16.0	Q1050	50
Ethiopia	18.4	9.8	Q115	51
Fiji	31.8	20.5	Q712	52
Finland	18.4	14.5	Q33	53
France	14.0	11.3	Q142	54
Gambia, The	20.5	46.9	Q1005	55
Georgia	18.3	14.3	Q230	56
Germany	11.6	8.5	Q183	57
Ghana	1.0	2.1	Q117	58
Greece	24.5	26.8	Q41	59
Greenland	20.7	16.4	Q223	60
Guatemala	18.1	16.5	Q774	61
Guyana	29.9	11.9	Q734	62
Honduras	22.4	14.9	Q783	63
Hungary	10.7	8.1	Q28	64
Iceland	13.1	12.1	Q189	65
India	35.6	34.0	Q668	66
Indonesia	20.4	16.7	Q252	67
Iran, Islamic Rep.	2.8	0.7	Q794	68
Ireland	11.5	6.6	Q27	69
Israel	17.7	12.1	Q801	70
Italy	18.6	12.6	Q38	71
Jamaica	30.4	26.4	Q766	72
Japan	28.7	21.6	Q17	73
Jordan	22.1	21.1	Q810	74
Kazakhstan	10.0	4.1	Q232	75
Kenya	22.1	19.5	Q114	76
Korea, Rep.	28.6	25.1	Q884	77
Kuwait	0.8	0.6	Q817	78
Kyrgyz Republic	26.6	17.1	Q813	79
Lao PDR	26.4	14.6	Q819	80
Latvia	14.7	8.8	Q211	81
Lebanon	21.4	21.1	Q822	82
Lesotho	10.2	17.7	Q1013	83
Lithuania	32.1	19.6	Q37	84
Luxembourg	10.0	8.2	Q32	85
Madagascar	15.2	15.7	Q1019	86
Malawi	10.0	9.9	Q1020	87
Malaysia	10.1	14.6	Q833	88
Maldives	23.0	15.7	Q826	89
Mali	26.0	23.9	Q912	90
Malta	24.7	25.0	Q233	91
Mauritania	26.4	18.3	Q1025	92
Mauritius	19.3	18.5	Q1027	93
Mexico	8.0	8.4	Q96	94
Moldova	20.6	12.2	Q217	95
Montenegro	12.7	10.7	Q236	96
Morocco	23.1	15.6	Q1028	97
Mozambique	19.9	21.7	Q1029	98
Myanmar	19.1	20.7	Q836	99
Namibia	9.2	10.4	Q1030	100
Nepal	18.2	15.7	Q837	101
Netherlands	15.7	15.1	Q55	102
New Zealand	15.4	11.1	Q664	103
Nicaragua	21.7	14.3	Q811	104
Nigeria	1.4	29.7	Q1033	105
North Macedonia	17.7	10.3	Q221	106
Norway	6.6	6.4	Q20	107
Oman	7.1	5.7	Q842	108
Pakistan	30.5	28.8	Q843	109
Palau	28.8	24.1	Q695	110
Paraguay	11.9	13.8	Q733	111
Peru	14.3	16.0	Q419	112
Philippines	17.1	12.0	Q928	113
Poland	10.9	8.1	Q36	114
Portugal	14.1	11.2	Q45	115
Qatar	0.9	1.5	Q846	116
Romania	10.1	7.7	Q218	117
Russian Federation	1.4	0.9	Q159	118
Samoa	17.6	18.4	Q683	119
Sao Tome and Principe	16.1	21.9	Q1039	120
Saudi Arabia	0.3	3.0	Q851	121
Senegal	29.9	25.9	Q1041	122
Seychelles	34.2	16.1	Q1042	123
Singapore	26.5	21.7	Q334	124
Slovak Republic	12.7	7.8	Q214	125
Slovenia	13.1	9.4	Q215	126
Solomon Islands	21.6	16.9	Q685	127
South Africa	19.1	18.6	Q258	128
Spain	18.5	13.2	Q29	129
Sri Lanka	16.8	15.6	Q854	130
St. Kitts and Nevis	3.7	0.7	Q763	131
St. Lucia	13.1	15.6	Q760	132
St. Vincent and the Grenadines	21.9	14.3	Q757	133
Suriname	19.0	0.8	Q730	134
Sweden	13.4	10.4	Q34	135
Switzerland	7.5	4.3	Q39	136
Tanzania	27.6	20.8	Q924	137
Thailand	18.1	17.8	Q869	138
Togo	15.1	15.5	Q945	139
Tunisia	12.6	13.1	Q948	140
Turkey	8.3	7.6	Q43	141
Uganda	20.0	20.8	Q1036	142
Ukraine	32.4	23.5	Q212	143
United Arab Emirates	3.8	7.1	Q878	144
United Kingdom	10.2	9.1	Q145	145
United States	18.6	8.2	Q30	146
Uruguay	19.8	14.2	Q77	147
Vietnam	9.7	6.3	Q881	148
Zambia	11.6	17.4	Q953	149
Zimbabwe	17.5	30.5	Q954	150
