Country	Preprimary	Primary	Secondary	Tertiary	ID	id_row
Ghana	114.5	103.6	71.3	15.7	Q117	38
Greece	74.4	99.6	104.5	136.6	Q41	39
Grenada	100.5	106.9	120.1	104.6	Q769	40
Honduras	41.1	91.5	52.2	26.2	Q783	41
Hungary	82.3	100.8	103.5	48.5	Q28	42
Iceland	94.1	100.4	117.5	71.8	Q189	43
India	13.7	113.0	75.2	28.1	Q668	44
Indonesia	62.3	106.4	88.9	36.3	Q252	45
Iran, Islamic Rep.	53.9	110.7	86.3	68.1	Q794	46
Ireland	163.4	100.9	125.3	77.8	Q27	47
Israel	110.8	104.9	105.1	63.4	Q801	48
Italy	94.0	101.9	101.3	61.9	Q38	49
Jordan	27.1	81.5	63.1	34.4	Q810	50
Kazakhstan	62.5	105.8	114.2	54.0	Q232	51
Korea, Rep.	95.0	98.1	100.3	94.3	Q884	52
Kyrgyz Republic	39.8	107.6	95.1	41.3	Q813	53
Lao PDR	46.7	102.4	67.4	15.0	Q819	54
Latvia	95.6	99.4	110.7	88.1	Q211	55
Lesotho	38.9	120.9	62.0	10.2	Q1013	56
Liechtenstein	103.1	104.7	117.1	35.6	Q347	57
Lithuania	88.2	103.9	108.4	72.4	Q37	58
Luxembourg	91.9	102.3	103.7	19.2	Q32	59
Madagascar	39.6	142.5	36.5	5.4	Q1019	60
Malaysia	99.2	105.3	82.0	45.1	Q833	61
Mali	7.0	75.6	41.0	4.5	Q912	62
Malta	107.7	105.0	104.8	54.3	Q233	63
Mauritius	98.1	101.1	95.1	40.6	Q1027	64
Mexico	73.7	105.8	104.4	40.2	Q96	65
Moldova	86.7	90.6	86.9	39.8	Q217	66
Montenegro	69.3	100.0	89.9	56.1	Q236	67
Morocco	50.9	113.9	80.2	35.9	Q1028	68
Myanmar	8.5	112.3	68.4	18.8	Q836	69
Nepal	87.4	142.1	80.2	12.4	Q837	70
Netherlands	94.3	104.2	135.6	85.0	Q55	71
New Zealand	91.5	100.0	114.6	82.0	Q664	72
Niger	8.0	74.7	24.3	4.4	Q1032	73
North Macedonia	41.0	97.1	81.4	42.5	Q221	74
Norway	95.4	100.3	116.9	82.0	Q20	75
Oman	52.2	103.4	106.7	38.0	Q842	76
Pakistan	83.1	94.3	42.7	9.0	Q843	77
Panama	62.2	94.4	76.1	47.8	Q804	78
Peru	103.5	106.9	106.4	70.7	Q419	79
Philippines	80.7	107.5	86.2	35.5	Q928	80
Poland	81.1	100.0	109.9	67.8	Q36	81
Portugal	93.9	106.2	119.9	63.9	Q45	82
Romania	84.0	85.2	91.3	49.4	Q218	83
Russian Federation	86.8	102.6	103.4	81.9	Q159	84
Rwanda	22.5	133.0	40.9	6.7	Q1037	85
San Marino	96.4	108.1	67.9	42.5	Q238	86
Saudi Arabia	21.2	99.8	110.1	68.0	Q851	87
Senegal	16.5	81.0	43.7	12.8	Q1041	88
Serbia	62.3	100.3	95.1	67.2	Q403	89
Seychelles	95.4	100.4	81.4	17.1	Q1042	90
Slovak Republic	95.2	98.7	91.1	46.6	Q214	91
Slovenia	91.7	100.4	115.6	78.6	Q215	92
South Africa	24.6	100.9	104.7	22.4	Q258	93
Spain	92.5	102.7	126.0	88.9	Q29	94
St. Lucia	73.9	102.6	89.4	14.1	Q760	95
Sweden	96.3	126.6	152.9	67.0	Q34	96
Switzerland	103.6	105.2	102.5	59.6	Q39	97
Thailand	79.0	99.8	117.7	49.3	Q869	98
Togo	22.8	123.8	61.8	14.5	Q945	99
Tunisia	44.6	115.4	92.9	31.7	Q948	100
United Kingdom	106.4	101.2	125.9	60.0	Q145	101
United States	72.9	101.8	99.0	88.2	Q30	102
Uruguay	93.4	108.5	120.2	63.1	Q77	103
Uzbekistan	27.9	104.2	93.3	10.1	Q265	104
West Bank and Gaza	56.5	98.6	89.5	44.3	Q407199	105
