Country	_2000	_2018	ID	id_row
Afghanistan	11.0	10.3	Q889	0
Albania	16.3	13.1	Q222	1
Algeria	29.8	9.9	Q262	2
Angola	4.8	6.7	Q916	3
Argentina	14.0	8.2	Q414	4
Armenia	8.0	17.8	Q399	5
Australia	6.5	5.3	Q408	6
Austria	4.8	5.0	Q40	7
Azerbaijan	11.0	4.1	Q227	8
Bahamas, The	6.0	10.0	Q778	9
Bahrain	0.6	0.1	Q398	10
Bangladesh	3.3	3.3	Q902	11
Barbados	7.4	9.2	Q244	12
Belarus	13.8	5.9	Q184	13
Belgium	5.3	6.3	Q31	14
Belize	7.2	4.5	Q242	15
Benin	1.1	2.2	Q962	16
Bhutan	1.2	1.8	Q917	17
Bolivia	2.3	3.5	Q750	18
Bosnia and Herzegovina	23.2	17.2	Q225	19
Botswana	14.8	14.3	Q963	20
Brazil	7.9	10.9	Q155	21
Brunei Darussalam	4.5	8.3	Q921	22
Bulgaria	16.6	5.7	Q219	23
Burkina Faso	2.4	3.8	Q965	24
Burundi	2.4	1.9	Q967	25
Cabo Verde	10.5	12.7	Q1011	26
Cambodia	0.6	0.5	Q424	27
Cameroon	8.5	2.9	Q1009	28
Canada	6.9	6.1	Q16	29
Central African Republic	4.1	3.8	Q929	30
Chad	1.4	2.0	Q657	31
Channel Islands	8.2	7.2	Q42314	32
Chile	9.4	6.7	Q298	33
China	3.6	4.7	Q148	34
Colombia	17.4	7.1	Q739	35
Comoros	4.3	4.0	Q970	36
Congo, Dem. Rep.	3.5	5.0	Q974	37
Congo, Rep.	18.6	9.1	Q971	38
Costa Rica	4.3	8.0	Q800	39
Cote d'Ivoire	4.6	2.8	Q1008	40
Croatia	15.0	7.6	Q224	41
Cuba	3.9	1.6	Q241	42
Cyprus	3.3	8.0	Q229	43
Czech Republic	7.3	1.8	Q213	44
Denmark	4.0	4.8	Q35	45
Djibouti	10.8	10.2	Q977	46
Dominican Republic	4.2	4.2	Q786	47
Ecuador	3.8	2.9	Q736	48
Egypt, Arab Rep.	5.1	8.1	Q79	49
El Salvador	9.1	4.2	Q792	50
Equatorial Guinea	6.8	6.6	Q983	51
Eritrea	5.6	5.3	Q986	52
Estonia	15.0	5.4	Q191	53
Eswatini	21.8	20.9	Q1050	54
Ethiopia	2.5	1.5	Q115	55
Fiji	3.4	3.5	Q712	56
Finland	10.4	7.4	Q33	57
France	8.5	9.0	Q142	58
French Polynesia	10.3	11.5	Q30971	59
Gabon	15.5	14.3	Q1000	60
Gambia, The	7.2	6.5	Q1005	61
Georgia	11.1	14.8	Q230	62
Germany	7.6	3.8	Q183	63
Ghana	10.1	4.1	Q117	64
Greece	7.5	15.4	Q41	65
Guam	16.9	5.0	Q16635	66
Guatemala	2.4	1.9	Q774	67
Guinea	5.6	5.4	Q1006	68
Guinea-Bissau	3.0	2.7	Q1007	69
Guyana	10.3	9.8	Q734	70
Haiti	7.1	10.9	Q790	71
Honduras	3.8	4.7	Q783	72
Hong Kong SAR, China	5.6	3.2	Q8646	73
Hungary	7.2	3.5	Q28	74
Iceland	1.3	2.9	Q189	75
India	5.8	5.3	Q668	76
Indonesia	5.7	4.7	Q252	77
Iran, Islamic Rep.	10.1	10.3	Q794	78
Iraq	9.2	10.1	Q796	79
Ireland	4.4	5.8	Q27	80
Israel	11.1	4.0	Q801	81
Italy	8.3	9.7	Q38	82
Jamaica	10.2	6.7	Q766	83
Japan	4.9	2.6	Q17	84
Jordan	12.4	13.0	Q810	85
Kazakhstan	11.1	4.3	Q232	86
Kenya	2.8	2.5	Q114	87
Korea, Dem. Peopleâ€™s Rep.	3.4	3.1	Q423	88
Korea, Rep.	5.0	3.9	Q884	89
Kuwait	0.4	0.9	Q817	90
Kyrgyz Republic	6.6	5.7	Q813	91
Lao PDR	1.9	0.7	Q819	92
Latvia	15.0	8.4	Q211	93
Lebanon	7.8	4.9	Q822	94
Lesotho	27.5	20.8	Q1013	95
Liberia	2.3	3.6	Q1014	96
Libya	16.3	15.3	Q1016	97
Lithuania	18.2	6.9	Q37	98
Luxembourg	1.8	5.3	Q32	99
Macao SAR, China	8.6	2.3	Q14773	100
Madagascar	5.7	1.7	Q1019	101
Malawi	5.0	4.7	Q1020	102
Malaysia	3.0	3.1	Q833	103
Maldives	1.6	6.0	Q826	104
Mali	4.9	6.5	Q912	105
Malta	6.2	3.8	Q233	106
Mauritania	9.0	8.3	Q1025	107
Mauritius	7.6	4.6	Q1027	108
Mexico	2.2	3.2	Q96	109
Moldova	9.8	3.5	Q217	110
