Country	Population2000	Population2016	Urban2016	Rural2016	ID	id_row
Namibia	36.5	49.7	69.3	31.6	Q1030	112
Nepal	27.7	90.7	94.5	89.8	Q837	113
Netherlands	100.0	100.0	100.0	100.0	Q55	114
New Caledonia	100.0	100.0	100.0	100.0	Q33788	115
New Zealand	100.0	100.0	100.0	100.0	Q664	116
Nicaragua	72.8	85.4	99.3	66.0	Q811	117
Niger	6.5	17.5	58.9	9.4	Q1032	118
Nigeria	42.9	59.3	86.0	34.0	Q1033	119
Northern Mariana Islands	100.0	100.0	100.0	100.0	Q16644	120
Norway	100.0	100.0	100.0	100.0	Q20	121
Oman	100.0	100.0	100.0	100.0	Q842	122
Pakistan	70.4	71.4	99.9	55.3	Q843	123
Panama	81.4	96.8	99.7	90.9	Q804	124
Papua New Guinea	8.7	49.4	79.3	44.9	Q691	125
Paraguay	89.2	98.4	99.9	96.1	Q733	126
Peru	72.5	94.2	98.9	78.0	Q419	127
Philippines	74.8	92.3	96.6	88.6	Q928	128
Poland	100.0	100.0	100.0	100.0	Q36	129
Portugal	100.0	100.0	100.0	100.0	Q45	130
Puerto Rico	100.0	100.0	100.0	100.0	Q1183	131
Qatar	100.0	100.0	100.0	100.0	Q846	132
Romania	100.0	99.1	99.5	100.0	Q218	133
Russian Federation	100.0	100.0	99.7	100.0	Q159	134
Rwanda	6.2	29.4	80.0	19.0	Q1037	135
Samoa	87.9	99.9	99.8	100.0	Q683	136
San Marino	100.0	100.0	100.0	100.0	Q238	137
Sao Tome and Principe	52.9	68.1	74.8	51.5	Q1039	138
Saudi Arabia	100.0	99.9	100.0	100.0	Q851	139
Senegal	37.7	64.5	87.7	44.5	Q1041	140
Serbia	100.0	100.0	100.0	100.0	Q403	141
Seychelles	94.0	100.0	99.9	100.0	Q1042	142
Singapore	100.0	100.0	100.0	100.0	Q334	143
Sint Maarten (Dutch part)	100.0	100.0	100.0	100.0	Q26273	144
Slovak Republic	100.0	100.0	100.0	100.0	Q214	145
Slovenia	100.0	100.0	100.0	100.0	Q215	146
Solomon Islands	4.7	58.7	70.6	55.1	Q685	147
Somalia	7.4	31.6	56.2	12.4	Q1045	148
South Africa	71.8	84.2	91.4	70.7	Q258	149
Spain	100.0	100.0	100.0	100.0	Q29	150
Sri Lanka	63.6	97.5	99.0	97.2	Q854	151
St. Kitts and Nevis	93.5	100.0	100.0	100.0	Q763	152
St. Lucia	89.9	98.1	96.5	98.4	Q760	153
St. Vincent and the Grenadines	79.9	99.8	96.6	100.0	Q757	154
Sudan	23.0	53.0	80.4	38.9	Q1049	155
Suriname	95.6	96.1	98.8	90.8	Q730	156
Sweden	100.0	100.0	100.0	100.0	Q34	157
Switzerland	100.0	100.0	100.0	100.0	Q39	158
Syrian Arab Republic	86.6	89.8	100.0	78.3	Q858	159
Tajikistan	98.5	99.2	99.4	99.2	Q863	160
Tanzania	9.6	32.8	65.3	17.3	Q924	161
Thailand	82.1	100.0	99.9	100.0	Q869	162
Timor-Leste	25.6	76.5	98.4	67.2	Q574	163
Togo	17.0	47.4	86.9	20.4	Q945	164
Tonga	85.5	97.0	98.6	96.5	Q678	165
Trinidad and Tobago	91.3	100.0	100.0	100.0	Q754	166
Tunisia	94.8	100.0	100.0	100.0	Q948	167
Turkmenistan	99.6	100.0	100.0	100.0	Q874	168
Turks and Caicos Islands	95.6	100.0	100.0	100.0	Q18221	169
Tuvalu	94.6	99.7	100.0	99.3	Q672	170
Uganda	7.7	26.7	57.5	17.7	Q1036	171
United Arab Emirates	100.0	100.0	100.0	100.0	Q878	172
United Kingdom	100.0	100.0	100.0	100.0	Q145	173
United States	100.0	100.0	100.0	100.0	Q30	174
Uruguay	98.5	99.7	99.8	100.0	Q77	175
Uzbekistan	99.6	100.0	100.0	100.0	Q265	176
Vanuatu	22.2	57.8	91.4	46.6	Q686	177
Venezuela, RB	98.9	99.4	100.0	94.9	Q717	178
Vietnam	87.2	99.2	100.0	98.8	Q881	179
Virgin Islands (U.S.)	100.0	100.0	100.0	100.0	Q11703	180
West Bank and Gaza	99.7	100.0	100.0	100.0	Q407199	181
Yemen, Rep.	50.0	70.9	97.4	56.3	Q805	182
Zambia	16.7	35.3	70.6	9.3	Q953	183
Zimbabwe	33.9	39.9	85.3	18.3	Q954	184
