Country	Fixedtelephone	Mobilecellular	ID	id_row
Afghanistan	0.3	59.1	Q889	0
Albania	2020.6	94.2	Q222	1
Algeria	2020.9	111.7	Q262	2
Andorra	51.1	107.3	Q228	3
Angola	0.6	43.1	Q916	4
Antigua and Barbuda	25.2	192.8	Q781	5
Argentina	22.0	132.1	Q414	6
Armenia	2020.2	121.3	Q399	7
Australia	32.5	113.6	Q408	8
Austria	42.4	123.5	Q40	9
Azerbaijan	2020.9	103.9	Q227	10
Bahamas, The	29.4	99.0	Q778	11
Bahrain	17.5	133.3	Q398	12
Bangladesh	0.9	100.2	Q902	13
Barbados	44.7	114.9	Q244	14
Belarus	47.5	122.9	Q184	15
Belgium	35.8	99.7	Q31	16
Belize	5.4	85.5	Q242	17
Benin	0.4	82.4	Q962	18
Bermuda	34.7	103.1	Q23635	19
Bhutan	2.9	93.3	Q917	20
Bolivia	6.3	100.8	Q750	21
Bosnia and Herzegovina	2020.8	104.1	Q225	22
Botswana	2020.3	150.0	Q963	23
Brazil	18.3	98.8	Q155	24
British Virgin Islands	20.9	134.1	Q25305	25
Brunei Darussalam	19.3	131.9	Q921	26
Bulgaria	2020.9	118.9	Q219	27
Burkina Faso	0.4	97.9	Q965	28
Burundi	0.2	56.5	Q967	29
Cabo Verde	11.5	112.2	Q1011	30
Cambodia	0.5	119.5	Q424	31
Cameroon	3.6	73.2	Q1009	32
Canada	37.3	89.6	Q16	33
Cayman Islands	54.9	152.5	Q5785	34
Central African Republic	0.0	27.4	Q929	35
Chad	0.1	45.1	Q657	36
Chile	16.0	134.4	Q298	37
China	13.5	115.5	Q148	38
Colombia	14.0	129.9	Q739	39
Comoros	1.2	59.9	Q970	40
Congo, Dem. Rep.	0.0	43.4	Q974	41
Congo, Rep.	0.3	95.3	Q971	42
Costa Rica	2020.5	169.9	Q800	43
Cote d'Ivoire	1.2	134.9	Q1008	44
Croatia	32.6	105.6	Q224	45
Cuba	2020.7	47.4	Q241	46
Curacao	36.1	114.5	Q25279	47
Cyprus	36.1	138.9	Q229	48
Czech Republic	2020.2	119.1	Q213	49
Denmark	2020.7	125.1	Q35	50
Djibouti	3.8	41.2	Q977	51
Dominica	3.7	105.8	Q784	52
Dominican Republic	12.0	84.1	Q786	53
Ecuador	2020.8	92.3	Q736	54
Egypt, Arab Rep.	8.0	95.3	Q79	55
El Salvador	14.4	146.9	Q792	56
Equatorial Guinea	0.8	45.2	Q983	57
Eritrea	1.9	20.4	Q986	58
Estonia	2020.1	145.4	Q191	59
Eswatini	3.6	93.5	Q1050	60
Ethiopia	1.1	37.2	Q115	61
Faroe Islands	35.4	117.1	Q4628	62
Fiji	8.7	117.8	Q712	63
Finland	5.8	129.5	Q33	64
France	59.4	108.4	Q142	65
French Polynesia	32.5	109.0	Q30971	66
Gabon	1.0	138.3	Q1000	67
Gambia, The	1.9	139.5	Q1005	68
Georgia	15.1	136.4	Q230	69
Germany	51.1	129.3	Q183	70
Ghana	0.9	137.5	Q117	71
Gibraltar	52.4	121.7	Q1410	72
Greece	48.3	115.7	Q41	73
Greenland	14.2	110.6	Q223	74
Grenada	29.3	102.1	Q769	75
Guatemala	14.1	118.7	Q774	76
Guinea	0.0	96.8	Q1006	77
Guinea-Bissau	0.0	79.0	Q1007	78
Guyana	17.5	83.0	Q734	79
Haiti	0.1	57.5	Q790	80
Honduras	5.5	79.2	Q783	81
Hong Kong SAR, China	56.9	270.0	Q8646	82
Hungary	31.1	103.4	Q28	83
Iceland	40.6	126.1	Q189	84
India	1.6	86.9	Q668	85
Indonesia	3.1	119.3	Q252	86
Iran, Islamic Rep.	37.3	108.5	Q794	87
Iraq	7.0	95.0	Q796	88
Ireland	38.0	103.2	Q27	89
Israel	38.2	127.7	Q801	90
Italy	33.6	137.5	Q38	91
Jamaica	2020.4	101.0	Q766	92
Japan	49.9	141.4	Q17	93
Jordan	2020.7	87.6	Q810	94
Kazakhstan	2020.3	142.3	Q232	95
Kenya	0.1	96.3	Q114	96
Kiribati	0.0	50.8	Q710	97
Korea, Dem. Peopleâ€™s Rep.	4.6	15.0	Q423	98
Korea, Rep.	50.6	129.7	Q884	99
Kuwait	12.5	171.6	Q817	100
Kyrgyz Republic	2020.3	138.6	Q813	101
Lao PDR	21.0	51.9	Q819	102
Latvia	2020.8	107.3	Q211	103
Lebanon	13.0	64.5	Q822	104
Lesotho	0.4	113.8	Q1013	105
Liberia	0.2	56.6	Q1014	106
Libya	2020.9	91.5	Q1016	107
Liechtenstein	40.2	124.7	Q347	108
Lithuania	2020.2	163.9	Q37	109
Luxembourg	45.3	132.2	Q32	110
Macao SAR, China	19.5	345.3	Q14773	111
North Macedonia	2020.4	94.5	Q221	112
Madagascar	0.3	40.6	Q1019	113
Malawi	0.1	39.0	Q1020	114
Malaysia	20.4	134.5	Q833	115
Maldives	3.6	166.4	Q826	116
Mali	1.2	115.1	Q912	117
Malta	58.2	140.2	Q233	118
Mauritania	1.4	103.7	Q1025	119
Mauritius	34.3	151.4	Q1027	120
Mexico	2020.2	95.2	Q96	121
Micronesia, Fed. Sts.	6.2	20.7	Q702	122
Moldova	2020.3	88.0	Q217	123
Monaco	112.1	84.5	Q235	124
Mongolia	2020.7	133.2	Q711	125
Montenegro	2020.5	180.7	Q236	126
Morocco	6.1	124.2	Q1028	127
Mozambique	0.2	47.7	Q1029	128
Myanmar	1.0	113.8	Q836	129
Namibia	2020.3	112.7	Q1030	130
Nepal	2.8	139.4	Q837	131
Netherlands	34.6	123.7	Q55	132
New Zealand	37.1	134.9	Q664	133
Nicaragua	5.0	115.1	Q811	134
Niger	0.5	40.6	Q1032	135
Nigeria	0.1	88.2	Q1033	136
Norway	10.5	107.2	Q20	137
Oman	2020.6	133.4	Q842	138
Pakistan	1.3	72.6	Q843	139
Panama	2020.4	137.0	Q804	140
Papua New Guinea	1.9	47.6	Q691	141
Paraguay	2020.4	107.0	Q733	142
Peru	2020.8	123.8	Q419	143
Philippines	3.9	126.2	Q928	144
Poland	2020.3	134.7	Q36	145
Portugal	49.5	115.6	Q45	146
Puerto Rico	23.1	109.6	Q1183	147
Qatar	16.3	141.9	Q846	148
Romania	2020.8	116.2	Q218	149
Russian Federation	2020.7	157.4	Q159	150
Rwanda	0.1	78.9	Q1037	151
Samoa	4.3	63.6	Q683	152
San Marino	53.5	112.9	Q238	153
Sao Tome and Principe	2.5	77.1	Q1039	154
Saudi Arabia	16.0	122.6	Q851	155
Senegal	1.9	104.5	Q1041	156
Serbia	2020.2	95.8	Q403	157
Seychelles	20.9	184.3	Q1042	158
Sierra Leone	0.2	88.5	Q1044	159
Singapore	34.8	148.8	Q334	160
Slovak Republic	2020.3	132.8	Q214	161
Slovenia	33.4	118.7	Q215	162
Solomon Islands	1.1	73.8	Q685	163
Somalia	0.5	51.0	Q1045	164
South Africa	2020.8	159.9	Q258	165
South Sudan	0.0	33.5	Q958	166
Spain	41.7	116.0	Q29	167
Sri Lanka	11.7	142.7	Q854	168
St. Kitts and Nevis	33.2	147.7	Q763	169
St. Lucia	20.1	101.7	Q760	170
St. Vincent and the Grenadines	17.4	96.1	Q757	171
Sudan	0.3	72.0	Q1049	172
Suriname	2020.3	130.6	Q730	173
Sweden	24.0	126.8	Q34	174
Switzerland	38.7	126.8	Q39	175
Syrian Arab Republic	16.2	101.1	Q858	176
Tajikistan	2020.4	111.5	Q863	177
Tanzania	0.2	77.2	Q924	178
Thailand	2020.2	180.2	Q869	179
Timor-Leste	0.2	115.8	Q574	180
Togo	0.5	77.9	Q945	181
Tonga	14.2	104.6	Q678	182
Trinidad and Tobago	2020.1	141.9	Q754	183
Tunisia	2020.3	127.7	Q948	184
Turkey	2020.1	97.3	Q43	185
Turkmenistan	2020.8	162.9	Q874	186
Tuvalu	17.6	70.4	Q672	187
Uganda	0.4	57.3	Q1036	188
Ukraine	2020.4	127.8	Q212	189
United Arab Emirates	24.3	208.5	Q878	190
United Kingdom	47.5	118.4	Q145	191
United States	33.6	129.0	Q30	192
Uruguay	33.4	149.9	Q77	193
Uzbekistan	2020.7	71.5	Q265	194
Vanuatu	1.4	85.9	Q686	195
Venezuela, RB	2020.2	71.8	Q717	196
Vietnam	2020.5	147.2	Q881	197
West Bank and Gaza	9.7	90.0	Q407199	198
Yemen, Rep.	4.3	53.7	Q805	199
Zambia	0.6	89.2	Q953	200
Zimbabwe	1.9	89.4	Q954	201
