Country	Residents	Nonresidents	ID	id_row
Algeria	1033.0	385.0	Q262	0
Argentina	932.0	675.0	Q414	1
Armenia	61.0	437.0	Q399	2
Australia	3095.0	4934.0	Q408	3
Austria	701.0	1439.0	Q40	4
Azerbaijan	54.0	535.0	Q227	5
Bahrain	5.0	79.0	Q398	6
Bangladesh	1897.0	117.0	Q902	7
Barbados	1.0	1.0	Q244	8
Belarus	183.0	265.0	Q184	9
Belize	2.0	213.0	Q242	10
Bolivia	16.0	43.0	Q750	11
Bosnia and Herzegovina	76.0	793.0	Q225	12
Brazil	3696.0	2415.0	Q155	13
Brunei Darussalam	1.0	89.0	Q921	14
Bulgaria	433.0	112.0	Q219	15
Cambodia	9.0	60.0	Q424	16
Canada	774.0	6044.0	Q16	17
Cabo Verde	31.0	7.0	Q1011	18
Chile	49.0	553.0	Q298	19
China	689097.0	19702.0	Q148	20
Hong Kong SAR, China	1247.0	3188.0	Q8646	21
Macao SAR, China	67.0	141.0	Q14773	22
Colombia	288.0	350.0	Q739	23
Costa Rica	8.0	62.0	Q800	24
Croatia	367.0	459.0	Q224	25
Cuba	11.0	10.0	Q241	26
Czech Republic	627.0	91.0	Q213	27
Denmark	177.0	275.0	Q35	28
Dominican Republic	5.0	26.0	Q786	29
Ecuador	246.0	107.0	Q736	30
Egypt, Arab Rep.	1668.0	1144.0	Q79	31
El Salvador	19.0	27.0	Q792	32
Estonia	62.0	80.0	Q191	33
Finland	157.0	105.0	Q33	34
France	11661.0	834.0	Q142	35
Georgia	204.0	429.0	Q230	36
Germany	38815.0	5645.0	Q183	37
Ghana	796.0	92.0	Q117	38
Greece	541.0	482.0	Q41	39
Guatemala	35.0	223.0	Q774	40
Honduras	4.0	25.0	Q783	41
Hungary	595.0	94.0	Q28	42
Iceland	15.0	609.0	Q189	43
India	8928.0	3704.0	Q668	44
Indonesia	2432.0	1367.0	Q252	45
Iran, Islamic Rep.	14610.0	164.0	Q794	46
Iraq	81.0	8.0	Q796	47
Ireland	88.0	467.0	Q27	48
Israel	981.0	707.0	Q801	49
Italy	34812.0	1212.0	Q38	50
Jamaica	114.0	7.0	Q766	51
Japan	23459.0	8009.0	Q17	52
Jordan	26.0	23.0	Q810	53
Kazakhstan	83.0	170.0	Q232	54
Kenya	170.0	7.0	Q114	55
Korea, Rep.	60075.0	7979.0	Q884	56
Kyrgyz Republic	11.0	502.0	Q813	57
Latvia	154.0	39.0	Q211	58
Liechtenstein	261.0	712.0	Q347	59
Lithuania	160.0	371.0	Q37	60
North Macedonia	63.0	783.0	Q221	61
Madagascar	293.0	7.0	Q1019	62
Malaysia	528.0	1317.0	Q833	63
Mauritius	75.0	24.0	Q1027	64
Mexico	1627.0	2322.0	Q96	65
Moldova	432.0	548.0	Q217	66
Monaco	74.0	853.0	Q235	67
Mongolia	739.0	370.0	Q711	68
Montenegro	1.0	737.0	Q236	69
Morocco	3879.0	1673.0	Q1028	70
Mozambique	5.0	64.0	Q1029	71
Nepal	15.0	25.0	Q837	72
New Zealand	463.0	1118.0	Q664	73
Nigeria	1146.0	26.0	Q1033	74
Norway	555.0	3646.0	Q20	75
Oman	25.0	948.0	Q842	76
Pakistan	453.0	135.0	Q843	77
Panama	3.0	68.0	Q804	78
Papua New Guinea	3.0	36.0	Q691	79
Paraguay	159.0	62.0	Q733	80
Peru	134.0	247.0	Q419	81
Philippines	929.0	660.0	Q928	82
Portugal	1288.0	62.0	Q45	83
Romania	438.0	309.0	Q218	84
Russian Federation	3822.0	5121.0	Q159	85
Rwanda	5.0	63.0	Q1037	86
San Marino	17.0	4.0	Q238	87
Saudi Arabia	345.0	572.0	Q851	88
Serbia	196.0	904.0	Q403	89
Singapore	342.0	3705.0	Q334	90
Slovak Republic	272.0	58.0	Q214	91
Slovenia	40.0	492.0	Q215	92
South Africa	977.0	966.0	Q258	93
Spain	18219.0	634.0	Q29	94
Sri Lanka	228.0	60.0	Q854	95
Sudan	114.0	47.0	Q1049	96
Sweden	457.0	122.0	Q34	97
Switzerland	3446.0	8194.0	Q39	98
Syrian Arab Republic	359.0	88.0	Q858	99
Thailand	4044.0	1425.0	Q869	100
Trinidad and Tobago	160.0	14.0	Q754	101
Tunisia	164.0	1164.0	Q948	102
Turkey	35461.0	6859.0	Q43	103
Ukraine	5261.0	2905.0	Q212	104
United Kingdom	22904.0	4538.0	Q145	105
United States	22824.0	24313.0	Q30	106
Uruguay	53.0	62.0	Q77	107
Uzbekistan	307.0	26.0	Q265	108
Vietnam	1891.0	1475.0	Q881	109
Yemen, Rep.	17.0	3.0	Q805	110
Zambia	30.0	1.0	Q953	111
