Country	VitaminA	ID	id_row
Afghanistan	95.0	Q889	0
Angola	3.0	Q916	1
Azerbaijan	41.0	Q227	2
Bangladesh	99.0	Q902	3
Benin	99.0	Q962	4
Bolivia	31.0	Q750	5
Botswana	83.0	Q963	6
Burkina Faso	0.0	Q965	7
Burundi	79.0	Q967	8
Cambodia	73.0	Q424	9
Cameroon	9.0	Q1009	10
Central African Republic	0.0	Q929	11
Chad	67.0	Q657	12
Comoros	21.0	Q970	13
Congo, Dem. Rep.	1.0	Q974	14
Congo, Rep.	12.0	Q971	15
Cote d'Ivoire	94.0	Q1008	16
Djibouti	78.0	Q977	17
Equatorial Guinea	5.0	Q983	18
Eritrea	51.0	Q986	19
Eswatini	33.0	Q1050	20
Ethiopia	77.0	Q115	21
Gabon	0.0	Q1000	22
Gambia, The	32.0	Q1005	23
Ghana	50.0	Q117	24
Guatemala	26.0	Q774	25
Guinea	64.0	Q1006	26
Guinea-Bissau	95.0	Q1007	27
Haiti	17.0	Q790	28
India	71.0	Q668	29
Indonesia	62.0	Q252	30
Kenya	44.0	Q114	31
Kiribati	37.0	Q710	32
Korea, Dem. Peopleâ€™s Rep.	90.0	Q423	33
Lao PDR	57.0	Q819	34
Lesotho	18.0	Q1013	35
Liberia	97.0	Q1014	36
Madagascar	87.0	Q1019	37
Malawi	91.0	Q1020	38
Maldives	69.0	Q826	39
Mali	9.0	Q912	40
Mauritania	0.0	Q1025	41
Mongolia	83.0	Q711	42
Morocco	99.0	Q1028	43
Mozambique	61.0	Q1029	44
Myanmar	89.0	Q836	45
Namibia	27.0	Q1030	46
Nepal	81.0	Q837	47
Nicaragua	3.0	Q811	48
Niger	53.0	Q1032	49
Nigeria	83.0	Q1033	50
Pakistan	92.0	Q843	51
Philippines	68.0	Q928	52
Rwanda	98.0	Q1037	53
Sao Tome and Principe	23.0	Q1039	54
Senegal	58.0	Q1041	55
Sierra Leone	98.0	Q1044	56
Somalia	11.0	Q1045	57
South Africa	47.0	Q258	58
South Sudan	51.0	Q958	59
Sri Lanka	93.0	Q854	60
Sudan	20.0	Q1049	61
Tajikistan	91.0	Q863	62
Tanzania	87.0	Q924	63
Timor-Leste	66.0	Q574	64
Togo	87.0	Q945	65
Uganda	27.0	Q1036	66
Uzbekistan	99.0	Q265	67
Vietnam	99.0	Q881	68
Yemen, Rep.	81.0	Q805	69
Zambia	99.0	Q953	70
Zimbabwe	43.0	Q954	71
