Country	New	Entrydensity	ID	id_row
Afghanistan	4274.0	0.21	Q889	0
Albania	2990.0	1.52	Q222	1
Algeria	9472.0	0.35	Q262	2
Antigua and Barbuda	220.0	3.31	Q781	3
Argentina	5667.0	0.2	Q414	4
Armenia	6137.0	3.05	Q399	5
Australia	235654.0	14.47	Q408	6
Austria	3830.0	0.65	Q40	7
Azerbaijan	11611.0	1.66	Q227	8
Bahrain	3823.0	3.11	Q398	9
Bangladesh	4473.0	0.04	Q902	10
Belarus	8700.0	1.34	Q184	11
Belgium	24677.0	3.37	Q31	12
Belize	843.0	3.39	Q242	13
Benin	3341.0	0.54	Q962	14
Bhutan	47.0	0.09	Q917	15
Bolivia	3593.0	0.51	Q750	16
Bosnia and Herzegovina	2493.0	1.09	Q225	17
Botswana	26613.0	20.09	Q963	18
Brazil	189076.0	1.29	Q155	19
Brunei Darussalam	731.0	2.36	Q921	20
Bulgaria	45683.0	10.1	Q219	21
Burkina Faso	3416.0	0.33	Q965	22
Cabo Verde	1444.0	3.99	Q1011	23
Cambodia	7007.0	0.67	Q424	24
Canada	4065.0	0.16	Q16	25
Central African Republic	213.0	0.09	Q929	26
Chad	878.0	0.11	Q657	27
Chile	132740.0	10.31	Q298	28
Hong Kong SAR, China	151739.0	28.59	Q8646	29
Colombia	68588.0	2.02	Q739	30
Comoros	78.0	0.16	Q970	31
Congo, Dem. Rep.	2102.0	0.05	Q974	32
Costa Rica	8984.0	2.6	Q800	33
Cote d'Ivoire	10233.0	0.74	Q1008	34
Croatia	15585.0	5.86	Q224	35
Cyprus	14526.0	17.58	Q229	36
Czech Republic	30336.0	4.39	Q213	37
Denmark	36982.0	10.01	Q35	38
Dominica	371.0	7.74	Q784	39
Dominican Republic	10204.0	1.48	Q786	40
El Salvador	2347.0	0.57	Q792	41
Estonia	19950.0	23.59	Q191	42
Ethiopia	31198.0	0.51	Q115	43
Finland	14700.0	4.29	Q33	44
France	201087.0	4.84	Q142	45
Gabon	1106.0	0.88	Q1000	46
Georgia	25241.0	10.35	Q230	47
Germany	72844.0	1.35	Q183	48
Ghana	13154.0	0.87	Q117	49
Greece	9793.0	1.42	Q41	50
Grenada	188.0	2.52	Q769	51
Guatemala	5530.0	0.53	Q774	52
Guinea	2630.0	0.4	Q1006	53
Hungary	24252.0	3.74	Q28	54
Iceland	2283.0	9.88	Q189	55
India	123942.0	0.14	Q668	56
Indonesia	58426.0	0.33	Q252	57
Iran, Islamic Rep.	23689.0	0.42	Q794	58
Iraq	2020.0	0.1	Q796	59
Ireland	22398.0	7.13	Q27	60
Israel	17456.0	3.27	Q801	61
Italy	114360.0	2.96	Q38	62
Jamaica	3159.0	1.6	Q766	63
Japan	29243.0	0.39	Q17	64
Jordan	3289.0	0.53	Q810	65
Kazakhstan	23464.0	2.0	Q232	66
Kenya	44259.0	1.49	Q114	67
Kiribati	2.0	0.03	Q710	68
Korea, Rep.	96155.0	2.56	Q884	69
Kosovo	5353.0	4.0	Q1246	70
Kuwait	18535.0	5.9	Q817	71
Kyrgyz Republic	4936.0	1.27	Q813	72
Lao PDR	178.0	0.04	Q819	73
Latvia	9864.0	8.01	Q211	74
Lesotho	3725.0	2.83	Q1013	75
Liberia	59.0	0.02	Q1014	76
Liechtenstein	163.0	6.31	Q347	77
Lithuania	6072.0	3.33	Q37	78
Luxembourg	7309.0	17.2	Q32	79
North Macedonia	5282.0	3.63	Q221	80
Madagascar	1881.0	0.13	Q1019	81
Malaysia	51722.0	2.37	Q833	82
Mali	3130.0	0.33	Q912	83
Malta	5527.0	17.48	Q233	84
Mauritania	959.0	0.38	Q1025	85
Mauritius	8285.0	9.26	Q1027	86
Mexico	83903.0	1.0	Q96	87
Micronesia, Fed. Sts.	25.0	0.35	Q702	88
Moldova	4801.0	1.86	Q217	89
Mongolia	11507.0	5.54	Q711	90
Montenegro	4694.0	11.29	Q236	91
Morocco	45132.0	1.9	Q1028	92
Myanmar	14051.0	0.39	Q836	93
Namibia	1613.0	1.15	Q1030	94
Nepal	24088.0	1.34	Q837	95
Netherlands	71531.0	6.42	Q55	96
New Zealand	56380.0	17.84	Q664	97
Niger	931.0	0.09	Q1032	98
Nigeria	86309.0	0.83	Q1033	99
Norway	29959.0	8.62	Q20	100
Oman	5085.0	1.4	Q842	101
Pakistan	13229.0	0.1	Q843	102
Panama	13068.0	4.83	Q804	103
Paraguay	1018.0	0.23	Q733	104
Peru	79346.0	3.75	Q419	105
Philippines	19774.0	0.29	Q928	106
Poland	36879.0	1.44	Q36	107
Portugal	43114.0	6.49	Q45	108
Qatar	14824.0	6.26	Q846	109
Romania	94244.0	7.32	Q218	110
Russian Federation	317468.0	3.26	Q159	111
Rwanda	10635.0	1.51	Q1037	112
Samoa	126.0	1.13	Q683	113
Sao Tome and Principe	265.0	2.3	Q1039	114
Saudi Arabia	12116.0	0.5	Q851	115
Senegal	4003.0	0.47	Q1041	116
Serbia	8671.0	1.88	Q403	117
Seychelles	344.0	5.17	Q1042	118
Sierra Leone	1980.0	0.46	Q1044	119
Singapore	43046.0	10.01	Q334	120
Slovak Republic	19720.0	5.25	Q214	121
Slovenia	4182.0	3.09	Q215	122
South Africa	376727.0	10.21	Q258	123
South Sudan	1765.0	0.3	Q958	124
Spain	94676.0	3.07	Q29	125
Sri Lanka	10510.0	0.74	Q854	126
St. Lucia	350.0	2.69	Q760	127
St. Vincent and the Grenadines	118.0	1.6	Q757	128
Suriname	860.0	2.29	Q730	129
Sweden	45590.0	7.18	Q34	130
Switzerland	25637.0	4.53	Q39	131
Tajikistan	831.0	0.15	Q863	132
Tanzania	5276.0	0.18	Q924	133
Thailand	55589.0	1.13	Q869	134
Timor-Leste	2889.0	4.43	Q574	135
Togo	2587.0	0.59	Q945	136
Tonga	49.0	0.84	Q678	137
Tunisia	13134.0	1.68	Q948	138
Turkey	85798.0	1.56	Q43	139
Uganda	18862.0	0.86	Q1036	140
Ukraine	51349.0	1.68	Q212	141
United Arab Emirates	24716.0	3.04	Q878	142
United Kingdom	664974.0	15.65	Q145	143
Uruguay	2796.0	1.26	Q77	144
Uzbekistan	35968.0	1.63	Q265	145
Vanuatu	258.0	1.53	Q686	146
Vietnam	73422.0	1.12	Q881	147
Zambia	10236.0	1.11	Q953	148
Zimbabwe	16810.0	2.13	Q954	149
