Country	Exclusivebreastfeeding	ID	id_row
Afghanistan	58.0	Q889	0
Albania	37.0	Q222	1
Algeria	25.0	Q262	2
Angola	37.0	Q916	3
Armenia	45.0	Q399	4
Azerbaijan	12.0	Q227	5
Bangladesh	55.0	Q902	6
Belize	33.0	Q242	7
Benin	41.0	Q962	8
Bhutan	51.0	Q917	9
Bolivia	58.0	Q750	10
Botswana	30.0	Q963	11
Burkina Faso	48.0	Q965	12
Burundi	82.0	Q967	13
Cambodia	65.0	Q424	14
Cameroon	28.0	Q1009	15
Central African Republic	29.0	Q929	16
Chad	0.0	Q657	17
China	21.0	Q148	18
Colombia	36.0	Q739	19
Congo, Dem. Rep.	47.0	Q974	20
Congo, Rep.	33.0	Q971	21
Cote d'Ivoire	23.0	Q1008	22
Cuba	33.0	Q241	23
Dominican Republic	5.0	Q786	24
Egypt, Arab Rep.	40.0	Q79	25
El Salvador	47.0	Q792	26
Eswatini	64.0	Q1050	27
Ethiopia	57.0	Q115	28
Gambia, The	47.0	Q1005	29
Ghana	52.0	Q117	30
Guatemala	53.0	Q774	31
Guinea	33.0	Q1006	32
Guinea-Bissau	53.0	Q1007	33
Guyana	21.0	Q734	34
Haiti	40.0	Q790	35
India	55.0	Q668	36
Indonesia	51.0	Q252	37
Iraq	26.0	Q796	38
Jordan	25.0	Q810	39
Kazakhstan	38.0	Q232	40
Kenya	61.0	Q114	41
Korea, Dem. Peopleâ€™s Rep.	71.0	Q423	42
Kyrgyz Republic	46.0	Q813	43
Lao PDR	44.0	Q819	44
Lesotho	67.0	Q1013	45
Liberia	55.0	Q1014	46
Madagascar	42.0	Q1019	47
Malawi	59.0	Q1020	48
Malaysia	40.0	Q833	49
Maldives	63.0	Q826	50
Mali	40.0	Q912	51
Marshall Islands	43.0	Q709	52
Mauritania	40.0	Q1025	53
Mexico	30.0	Q96	54
Mongolia	59.0	Q711	55
Montenegro	17.0	Q236	56
Morocco	35.0	Q1028	57
Mozambique	41.0	Q1029	58
Myanmar	51.0	Q836	59
Namibia	48.0	Q1030	60
Nepal	65.0	Q837	61
Nigeria	29.0	Q1033	62
Oman	23.0	Q842	63
Pakistan	48.0	Q843	64
Panama	22.0	Q804	65
Paraguay	30.0	Q733	66
Peru	66.0	Q419	67
Rwanda	87.0	Q1037	68
Samoa	70.0	Q683	69
Sao Tome and Principe	72.0	Q1039	70
Senegal	42.0	Q1041	71
Serbia	13.0	Q403	72
Sierra Leone	47.0	Q1044	73
Solomon Islands	76.0	Q685	74
South Africa	32.0	Q258	75
Sri Lanka	82.0	Q854	76
Sudan	55.0	Q1049	77
Tajikistan	36.0	Q863	78
Tanzania	59.0	Q924	79
Thailand	23.0	Q869	80
Timor-Leste	50.0	Q574	81
Togo	57.0	Q945	82
Tunisia	14.0	Q948	83
Turkey	30.0	Q43	84
Turkmenistan	58.0	Q874	85
Uganda	66.0	Q1036	86
United States	35.0	Q30	87
Vanuatu	73.0	Q686	88
Vietnam	24.0	Q881	89
West Bank and Gaza	38.0	Q407199	90
Yemen, Rep.	10.0	Q805	91
Zambia	70.0	Q953	92
Zimbabwe	47.0	Q954	93
