Country	2019	2018	2017	2016	2015	2014	2013	2012	ID	id_row
New Zealand	87.0	87.0	89.0	90.0	91.0	91.0	91.0	90.0	Q664	0
Denmark	87.0	88.0	88.0	90.0	91.0	92.0	91.0	90.0	Q35	1
Finland	86.0	85.0	85.0	89.0	90.0	89.0	89.0	90.0	Q33	2
Singapore	85.0	85.0	84.0	84.0	85.0	84.0	86.0	87.0	Q334	3
Switzerland	85.0	85.0	85.0	86.0	86.0	86.0	85.0	86.0	Q39	4
Sweden	85.0	85.0	84.0	88.0	89.0	87.0	89.0	88.0	Q34	5
Norway	84.0	84.0	85.0	85.0	87.0	86.0	86.0	85.0	Q20	6
Netherlands	82.0	82.0	82.0	83.0	87.0	83.0	83.0	84.0	Q55	7
Luxembourg	80.0	81.0	82.0	81.0	81.0	82.0	80.0	80.0	Q32	8
Germany	80.0	80.0	81.0	81.0	81.0	79.0	78.0	79.0	Q183	9
Iceland	78.0	76.0	77.0	78.0	79.0	79.0	78.0	82.0	Q189	10
Canada	77.0	81.0	82.0	82.0	83.0	81.0	81.0	84.0	Q16	11
United Kingdom	77.0	80.0	82.0	81.0	81.0	78.0	76.0	74.0	Q145	12
Australia	77.0	77.0	77.0	79.0	79.0	80.0	81.0	85.0	Q408	13
Austria	77.0	76.0	75.0	75.0	76.0	72.0	69.0	69.0	Q40	14
Hong Kong	76.0	76.0	77.0	77.0	75.0	74.0	75.0	77.0	Q8646	15
Belgium	75.0	75.0	75.0	77.0	77.0	76.0	75.0	75.0	Q31	16
Ireland	74.0	73.0	74.0	73.0	75.0	74.0	72.0	69.0	Q27	17
Estonia	74.0	73.0	71.0	70.0	70.0	69.0	68.0	64.0	Q191	18
Japan	73.0	73.0	73.0	72.0	75.0	76.0	74.0	74.0	Q17	19
Uruguay	71.0	70.0	70.0	71.0	74.0	73.0	73.0	72.0	Q77	20
United Arab Emirates	71.0	70.0	71.0	66.0	70.0	70.0	69.0	68.0	Q878	21
France	69.0	72.0	70.0	69.0	70.0	69.0	71.0	71.0	Q142	22
United States	69.0	71.0	75.0	74.0	76.0	74.0	73.0	73.0	Q30	23
Bhutan	68.0	68.0	67.0	65.0	65.0	65.0	63.0	63.0	Q917	24
Chile	67.0	67.0	67.0	66.0	70.0	73.0	71.0	72.0	Q298	25
Taiwan	65.0	63.0	63.0	61.0	62.0	61.0	61.0	61.0	Q865	26
Spain	62.0	58.0	57.0	58.0	58.0	60.0	59.0	65.0	Q29	27
Portugal	62.0	64.0	63.0	62.0	63.0	63.0	62.0	63.0	Q45	28
Qatar	62.0	62.0	63.0	61.0	71.0	69.0	68.0	68.0	Q846	29
Botswana	61.0	61.0	61.0	60.0	63.0	63.0	64.0	65.0	Q963	30
Israel	60.0	61.0	62.0	64.0	61.0	60.0	61.0	60.0	Q801	31
Slovenia	60.0	60.0	61.0	61.0	60.0	58.0	57.0	61.0	Q215	32
Lithuania	60.0	59.0	59.0	59.0	61.0	58.0	57.0	54.0	Q37	33
South Korea	59.0	57.0	54.0	53.0	56.0	55.0	55.0	56.0	Q884	34
Poland	58.0	60.0	60.0	62.0	62.0	61.0	60.0	58.0	Q36	35
Cyprus	58.0	59.0	57.0	55.0	61.0	63.0	63.0	66.0	Q229	36
Cape Verde	58.0	57.0	55.0	59.0	55.0	57.0	58.0	60.0	Q1011	37
Czech Republic	56.0	59.0	57.0	55.0	56.0	51.0	48.0	49.0	Q213	38
Georgia	56.0	58.0	56.0	57.0	52.0	52.0	49.0	52.0	Q230	39
Latvia	56.0	58.0	58.0	57.0	55.0	55.0	53.0	49.0	Q211	40
Costa Rica	56.0	56.0	59.0	58.0	55.0	54.0	53.0	54.0	Q800	41
Malta	54.0	54.0	56.0	55.0	56.0	55.0	56.0	57.0	Q233	42
Rwanda	53.0	56.0	55.0	54.0	54.0	49.0	53.0	53.0	Q1037	43
Italy	53.0	52.0	50.0	47.0	44.0	43.0	43.0	42.0	Q38	44
Saudi Arabia	53.0	49.0	49.0	46.0	52.0	49.0	46.0	44.0	Q851	45
Malaysia	53.0	47.0	47.0	49.0	50.0	52.0	50.0	49.0	Q833	46
Namibia	52.0	53.0	51.0	52.0	53.0	49.0	48.0	48.0	Q1030	47
Oman	52.0	52.0	44.0	45.0	45.0	45.0	47.0	47.0	Q842	48
Mauritius	52.0	51.0	50.0	54.0	53.0	54.0	52.0	57.0	Q1027	49
Slovakia	50.0	50.0	50.0	51.0	51.0	50.0	47.0	46.0	Q214	50
Greece	48.0	45.0	48.0	44.0	46.0	43.0	40.0	36.0	Q41	51
Jordan	48.0	49.0	48.0	48.0	53.0	49.0	45.0	48.0	Q810	52
Cuba	48.0	47.0	47.0	47.0	47.0	46.0	46.0	48.0	Q241	53
Croatia	47.0	48.0	49.0	49.0	51.0	48.0	48.0	46.0	Q224	54
São Tomé and Príncipe	46.0	46.0	46.0	46.0	42.0	42.0	42.0	42.0	Q1039	55
Montenegro	45.0	45.0	46.0	45.0	44.0	42.0	44.0	41.0	Q236	56
Senegal	45.0	45.0	45.0	45.0	44.0	43.0	41.0	36.0	Q1041	57
Belarus	45.0	44.0	44.0	40.0	32.0	31.0	29.0	31.0	Q184	58
Argentina	45.0	40.0	39.0	36.0	32.0	34.0	34.0	35.0	Q414	59
Romania	44.0	47.0	48.0	48.0	46.0	43.0	43.0	44.0	Q218	60
South Africa	44.0	43.0	43.0	45.0	44.0	44.0	42.0	43.0	Q258	61
Suriname	44.0	43.0	41.0	45.0	36.0	36.0	36.0	37.0	Q730	62
Hungary	44.0	46.0	45.0	48.0	51.0	54.0	54.0	55.0	Q28	63
Jamaica	43.0	44.0	44.0	39.0	41.0	38.0	38.0	38.0	Q766	64
Tunisia	43.0	43.0	42.0	41.0	38.0	40.0	41.0	41.0	Q948	65
Bulgaria	43.0	42.0	43.0	41.0	41.0	43.0	41.0	41.0	Q219	66
Bahrain	42.0	36.0	36.0	43.0	51.0	49.0	48.0	51.0	Q398	67
Armenia	42.0	35.0	35.0	33.0	35.0	37.0	36.0	34.0	Q399	68
Morocco	41.0	43.0	40.0	37.0	36.0	39.0	37.0	37.0	Q1028	69
India	41.0	41.0	40.0	40.0	38.0	38.0	36.0	36.0	Q668	70
Ghana	41.0	41.0	40.0	43.0	47.0	48.0	46.0	45.0	Q117	71
Benin	41.0	40.0	39.0	36.0	37.0	39.0	36.0	36.0	Q962	72
China	41.0	39.0	41.0	40.0	37.0	36.0	40.0	39.0	Q148	73
Burkina Faso	40.0	41.0	42.0	42.0	38.0	38.0	38.0	38.0	Q965	74
Kuwait	40.0	41.0	39.0	41.0	49.0	44.0	43.0	44.0	Q817	75
Indonesia	40.0	38.0	37.0	37.0	36.0	34.0	32.0	32.0	Q252	76
Guyana	40.0	37.0	38.0	34.0	29.0	30.0	27.0	28.0	Q734	77
Lesotho	40.0	41.0	42.0	39.0	44.0	49.0	49.0	45.0	Q1013	78
Trinidad and Tobago	40.0	41.0	41.0	35.0	39.0	38.0	38.0	39.0	Q754	79
Serbia	39.0	39.0	41.0	42.0	40.0	41.0	42.0	39.0	Q403	80
Turkey	39.0	41.0	40.0	41.0	42.0	45.0	50.0	49.0	Q43	81
East Timor	38.0	35.0	38.0	35.0	28.0	28.0	30.0	33.0	Q574	82
Sri Lanka	38.0	38.0	38.0	36.0	37.0	38.0	37.0	40.0	Q854	83
Ecuador	38.0	34.0	32.0	31.0	32.0	33.0	35.0	32.0	Q736	84
Vietnam	37.0	33.0	35.0	33.0	31.0	31.0	31.0	31.0	Q881	85
Colombia	37.0	36.0	37.0	37.0	37.0	37.0	36.0	36.0	Q739	86
Tanzania	37.0	36.0	36.0	32.0	30.0	31.0	33.0	35.0	Q924	87
Ethiopia	37.0	34.0	35.0	34.0	33.0	33.0	33.0	33.0	Q115	88
Gambia	37.0	37.0	30.0	26.0	28.0	29.0	28.0	34.0	Q1005	89
