Country	billions	percapita	ID	id_row
Afghanistan	2.9	0.5	Q889	0
Albania	2.2	2.7	Q222	1
Algeria	0.8	-1.1	Q262	2
American Samoa	2.2	2.5	Q16641	3
Andorra	1.8	1.7	Q228	4
Angola	-0.9	-4.0	Q916	5
Antigua and Barbuda	4.7	3.8	Q781	6
Argentina	-2.2	-3.1	Q414	7
Armenia	7.6	7.4	Q399	8
Aruba	2.0	1.5	Q21203	9
Australia	1.9	0.4	Q408	10
Austria	1.6	1.2	Q40	11
Azerbaijan	2.2	1.4	Q227	12
Bahamas, The	1.8	0.8	Q778	13
Bahrain	1.8	-2.6	Q398	14
Bangladesh	8.2	7.0	Q902	15
Barbados	-0.1	-0.2	Q244	16
Belarus	1.2	1.4	Q184	17
Belgium	1.4	0.9	Q31	18
Belize	0.3	-1.6	Q242	19
Benin	6.9	4.0	Q962	20
Bhutan	3.0	1.8	Q917	21
Bolivia	2.2	0.8	Q750	22
Bosnia and Herzegovina	2.6	3.3	Q225	23
Botswana	3.0	0.8	Q963	24
Brazil	1.1	0.4	Q155	25
Brunei Darussalam	3.9	2.8	Q921	26
Bulgaria	3.4	4.1	Q219	27
Burkina Faso	5.7	2.7	Q965	28
Burundi	1.8	-1.3	Q967	29
Cambodia	7.1	5.5	Q424	30
Cameroon	4.0	1.4	Q1009	31
Canada	1.7	0.2	Q16	32
Cabo Verde	5.7	4.5	Q1011	33
Cayman Islands	3.3	2.0	Q5785	34
Central African Republic	3.0	1.3	Q929	35
Chad	3.2	0.2	Q657	36
Chile	1.1	-0.1	Q298	37
China	6.1	5.7	Q148	38
Hong Kong SAR, China	-1.2	-1.9	Q8646	39
Macao SAR, China	-4.7	-6.0	Q14773	40
Colombia	3.3	1.9	Q739	41
Comoros	2.7	0.5	Q970	42
Congo, Dem. Rep.	4.4	1.1	Q974	43
Congo, Rep.	-0.9	-3.4	Q971	44
Costa Rica	2.1	1.1	Q800	45
Cote d'Ivoire	6.9	4.2	Q1008	46
Croatia	2.9	3.5	Q224	47
Cuba	2.2	2.3	Q241	48
Curacao	-2.2	-1.9	Q25279	49
Cyprus	3.2	1.9	Q229	50
Czech Republic	2.6	2.2	Q213	51
Denmark	2.4	1.9	Q35	52
Djibouti	7.5	5.9	Q977	53
Dominica	5.7	5.4	Q784	54
Dominican Republic	5.1	4.0	Q786	55
Ecuador	0.1	-1.6	Q736	56
Egypt, Arab Rep.	5.6	3.5	Q79	57
El Salvador	2.4	1.9	Q792	58
Equatorial Guinea	-5.6	-8.8	Q983	59
Estonia	4.3	4.0	Q191	60
Eswatini	2.0	1.0	Q1050	61
Ethiopia	8.3	5.5	Q115	62
Fiji	1.1	0.3	Q712	63
Finland	1.0	0.9	Q33	64
France	1.5	1.4	Q142	65
Gabon	3.4	0.9	Q1000	66
Gambia, The	6.0	2.9	Q1005	67
Georgia	5.1	5.3	Q230	68
Germany	0.6	0.3	Q183	69
Ghana	6.5	4.2	Q117	70
Greece	1.9	2.0	Q41	71
Greenland	3.2	3.5	Q223	72
Grenada	3.1	2.6	Q769	73
Guam	-0.3	-1.2	Q16635	74
Guatemala	3.8	2.2	Q774	75
Guinea	5.6	2.6	Q1006	76
Guinea-Bissau	4.6	2.1	Q1007	77
Guyana	4.7	4.2	Q734	78
Haiti	-0.9	-2.2	Q790	79
Honduras	2.7	1.0	Q783	80
Hungary	4.9	5.0	Q28	81
Iceland	1.9	-0.5	Q189	82
India	5.0	4.0	Q668	83
Indonesia	5.0	3.9	Q252	84
Iran, Islamic Rep.	3.8	2.3	Q794	85
Iraq	4.4	2.1	Q796	86
Ireland	5.5	4.0	Q27	87
Isle of Man	3.6	3.2	Q9676	88
Israel	3.5	1.6	Q801	89
Italy	0.3	0.5	Q38	90
Jamaica	0.7	0.2	Q766	91
Japan	0.7	0.9	Q17	92
Jordan	2.0	0.5	Q810	93
Kazakhstan	4.5	3.2	Q232	94
Kenya	5.4	3.0	Q114	95
Kiribati	2.2	0.7	Q710	96
Korea, Rep.	2.0	1.8	Q884	97
Kosovo	4.2	4.3	Q1246	98
Kuwait	0.4	-1.3	Q817	99
Kyrgyz Republic	4.5	2.3	Q813	100
Lao PDR	4.7	3.1	Q819	101
Latvia	2.2	3.0	Q211	102
Lebanon	-5.6	-5.7	Q822	103
Lesotho	1.5	0.7	Q1013	104
Liberia	-2.3	-4.6	Q1014	105
Libya	2.5	1.0	Q1016	106
Lithuania	3.9	4.5	Q37	107
Luxembourg	2.3	0.3	Q32	108
Madagascar	4.8	2.1	Q1019	109
Malawi	4.4	1.6	Q1020	110
Malaysia	4.3	3.0	Q833	111
Maldives	5.2	2.2	Q826	112
Mali	5.0	1.9	Q912	113
Malta	4.4	0.6	Q233	114
Marshall Islands	3.6	3.0	Q709	115
Mauritania	5.9	3.1	Q1025	116
Mauritius	3.6	3.5	Q1027	117
Mexico	-0.1	-1.2	Q96	118
Micronesia, Fed. Sts.	0.2	-0.8	Q702	119
Moldova	3.5	5.3	Q217	120
Monaco	6.1	5.3	Q235	121
Mongolia	5.1	3.3	Q711	122
Montenegro	3.6	3.6	Q236	123
Morocco	2.3	1.0	Q1028	124
Mozambique	2.2	-0.7	Q1029	125
Myanmar	2.9	2.2	Q836	126
Namibia	-1.1	-3.0	Q1030	127
Nauru	0.0	1.0	Q697	128
Nepal	7.0	5.0	Q837	129
Netherlands	1.8	1.2	Q55	130
New Zealand	2.2	0.6	Q664	131
Nicaragua	-3.9	-5.1	Q811	132
Niger	5.8	1.9	Q1032	133
Nigeria	2.2	-0.4	Q1033	134
North Macedonia	3.6	3.5	Q221	135
Northern Mariana Islands	-19.6	-20.1	Q16644	136
Norway	1.2	0.5	Q20	137
Oman	0.5	-2.4	Q842	138
Pakistan	1.0	-1.0	Q843	139
Palau	1.7	1.1	Q695	140
Panama	3.0	1.3	Q804	141
Papua New Guinea	5.6	3.6	Q691	142
Paraguay	0.0	-1.3	Q733	143
Peru	2.2	0.5	Q419	144
Philippines	6.0	4.6	Q928	145
Poland	4.1	4.2	Q36	146
Portugal	2.2	2.3	Q45	147
Puerto Rico	1.2	1.2	Q1183	148
Qatar	-0.2	-2.0	Q846	149
Romania	4.1	4.7	Q218	150
Russian Federation	1.3	1.4	Q159	151
Rwanda	9.4	6.6	Q1037	152
Samoa	3.5	3.0	Q683	153
San Marino	1.2	0.8	Q238	154
Sao Tome and Principe	2.4	0.5	Q1039	155
Saudi Arabia	0.3	-1.3	Q851	156
Senegal	5.3	2.4	Q1041	157
Serbia	4.2	4.8	Q403	158
Seychelles	4.7	3.8	Q1042	159
Sierra Leone	5.5	3.3	Q1044	160
Singapore	0.7	-0.4	Q334	161
Sint Maarten (Dutch part)	-8.4	-9.8	Q26273	162
Slovak Republic	2.4	2.3	Q214	163
Slovenia	2.4	1.8	Q215	164
Solomon Islands	2.7	0.1	Q685	165
South Africa	0.2	-1.2	Q258	166
Spain	2.0	1.4	Q29	167
Sri Lanka	2.3	1.7	Q854	168
St. Kitts and Nevis	2.5	1.8	Q763	169
St. Lucia	1.7	1.2	Q760	170
St. Vincent and the Grenadines	0.3	0.0	Q757	171
Sudan	-2.6	-4.9	Q1049	172
Suriname	-0.8	-1.7	Q730	173
Sweden	1.2	0.1	Q34	174
Switzerland	0.9	0.2	Q39	175
Tajikistan	7.0	4.5	Q863	176
Tanzania	5.8	2.7	Q924	177
Thailand	2.4	2.1	Q869	178
Timor-Leste	3.4	1.4	Q574	179
Togo	5.3	2.8	Q945	180
Tonga	0.3	-0.9	Q678	181
Trinidad and Tobago	0.0	-0.4	Q754	182
Tunisia	1.0	-0.1	Q948	183
Turkey	0.9	-0.5	Q43	184
Turkmenistan	6.2	4.5	Q874	185
Turks and Caicos Islands	5.3	3.7	Q18221	186
Tuvalu	9.8	8.5	Q672	187
Uganda	6.5	2.8	Q1036	188
Ukraine	3.2	3.8	Q212	189
United Arab Emirates	1.7	0.2	Q878	190
United Kingdom	1.4	0.8	Q145	191
United States	2.3	1.8	Q30	192
Uruguay	0.2	-0.1	Q77	193
Uzbekistan	5.6	3.6	Q265	194
Vanuatu	2.9	0.4	Q686	195
Vietnam	7.0	6.0	Q881	196
Virgin Islands (U.S.)	-1.7	-1.5	Q11703	197
West Bank and Gaza	0.9	-1.6	Q407199	198
Yemen, Rep.	0.8	-1.6	Q805	199
Zambia	1.7	-1.2	Q953	200
Zimbabwe	-8.1	-9.4	Q954	201
