Country	deaths
Afghanistan	27,535
Albania	2,993
Algeria	32,279
American Samoa	86
Andean Latin America	36,141
Andorra	67
Angola	13,735
Antigua and Barbuda	117
Argentina	47,639
Armenia	6,582
Australasia	23,889
Australia	20,075
Austria	14,462
Azerbaijan	17,247
Bahamas	373
Bahrain	991
Bangladesh	109,116
Barbados	557
Belarus	14,638
Belgium	14,698
Belize	316
Benin	4,639
Bermuda	72
Bhutan	425
Bolivia	10,213
Bosnia and Herzegovina	9,49
Botswana	1,777
Brazil	131,163
Brunei	415
Bulgaria	17,412
Burkina Faso	9,53
Burundi	5,061
Cambodia	12,367
Cameroon	11,294
Canada	36,53
Cape Verde	352
Caribbean	56,182
Central African Republic	4,579
Central Asia	129,47
Central Europe	221,775
Central Latin America	260,276
Central Sub-Saharan Africa	72,512
Chad	5,581
Chile	16,147
China	891,047
Colombia	20,405
Comoros	539
Congo	3,947
Costa Rica	2,169
Cote d'Ivoire	10,809
Croatia	9,614
Cuba	11,139
Cyprus	1,566
Czech Republic	21,703
Democratic Republic of Congo	48,204
Denmark	8,477
Djibouti	627
Dominica	129
Dominican Republic	9,928
East Asia	955,627
Eastern Europe	399,336
Eastern Sub-Saharan Africa	158,531
Ecuador	13,501
Egypt	102,942
El Salvador	7,504
England	58,599
Equatorial Guinea	524
Eritrea	3,035
Estonia	2,556
Ethiopia	31,269
Fiji	2,571
Finland	8,901
France	65,807
Gabon	1,523
Gambia	1,185
Georgia	11,936
Germany	155,36
Ghana	17,736
Greece	19,42
Greenland	41
Grenada	262
Guam	301
Guatemala	14,294
Guinea	6,744
Guinea-Bissau	1,017
Guyana	1,22
Haiti	12,66
High SDI	1.40 million
High-income	1.32 million
High-income Asia Pacific	161,002
High-middle SDI	1.34 million
Honduras	4,894
Hungary	21,434
Iceland	330
India	1.00 million
Indonesia	333,49
Iran	71,194
Iraq	21,106
Ireland	4,655
Israel	8,908
Italy	104,405
Jamaica	5,284
Japan	114,24
Jordan	5,201
Kazakhstan	20,919
Kenya	20,047
Kiribati	249
Kuwait	1,205
Kyrgyzstan	5,308
Laos	6,368
Latin America and Caribbean	489,969
Latvia	4,78
Lebanon	7,398
Lesotho	2,998
Liberia	2,122
Libya	6,87
Lithuania	5,747
Low SDI	640,579
Low-middle SDI	1.26 million
Luxembourg	664
Macedonia	4,433
Madagascar	11,664
Malawi	8,828
Malaysia	19,366
Maldives	206
Mali	7,575
Malta	855
Marshall Islands	97
Mauritania	1,995
Mauritius	3,7
Mexico	176,934
Micronesia (country)	189
Middle SDI	1.86 million
Moldova	6,932
Mongolia	2,325
Montenegro	1,511
Morocco	51,256
Mozambique	15,413
Myanmar	65,988
Namibia	1,825
Nepal	17,698
Netherlands	21,354
New Zealand	3,814
Nicaragua	4,459
Niger	6,051
Nigeria	46,112
North Africa and Middle East	487,095
North America	456,907
North Korea	22,288
Northern Ireland	2,044
Northern Mariana Islands	66
Norway	5,852
Oceania	19,362
Oman	2,056
Pakistan	161,494
Palestine	3,19
Panama	2,816
Papua New Guinea	13,024
Paraguay	6,207
Peru	12,427
Philippines	125,939
Poland	65,171
Portugal	20,961
Puerto Rico	7,124
Qatar	676
Romania	29,894
Russia	257,066
Rwanda	4,632
Saint Lucia	268
Saint Vincent and the Grenadines	233
Samoa	269
Sao Tome and Principe	91
Saudi Arabia	16,065
Scotland	6,764
Senegal	8,135
Serbia	28,519
Seychelles	112
Sierra Leone	3,986
Singapore	2,085
Slovakia	7,253
Slovenia	2,348
Solomon Islands	843
Somalia	9,821
South Africa	56,263
South Asia	1.29 million
South Korea	44,263
South Sudan	4,873
Southeast Asia	753,85
Southern Latin America	68,735
Southern Sub-Saharan Africa	74,997
Spain	58,741
Sri Lanka	29,918
Sub-Saharan Africa	454,139
Sudan	24,259
Suriname	809
Swaziland	1,366
Sweden	15,101
Switzerland	10,15
Syria	14,84
Taiwan	26,897
Tajikistan	7,906
Tanzania	22,463
Thailand	55,472
Timor	1,069
Togo	3,141
Tonga	185
Trinidad and Tobago	3,425
Tropical Latin America	137,37
Tunisia	14,141
Turkey	62,393
Turkmenistan	7,113
Uganda	12,587
Ukraine	107,617
United Arab Emirates	3,919
United Kingdom	71,546
United States	420,328
United States Virgin Islands	246
Uruguay	4,946
Uzbekistan	50,135
Vanuatu	414
Venezuela	26,801
Vietnam	98,864
Wales	4,139
Western Europe	612,914
Western Sub-Saharan Africa	148,099
Yemen	17,126
Zambia	7,573
Zimbabwe	10,768
