Country	deaths
Afghanistan	11,225
Albania	785
Algeria	7,652
American Samoa	11
Andean Latin America	5,359
Andorra	10
Angola	2,704
Antigua and Barbuda	8
Argentina	7,583
Armenia	1,364
Australasia	5,688
Australia	4,798
Austria	1,741
Azerbaijan	4,916
Bahamas	11
Bahrain	87
Bangladesh	69,563
Barbados	74
Belarus	8,18
Belgium	3,276
Belize	47
Benin	1,634
Bermuda	2
Bhutan	180
Bolivia	1,967
Bosnia and Herzegovina	2,035
Botswana	413
Brazil	31,505
Brunei	75
Bulgaria	8,293
Burkina Faso	3,826
Burundi	1,803
Cambodia	5,388
Cameroon	2,653
Canada	6,094
Cape Verde	96
Caribbean	8,442
Central African Republic	1,383
Central Asia	47,715
Central Europe	71,424
Central Latin America	34,427
Central Sub-Saharan Africa	20,277
Chad	2,659
Chile	3,528
China	718,507
Colombia	4,283
Comoros	179
Congo	987
Costa Rica	427
Cote d'Ivoire	3,487
Croatia	2,034
Cuba	1,763
Cyprus	271
Czech Republic	5,296
Democratic Republic of Congo	15,054
Denmark	1,024
Djibouti	238
Dominica	15
Dominican Republic	432
East Asia	751,26
Eastern Europe	192,359
Eastern Sub-Saharan Africa	51,172
Ecuador	809
Egypt	20,284
El Salvador	1,162
England	14,804
Equatorial Guinea	37
Eritrea	1,087
Estonia	624
Ethiopia	12,026
Fiji	539
Finland	1,875
France	13,606
Gabon	112
Gambia	541
Georgia	3,929
Germany	32,788
Ghana	1,452
Greece	3,013
Greenland	12
Grenada	31
Guam	24
Guatemala	2,316
Guinea	1,876
Guinea-Bissau	414
Guyana	318
Haiti	3,446
High SDI	305,543
High-income	268,866
High-income Asia Pacific	50,924
High-middle SDI	607,757
Honduras	1,522
Hungary	6,333
Iceland	50
India	398,063
Indonesia	99,894
Iran	8,143
Iraq	7,119
Ireland	673
Israel	682
Italy	12,053
Jamaica	662
Japan	41,84
Jordan	1,274
Kazakhstan	10,208
Kenya	5,837
Kiribati	71
Kuwait	415
Kyrgyzstan	2,737
Laos	2,02
Latin America and Caribbean	80,982
Latvia	1,865
Lebanon	1,154
Lesotho	898
Liberia	765
Libya	1,772
Lithuania	2,362
Low SDI	292,754
Low-middle SDI	490,201
Luxembourg	35
Macedonia	1,02
Madagascar	6,547
Malawi	2,417
Malaysia	7,618
Maldives	37
Mali	3,159
Malta	143
Marshall Islands	29
Mauritania	763
Mauritius	597
Mexico	17,183
Micronesia (country)	50
Middle SDI	713,921
Moldova	3,293
Mongolia	1,783
Montenegro	166
Morocco	8,269
Mozambique	6,596
Myanmar	16,76
Namibia	511
Nepal	7,908
Netherlands	3,186
New Zealand	890
Nicaragua	905
Niger	2,796
Nigeria	16,276
North Africa and Middle East	109,431
North America	91,258
North Korea	16,725
Northern Ireland	506
Northern Mariana Islands	9
Norway	770
Oceania	6,25
Oman	54
Pakistan	73,998
Palestine	803
Panama	515
Papua New Guinea	4,714
Paraguay	1,249
Peru	2,583
Philippines	20,99
Poland	21,061
Portugal	3,139
Puerto Rico	593
Qatar	33
Romania	14,933
Russia	118,512
Rwanda	284
Saint Lucia	35
Saint Vincent and the Grenadines	31
Samoa	58
Sao Tome and Principe	40
Saudi Arabia	4,217
Scotland	2,027
Senegal	3,02
Serbia	6,193
Seychelles	20
Sierra Leone	1,712
Singapore	553
Slovakia	2,825
Slovenia	449
Solomon Islands	230
Somalia	3,869
South Africa	14,418
South Asia	549,713
South Korea	8,457
South Sudan	1,575
Southeast Asia	205,366
Southern Latin America	12,099
Southern Sub-Saharan Africa	19,788
Spain	8,114
Sri Lanka	6,868
Sub-Saharan Africa	140,081
Sudan	10,194
Suriname	159
Swaziland	237
Sweden	2,209
Switzerland	1,714
Syria	5,745
Taiwan	3,926
Tajikistan	3,297
Tanzania	4,937
Thailand	10,582
Timor	481
Togo	1,674
Tonga	29
Trinidad and Tobago	499
Tropical Latin America	32,754
Tunisia	3,201
Turkey	8,135
Turkmenistan	2,44
Uganda	1,18
Ukraine	57,524
United Arab Emirates	1,028
United Kingdom	18,411
United States	85,151
United States Virgin Islands	11
Uruguay	988
Uzbekistan	17,04
Vanuatu	141
Venezuela	6,114
Vietnam	33,84
Wales	1,074
Western Europe	108,897
Western Sub-Saharan Africa	48,845
Yemen	8,525
Zambia	2,563
Zimbabwe	3,312
