Country	% of people who paid bribes
Australia	1
Denmark	1
Finland	1
Japan	1
Spain	2
Canada	3
South Korea	3
Malaysia	3
Maldives	3
New Zealand	3
Norway	3
Uruguay	3
Portugal	3
Belgium	4
Croatia	4
Georgia	4
Italy	5
United Kingdom	5
Estonia	6
Slovenia	6
Switzerland	7
United States	7
Bulgaria	8
Chile	10
El Salvador	12
Hungary	12
Israel	12
Palestine	12
Jamaica	12
Philippines	12
Argentina	13
Rwanda	13
Vanuatu	13
Czech Republic	15
Kosovo	16
North Macedonia	17
Romania	17
Sudan	17
Armenia	18
Thailand	18
Tunisia	18
Cyprus	19
Latvia	19
Sri Lanka	19
Peru	20
Slovakia	21
Turkey	21
Colombia	22
Greece	22
Paraguay	25
Lithuania	26
Serbia	26
Papua New Guinea	27
Venezuela	27
Bosnia and Herzegovina	28
Madagascar	28
Iraq	29
Moldova	29
Vietnam	30
Nepal	31
Mexico	33
Kazakhstan	34
Pakistan	34
Solomon Islands	34
Bolivia	36
Egypt	36
Indonesia	36
Taiwan	36
Ukraine	37
Jordan	37
Bangladesh	39
South Sudan	39
Algeria	41
Nigeria	44
Ethiopia	44
Mongolia	45
Kyrgyzstan	45
Afghanistan	46
DR Congo	46
South Africa	47
Morocco	49
India	54
Ghana	54
Tanzania	56
Cambodia	57
Senegal	57
Uganda	61
Cameroon	62
Libya	62
Zimbabwe	62
Mozambique	62
Kenya	70
Yemen	74
Liberia	75
Sierra Leone	84
