Country	Score
Sweden	75.77
Denmark	71.14
Morocco	70.63
United Kingdom	69.80
Lithuania	66.22
India	66.02
Finland	63.25
Chile	62.88
Norway	61.14
Luxembourg	60.91
Malta	60.60
Latvia	60.75
Switzerland	60.61
Ukraine	60.60
France	57.90
Egypt	57.53
Croatia	56.97
Brazil	55.82
European Union (28)	55.82
Germany	55.78
Romania	54.85
Portugal	54.10
Italy	53.92
Slovak Republic	52.69
Greece	52.59
Netherlands	50.89
China	48.16
Estonia	48.05
Mexico	47.01
Thailand	46.76
Spain	46.03
Belgium	45.73
South Africa	45.67
New Zealand	45.67
Austria	44.74
Indonesia	44.65
Belarus	44.18
Ireland	44.04
Argentina	43.77
Czech Republic	42.93
Slovenia	41.91
Cyprus	41.66
Algeria	41.45
Hungary	41.17
Turkey	40.76
Bulgaria	40.12
Poland	39.98
Japan	39.03
Russia	37.85
Malaysia	34.21
Kazakhstan	33.39
Canada	31.01
Australia	30.75
Iran	28.41
South Korea	26.75
Chinese Taipei	23.33
Saudi Arabia	23.03
United States	18.60
