Country	Median wealth	Mean wealth 	Adult population 
Switzerland	227,891	564,653	6,866
Australia	181,361	386,058	18,655
Iceland	165,961	380,868	250
Hong Kong	146,887	489,258	6,267
Luxembourg	139,789	358,003	461
Belgium	117,093	246,135	8,913
New Zealand	116,433	304,124	3,525
Japan	110,408	238,104	104,963
Canada	107,004	294,255	29,136
Ireland	104,842	272,31	3,491
France	101,942	276,121	49,722
United Kingdom	97,452	280,049	51,209
Singapore	96,967	297,873	4,637
Spain	95,36	207,531	37,45
Austria	94,07	274,919	7,092
Italy	91,889	234,139	48,509
Malta	76,016	143,566	349
South Korea	72,198	175,015	41,721
Norway	70,627	267,348	4,1
Taiwan	70,191	210,525	19,296
Qatar	69,671	147,745	2,223
United States	65,904	432,365	245,14
Denmark	58,784	284,022	4,475
Israel	58,066	196,568	5,499
Finland	55,532	183,124	4,341
Slovenia	50,38	122,508	1,675
Kuwait	46,218	131,269	3,086
Portugal	44,025	131,088	8,373
Sweden	41,582	265,26	7,723
Slovakia	40,432	66,171	4,34
Greece	40	96,11	9,021
United Arab Emirates	35,315	117,06	7,874
Germany	35,313	216,654	67,668
Netherlands	31,057	279,077	13,326
Bahrain	30,946	87,108	1,219
Croatia	29,183	62,804	3,329
Cyprus	28,803	116,207	918
Estonia	24,915	78,458	1,028
Montenegro	24,242	53,484	477
Poland	22,6	57,873	30,598
Seychelles	22,572	57,835	68
Lithuania	22,261	50,254	2,296
Aruba	21,75	58,033	80
China	20,942	58,544	1,090,231
Mauritius	20,875	50,796	951
Czech Republic	20,854	64,663	8,509
Barbados	20,497	64,658	214
Bahamas	20,129	76,507	292
Tonga	19,709	47,889	59
Romania	19,582	43,074	15,517
Chile	19,231	56,972	13,331
Bulgaria	18,948	42,686	5,697
Hungary	17,666	44,321	7,803
Saudi Arabia	16,599	67,032	23,208
Trinidad and Tobago	14,888	41,094	1,006
Albania	14,731	31,366	2,225
Oman	14,723	43,291	3,608
Brunei	13,634	44,541	304
St. Lucia	13,418	36,586	133
Latvia	13,348	60,347	1,536
Samoa	13,286	37,066	106
Panama	13,259	39,98	2,711
Bosnia and Herzegovina	13,037	27,873	2,815
Grenada	12,218	45,272	71
Lebanon	12,198	55,226	4,205
Costa Rica	11,793	33,683	3,547
Uruguay	11,084	30,32	2,501
Jordan	10,947	26,475	5,512
Serbia	10,737	25,046	6,798
El Salvador	10,148	29,87	4,087
Mexico	9,944	31,553	85,594
Dominica	9,447	33,306	55
Malaysia	8,94	31,27	21,823
Maldives	8,555	23,297	315
Libya	8,33	19,473	4,169
Armenia	8,309	19,517	2,177
Sri Lanka	8,283	20,628	14,408
Belarus	7,931	16,59	7,39
Iraq	7,331	16,54	19,788
Turkmenistan	6,974	15,691	3,607
Antigua and Barbuda	6,961	24,964	71
Jamaica	6,798	20,878	2,002
Kazakhstan	6,642	26,317	12,147
Turkey	6,568	24,398	55,543
South Africa	6,476	21,38	36,027
Ecuador	6,399	19,144	10,725
Fiji	6,126	15,598	580
Vanuatu	6,098	15,09	157
Gabon	6,035	15,113	1,149
Moldova	5,855	12,804	3,193
Equatorial Guinea	5,545	17,023	724
St. Vincent and the Grenadines	5,508	20,088	75
Namibia	5,502	17,22	1,395
Tunisia	5,395	13,853	8,111
Colombia	5,325	16,411	34,254
Solomon Islands	5,26	12,933	321
Iran	5,254	13,437	57,686
Georgia	5,226	12,609	2,932
Azerbaijan	5,15	11,865	6,997
Brazil	5,031	23,55	150,089
Peru	4,989	17,843	21,132
Egypt	4,9	15,395	58,309
Botswana	4,55	14,684	1,409
Morocco	4,01	12,929	23,613
Paraguay	3,887	11,865	4,268
Bolivia	3,843	11,672	6,678
Guyana	3,829	11,349	482
Russia	3,683	27,381	111,481
Vietnam	3,679	11,712	68,085
Kenya	3,553	9,791	25,384
Thailand	3,526	21,853	53,073
Algeria	3,267	9,348	26,983
Belize	3,166	10,864	228
Argentina	3,164	10,256	30,32
India	3,042	14,569	865,783
Nicaragua	3,005	9,279	3,937
Bangladesh	2,787	6,643	104,872
Philippines	2,663	12,063	63,365
Mongolia	2,654	6,135	1,986
Timor-Leste	2,453	5,143	602
Kyrgyzstan	2,412	5,758	3,721
Papua New Guinea	2,12	6,485	4,611
Cambodia	2,029	5,395	9,797
Laos	2,002	6,72	4,042
Indonesia	1,977	10,545	172,908
Eritrea	1,91	4,134	2,526
Zimbabwe	1,843	4,734	8,34
Pakistan	1,766	4,096	113,388
Ghana	1,706	4,292	15,377
Comoros	1,679	5,155	423
Senegal	1,632	4,265	7,763
Tajikistan	1,589	3,602	5,118
Suriname	1,562	6,089	373
Myanmar	1,556	3,323	34,915
Sao Tome and Principe	1,545	3,654	98
Nepal	1,51	3,87	17,585
Yemen	1,467	4,926	14,58
Angola	1,37	3,649	13,403
Ethiopia	1,36	3,085	52,97
Tanzania	1,282	3,069	26,837
Rwanda	1,259	3,435	6,313
Nigeria	1,249	4,881	90,731
Ukraine	1,223	8,792	34,998
Djibouti	1,12	2,936	583
Cameroon	1,036	2,84	11,754
Mauritania	976	2,397	2,31
Congo, Republic of	913	2,701	2,618
Syria	884	2,179	9,664
Benin	845	2,166	5,475
Liberia	820	2,169	2,35
Guinea	802	2,185	6,268
Zambia	784	2,565	7,926
Mali	773	1,955	8,088
Gambia	693	2,141	969
Guinea-Bissau	655	1,647	936
Afghanistan	640	1463	16,838
Madagascar	626	1,61	12,909
Uganda	612	1,603	18,65
Burkina Faso	589	1,44	8,862
Togo	469	1,241	3,909
Malawi	468	1,313	8,798
Niger	463	1,126	8,909
Chad	435	1,167	6,551
Lesotho	384	1,313	1,233
Democratic Republic of the Congo	382	1,084	37,1
Mozambique	352	880	13,814
Sierra Leone	278	693	3,698
Burundi	250	609	5,131
Central African Republic	244	749	2,183
Sudan	218	534	20,474
Haiti	214	723	6,426
