Country	Both sexes	Male	Female
Afghanistan	7056	2437	4620
Albania	168	89	79
Algeria	8390	3985	4405
Angola	2379	1362	1017
Antigua and Barbuda	53	24	29
Argentina	9233	4837	4395
Armenia	1093	431	662
Australia	4754	2493	2261
Austria	3402	1574	1828
Azerbaijan	1475	635	840
Bahamas	119	51	68
Bahrain	404	220	184
Bangladesh	28065	11516	16549
Barbados	286	118	168
Belarus	404	157	247
Belgium	1683	754	929
Belize	160	71	89
Benin	1515	620	895
Bhutan	207	87	120
Bolivia (Plurinational State of)	2867	1264	1603
Bosnia and Herzegovina	2552	1040	1511
Botswana	977	396	581
Brazil	65381	29802	35579
Brunei Darussalam	140	73	67
Bulgaria	1585	688	897
Burkina Faso	2105	1054	1051
Burundi	1251	768	482
Cabo Verde	134	40	94
Cambodia	2192	837	1355
Cameroon	4567	1995	2572
Canada	6941	3751	3191
Central African Republic	642	371	271
Chad	1848	768	1081
Chile	5171	2450	2722
China	167267	68340	98927
Colombia	9732	4538	5195
Comoros	135	76	59
Congo	659	335	323
Costa Rica	916	423	493
Côte d'Ivoire	5598	2393	3204
Croatia	1904	775	1129
Cuba	2388	973	1415
Cyprus	591	287	304
Czechia	3818	1728	2090
Democratic People's Republic of Korea	3182	1465	1717
Democratic Republic of the Congo	7985	5078	2906
Denmark	1485	833	651
Djibouti	185	109	76
Dominican Republic	2453	1144	1309
Ecuador	6507	3002	3504
Egypt	17851	8858	8993
El Salvador	2270	878	1392
Equatorial Guinea	290	185	105
Eritrea	865	506	359
Estonia	152	60	93
Eswatini	739	284	456
Ethiopia	13028	7629	5399
Fiji	1440	756	684
Finland	510	275	235
France	12375	6184	6191
Gabon	394	218	177
Gambia	202	89	112
Georgia	1329	644	685
Germany	24764	11231	13533
Ghana	5693	2985	2708
Greece	1769	889	880
Grenada	82	36	46
Guatemala	6628	2665	3963
Guinea	2105	783	1321
Guinea-Bissau	258	94	164
Guyana	546	234	312
Haiti	3994	1398	2597
Honduras	842	269	573
Hungary	2789	1267	1522
Iceland	28	19	9
India	308985	152030	156954
Indonesia	102800	45549	57250
Iran (Islamic Republic of)	14842	6685	8157
Iraq	7279	3010	4269
Ireland	572	324	247
Israel	2676	1284	1392
Italy	22112	9867	12246
Jamaica	2340	888	1452
Japan	14446	7414	7032
Jordan	2347	1231	1116
Kazakhstan	1334	501	832
Kenya	2288	1426	862
Kiribati	82	36	46
Kuwait	326	175	152
Kyrgyzstan	428	186	242
Lao People's Democratic Republic	1696	533	1163
Latvia	494	177	317
Lebanon	1886	1336	550
Lesotho	1212	444	768
Liberia	606	241	365
Libya	1292	612	680
Lithuania	307	140	167
Luxembourg	89	44	45
Madagascar	2174	1190	984
Malawi	1448	822	626
Malaysia	4635	2123	2512
Maldives	42	21	20
Mali	2438	898	1539
Malta	145	76	69
Mauritania	569	207	362
Mauritius	2372	1273	1099
Mexico	99623	48674	50949
Micronesia (Federated States of)	60	29	31
Mongolia	95	59	36
Montenegro	160	68	92
Morocco	10645	3762	6883
Mozambique	2704	1407	1297
Myanmar	16882	7457	9425
Namibia	831	352	478
Nepal	6555	2591	3964
Netherlands	3030	1447	1584
New Zealand	880	480	400
Nicaragua	1639	642	997
Niger	2548	1117	1431
Nigeria	25811	9991	15821
Norway	681	352	329
Oman	903	539	364
Pakistan	44666	15089	29578
Panama	1428	649	779
Papua New Guinea	2373	952	1420
Paraguay	2414	950	1464
Peru	6062	3005	3057
Philippines	25528	12490	13038
Poland	8721	3821	4900
Portugal	4715	2004	2711
Qatar	359	262	97
Republic of Korea	11986	5793	6193
Republic of Moldova	475	190	285
North Macedonia	927	382	545
Romania	2705	1253	1453
Russian Federation	9812	3136	6676
Rwanda	1435	807	628
Saint Lucia	116	49	67
Saint Vincent and the Grenadines	96	46	50
Samoa	82	45	38
Sao Tome and Principe	13	7	6
Saudi Arabia	3737	2150	1588
Senegal	2167	890	1278
Serbia	3063	1379	1683
Seychelles	21	9	12
Sierra Leone	1433	494	938
Singapore	400	173	227
Slovakia	944	430	514
Slovenia	340	160	180
Solomon Islands	206	96	110
Somalia	1887	1055	832
South Africa	37228	16981	20247
South Sudan	1634	888	746
Spain	10074	4358	5715
Sri Lanka	12399	5450	6949
Sudan	5774	2485	3289
Suriname	254	124	130
Sweden	2124	1155	968
Switzerland	1381	676	705
Syrian Arab Republic	1322	549	774
Tajikistan	809	423	386
Thailand	23929	9619	14310
Timor-Leste	104	40	64
Togo	992	433	559
Tonga	82	35	46
Trinidad and Tobago	1860	894	966
Tunisia	3523	1660	1863
Turkey	21788	9523	12265
Turkmenistan	691	307	384
Uganda	4564	2572	1992
Ukraine	2546	1013	1533
United Arab Emirates	707	522	185
United Kingdom of Great Britain and Northern Ireland	6553	3180	3374
United Republic of Tanzania	6444	3498	2946
United States of America	84332	46499	37833
Uruguay	934	447	487
Uzbekistan	5714	2783	2931
Vanuatu	79	38	40
Venezuela (Bolivarian Republic of)	14933	7678	7255
Viet Nam	20754	7322	13432
Yemen	3854	1585	2269
Zambia	1475	829	646
Zimbabwe	3590	1490	2100
