Country	Male	Female
Afghanistan	126.5	125.1
Albania	136.1	129.4
Algeria	127.6	124.2
Andorra	126.3	117.0
Angola	130.8	128.4
Antigua and Barbuda	129.3	123.2
Argentina	128.4	120.5
Armenia	133.1	128.4
Australia	123.9	115.5
Austria	127.6	120.1
Azerbaijan	130.3	126.2
Bahamas	128.8	121.0
Bahrain	126.8	119.8
Bangladesh	119.5	119.2
Barbados	129.9	124.7
Belarus	134.9	125.5
Belgium	129.5	121.2
Belize	125.8	118.8
Benin	127.8	125.5
Bhutan	127.9	126.2
Bolivia (Plurinational State of)	124.5	120.0
Bosnia and Herzegovina	132.8	128.2
Botswana	132.4	129.3
Brazil	133.3	124.3
Brunei Darussalam	126.2	118.8
Bulgaria	134.2	125.1
Burkina Faso	128.0	125.1
Burundi	130.5	128.9
Cabo Verde	134.9	129.2
Cambodia	124.1	118.0
Cameroon	130.1	126.5
Canada	118.4	111.3
Central African Republic	130.9	129.4
Chad	130.7	129.5
Chile	128.3	119.7
China	126.1	121.5
Colombia	126.4	119.1
Comoros	130.3	129.1
Congo	130.4	128.0
Cook Islands	133.0	125.1
Costa Rica	126.2	120.2
Côte d'Ivoire	132.8	128.0
Croatia	137.2	127.5
Cuba	123.5	117.6
Cyprus	126.5	118.1
Czechia	131.6	121.0
Democratic People's Republic of Korea	125.5	122.6
Democratic Republic of the Congo	129.7	126.9
Denmark	127.3	119.3
Djibouti	129.9	126.7
Dominica	131.9	126.5
Dominican Republic	127.5	122.2
Ecuador	124.6	119.2
Egypt	129.3	126.1
El Salvador	124.3	118.6
Equatorial Guinea	131.0	127.8
Eritrea	124.5	121.6
Estonia	135.5	124.5
Eswatini	129.4	128.7
Ethiopia	128.3	127.2
Fiji	130.7	127.6
Finland	126.9	119.0
France	127.0	116.9
Gabon	130.4	125.5
Gambia	132.0	131.0
Georgia	134.3	127.5
Germany	126.3	116.8
Ghana	126.1	122.5
Greece	125.7	116.8
Grenada	132.1	126.8
Guatemala	125.0	119.9
Guinea	132.4	132.8
Guinea-Bissau	130.6	128.3
Guyana	127.4	124.0
Haiti	127.5	124.3
Honduras	126.7	120.9
Hungary	134.9	125.1
Iceland	125.1	115.7
India	127.3	124.3
Indonesia	128.0	125.9
Iran (Islamic Republic of)	123.0	118.2
Iraq	129.1	126.3
Ireland	128.7	118.3
Israel	124.1	116.6
Italy	127.7	119.6
Jamaica	126.5	123.4
Japan	125.6	116.8
Jordan	124.1	119.1
Kazakhstan	133.1	126.0
Kenya	129.8	128.5
Kiribati	129.5	122.4
Kuwait	127.5	120.5
Kyrgyzstan	131.7	126.8
Lao People's Democratic Republic	123.9	120.9
Latvia	135.7	125.0
Lebanon	129.7	120.3
Lesotho	126.7	129.6
Liberia	130.7	129.2
Libya	133.8	128.9
Lithuania	137.3	127.1
Luxembourg	129.4	120.3
Madagascar	130.4	129.5
Malawi	134.8	132.5
Malaysia	130.3	126.3
Maldives	128.6	125.6
Mali	127.1	126.8
Malta	128.4	118.9
Marshall Islands	127.3	120.4
Mauritania	131.3	127.9
Mauritius	130.4	126.5
Mexico	127.5	123.1
Micronesia (Federated States of)	129.5	124.9
Monaco		
Mongolia	133.4	126.5
Montenegro	135.0	125.3
Morocco	127.7	124.4
Mozambique	133.6	132.3
Myanmar	126.2	123.1
Namibia	129.4	125.3
Nauru	131.5	122.0
Nepal	127.8	125.0
Netherlands	128.6	120.4
New Zealand	126.1	116.9
Nicaragua	126.8	122.5
Niger	136.0	133.4
Nigeria	125.1	121.8
Niue	132.1	125.9
Norway	131.0	121.5
Oman	131.8	122.6
Pakistan	129.0	127.3
Palau	136.7	130.6
Panama	127.9	121.7
Papua New Guinea	126.7	125.2
Paraguay	129.4	122.6
Peru	124.2	115.9
Philippines	125.7	120.0
Poland	134.1	123.3
Portugal	127.8	118.3
Qatar	127.4	118.7
Republic of Korea	117.5	111.2
Republic of Moldova	135.5	129.9
North Macedonia	134.2	125.8
Romania	135.5	126.1
Russian Federation	130.3	122.7
Rwanda	127.6	126.3
Saint Kitts and Nevis	131.4	127.2
Saint Lucia	131.5	125.8
Saint Vincent and the Grenadines	128.9	122.9
Samoa	131.0	125.2
San Marino		
Sao Tome and Principe	134.0	131.4
Saudi Arabia	126.2	119.4
Senegal	130.4	128.6
Serbia	136.1	126.1
Seychelles	133.8	125.6
Sierra Leone	131.3	130.2
Singapore	122.1	115.7
Slovakia	132.4	120.1
Slovenia	137.5	127.0
Solomon Islands	123.7	125.0
Somalia	132.1	129.4
South Africa	127.0	123.1
South Sudan		
Spain	127.2	116.9
Sri Lanka	127.6	123.7
Sudan		
Sudan (former)	130.4	127.4
Suriname	127.8	122.9
Sweden	127.0	117.7
Switzerland	125.7	115.3
Syrian Arab Republic	129.0	124.9
Tajikistan	130.6	127.3
Thailand	124.9	120.5
Timor-Leste	127.2	124.7
Togo	128.8	126.2
Tonga	132.4	128.4
Trinidad and Tobago	129.3	123.2
Tunisia	126.5	122.1
Turkey	119.7	118.0
Turkmenistan	129.6	127.4
Tuvalu	132.2	126.6
Uganda	128.6	126.1
Ukraine	135.0	127.5
United Arab Emirates	126.3	118.6
United Kingdom of Great Britain and Northern Ireland	125.9	117.2
United Republic of Tanzania	131.8	131.2
United States of America	123.6	117.3
Uruguay	126.8	120.3
Uzbekistan	131.2	126.9
Vanuatu	132.3	130.7
Venezuela (Bolivarian Republic of)	124.6	118.5
Viet Nam	127.3	120.7
Yemen	129.1	126.4
Zambia	132.2	130.0
Zimbabwe	127.6	128.7
