Country	Temperature (°C)	Date
Algeria	51,30	5 July 2018
Botswana	44,00	7 January 2016
Burkina Faso	47,20	1.984,00
Chad	47,60	22 June 2010
Comoros	36,00	15 November 2017
Eswatini	47,40	
Ghana	43,80	26 March 2017
Guinea	45,00	29 March 2017
Morocco	51,70	19 August 1940
Niger	49,50	7 September 1978
Nigeria	46,40	3 April 2010
Réunion	36,90	6 March 2004
South Africa	50,00	3 November 1918
Sudan	49,70	25 June 2010
Tunisia	55,00	7 July 1931
Western Sahara	50,70	13 July 1961
Zambia	42,40	13 October 2010
Afghanistan	49,90	August 2009
Bangladesh	45,10	30 may. 1972
Bhutan	40,00	27 August 1997
Cambodia	42,60	15 April 2016
China	50,50	10 July 2017
Hong Kong	39,00	22 August 2017
Macau	39,00	22 August 2017
India	51,00	19 may. 2016
Indonesia	40,60	16 August 1997
Iran	54,00	29 June 2017
Iraq	53,80	22 July 2016
Israel	54,00	21 June 1942
Japan	41,10	23 July 2018
Jordan	50,00	6 September 2002
Kazakhstan	49,10	
Kuwait	53,90	21 July 2016
Kyrgyzstan	44,00	
Laos	42,30	12 April 2016
Malaysia	40,10	9 April 1998
Maldives	34,90	16 April 2016
Mongolia	44,00	24 July 1999
Myanmar	47,20	14 may. 2010
Nepal	46,40	16 June 1995
Oman	50,80	30 may. 2017
Pakistan	53,70	28 may. 2017
Philippines	42,20	11 may. 1969
Qatar	50,40	14 July 2010
Siberia	43,20	5 June 1898
Saudi Arabia	52,00	23 June 2010
Singapore	37,00	17 April 1983
South Korea	41,00	1 August 2018
Syria	49,40	
Taiwan	40,30	9 July 2018
Tajikistan	48,00	
Thailand	44,60	28 April 2016
Turkey	49,00	27 August 1961
Turkmenistan	50,10	28 July 1983
United Arab Emirates	52,10	July 2002
Vietnam	43,40	20 April 2019
Albania	42,20	6 July 1988
Armenia	43,70	1 August 2011
Azerbaijan	46,00	
Austria	40,50	8 August 2013
Belarus	38,90	7 August 2010
Belgium	41,80	25 July 2019
Bosnia and Herzegovina	46,20	31 July 1901
Bulgaria	45,20	5 August 1916
Croatia	42,80	5 August 1981
Cyprus	46,20	4 September 2020
Czech Republic	40,40	20 August 2012
Denmark	36,40	10 August 1975
Estonia	35,60	11 August 1992
Finland	37,20	29 July 2010
France	46,00	28 June 2019
Germany	42,60	25 July 2019
Greece	48,00	10 July 1977
Hungary	41,90	20 July 2007
Iceland	30,50	22 June 1939
Ireland	33,30	26 June 1887
Italy	47,00	25 June 2007
Latvia	37,80	4 August 2014
Lithuania	37,50	30 July 1994
Luxembourg	40,80	25 July 2019
Malta	43,80	9 August 1999
Moldova	42,40	7 August 2012
Montenegro	44,80	8 August 2012
Netherlands	40,70	25 July 2019
North Macedonia	45,70	24 July 2007
Norway	35,60	20 June 1970
Poland	40,20	29 July 1921
Portugal	47,40	1 August 2003
Romania	44,50	10 August 1951
Russia (in Europe)	45,40	12 July 2010
San Marino	40,30	9 August 2017
Serbia	44,90	24 July 2007
Slovakia	40,30	20 July 2007
Slovenia	40,80	8 August 2013
Spain	47,30	13 July 2017
Sweden	38,00	29 June 1947
Switzerland	41,50	11 August 2003
Ukraine	42,00	12 August 2010
United Kingdom	38,70	25 July 2019
Vatican City	40,70	2 August 2017
Anguilla	34,20	12 September 2015
Antigua and Barbuda	34,90	12 August 1995
British Virgin Islands	35,00	22 July 2016
Canada	45,00	5 July 1937
Cayman Islands	34,90	21 August 2016
Cuba	39,10	30 June 2019
Dominica	35,50	3 October 2015
Dominican Republic	43,00	31 August 1954
Greenland	29.1	23 June 1915
Guatemala	45,00	
Martinique	36,50	6 October 2010
Mexico	52,00	28 July 1995
Panama	40,00	20 March 1998
Puerto Rico	40,00	2 July 1996
United States	56,70	10 July 1913
United States Virgin Islands	37,20	23 June 1996
Australia	50,70	2 January 1960
Marshall Islands	35,60	24 August 2016
New Zealand	42,40	7 February 1973
Palau	35,00	22 March 2018
Samoa	35,30	24 December 1968
Solomon Islands	36,10	1 February 2010
Tonga	35,50	1 February 2016
Vanuatu	36,20	8 February 2016
Wallis and Futuna	35,80	10 January 2016
Argentina	48,90	11 December 1905
Bolivia	46,70	29 October 2010
Brazil	44,70	21 November 2005
Chile	44,90	26 January 2017
Colombia	45,00	29 December 2015
French Guiana	38,00	27 September 2016
Paraguay	45,00	14 November 2009
Uruguay	44,00	20 January 1943
Venezuela	43,60	29 April 2015
