Country	ECI	ECI Rank	Change Over 5 Years
Japan	2.4265	1	0
Switzerland	2.1664	2	1
South Korea	2.1058	3	4
Germany	2.0865	4	-2
Singapore	1.8512	5	0
Austria	1.8062	6	-2
Czechia	1.8032	7	-1
Sweden	1.6976	8	0
Hungary	1.6623	9	0
Slovenia	1.6167	10	3
United States of America	1.5483	11	1
Finland	1.5458	12	-2
United Kingdom	1.5073	13	-2
Italy	1.44	14	2
Slovakia	1.4125	15	0
France	1.3726	16	-2
Ireland	1.3597	17	0
China	1.3409	18	0
Mexico	1.2881	19	0
Israel	1.2009	20	6
Belgium	1.1768	21	-1
Thailand	1.1691	22	2
Poland	1.0986	23	0
Denmark	1.094	24	-3
Romania	1.0879	25	0
Malaysia	1.0289	26	3
Netherlands	9.801	27	0
Estonia	9.636	28	2
Belarus	8.875	29	-7
Croatia	8.702	30	1
Lithuania	8.571	31	5
Spain	8.289	32	-4
Portugal	8.011	33	1
Latvia	7.046	34	3
Philippines	6.747	35	3
Saudi Arabia	6.731	36	33
Bosnia and Herzegovina	6.704	37	-4
Serbia	6.668	38	1
Canada	6.462	39	2
Turkey	6.397	40	2
Bulgaria	5.545	41	-1
India	5.385	42	10
Norway	4.362	43	-8
Ukraine	3.677	44	-1
Lebanon	3.538	45	0
Tunisia	3.351	46	-2
Costa Rica	3.342	47	4
Bahrain	3.046	48	10
Brazil	2.137	49	-2
Cyprus	1.827	50	-4
Jordan	1.699	51	-1
Vietnam	145	52	11
El Salvador	1.341	53	2
New Zealand	1.287	54	-5
Greece	1.075	55	2
Colombia	0.1	56	4
North Macedonia	683	57	11
Trinidad and Tobago	527	58	24
Kyrgyzstan	372	59	-11
Uruguay	247	60	-6
Indonesia	157	61	1
United Arab Emirates	-121	62	18
South Africa	-233	63	-7
Russia	-378	64	1
Georgia	-39	65	-1
Egypt	-611	66	1
Eswatini	-785	67	-6
Tanzania	-931	68	25
Mauritius	-1.731	69	-3
Dominican Republic	-1.798	70	4
Moldova	-1.812	71	-18
Chile	-1.824	72	0
Argentina	-2.105	73	-14
Panama	-2.404	74	-42
Qatar	-3.087	75	14
Albania	-3.181	76	7
Kenya	-3.389	77	-2
Sri Lanka	-3.558	78	-1
Armenia	-3.918	79	-8
Uzbekistan	-4.112	80	18
Namibia	-4.305	81	-3
Guatemala	-4.546	82	-9
Oman	-4.812	83	14
Botswana	-4.815	84	11
Mali	-4.897	85	33
Uganda	-4.954	86	-2
Australia	-531	87	3
Burkina Faso	-5.465	88	12
Paraguay	-5.504	89	-2
Cambodia	-5.606	90	1
Morocco	-5.627	91	-6
Jamaica	-5.794	92	-11
Kazakhstan	-5.931	93	16
Zambia	-6.181	94	-15
Senegal	-6.269	95	-7
Laos	-6.275	96	12
Ethiopia	-6.577	97	19
Honduras	-6.654	98	-4
Pakistan	-6.795	99	-3
Kuwait	-7.033	100	19
Iran	-7.058	101	-31
Togo	-7.837	102	-16
Ghana	-7.978	103	-4
Peru	-8.057	104	-12
Nicaragua	-8.361	105	-3
Turkmenistan	-8.439	106	11
Mongolia	-8.781	107	13
Bangladesh	-8.826	108	-2
Zimbabwe	-9.291	109	-2
Côte d'Ivoire	-961	110	1
Myanmar	-9.735	111	4
Ecuador	-974	112	-7
Madagascar	-10.063	113	-12
Mauritania	-1.026	114	18
Bolivia	-10.425	115	-1
Tajikistan	-10.877	116	-4
Cuba	-11.058	117	-41
Malawi	-11.208	118	-15
Venezuela	-11.399	119	2
Liberia	-11.532	120	-16
Mozambique	-12.491	121	-8
Algeria	-13.072	122	7
Yemen	-13.106	123	-1
Azerbaijan	-13.669	124	1
Republic of the Congo	-14.196	125	3
Gabon	-1.428	126	4
Guinea	-14.316	127	-4
Libya	-14.634	128	5
Cameroon	-16.012	129	-19
Papua New Guinea	-16.783	130	-3
Angola	-17.052	131	-7
Democratic Republic of the Congo	-18.038	132	-6
Nigeria	-18.971	133	-2
